2,3,11-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
144.9068,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,18.5225,21.53474,55.11333,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
144.9555,0,0,0,3.848046E-09,2.192064E-08,-6.398224E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,240.0986,275.5835,675.0447,0,1,0,0,0,1.611502E-09,1.013363E-08,-2.858095E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.0046,0,0,0,1.213001E-08,6.514562E-08,-1.005605E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,251.2965,288.2177,704.0906,0,1,0,0,0,4.425305E-09,1.966551E-08,-1.987281E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.0549,0,0,0,1.859198E-08,8.180106E-08,-6.476952E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.1055,0,0,0,2.442625E-08,9.068798E-08,-1.214453E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.1551,0,0,0,2.922702E-08,1.09283E-07,-1.990873E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.2049,0,0,0,3.527501E-08,1.200366E-07,-1.849415E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.2547,0,0,0,4.22907E-08,1.42724E-07,-1.40568E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.3049,0,0,0,5.002737E-08,1.599325E-07,-1.009489E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,2.987073E-09,4.835769E-09,1.417483E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.3552,0,0,0,6.216833E-08,1.872881E-07,-5.701497E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,6.718794E-09,1.520845E-08,2.428671E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.4055,0,0,0,6.3672E-08,2.120124E-07,-4.518307E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.4548,0,0,0,6.724727E-08,2.283835E-07,-3.429676E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,251.3001,288.2211,704.0934,0,1,0,0,0,1.540638E-09,8.51081E-09,3.564865E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.5049,0,0,0,6.483612E-08,2.643898E-07,-6.722551E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,251.3001,288.2211,704.0934,0,1,0,0,0,-1.550333E-09,1.577133E-08,-1.705575E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
145.5553,0,0,0,6.712533E-08,2.734714E-07,-5.870259E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,251.3001,288.2211,704.0934,0,1,0,0,0,8.573764E-10,4.322611E-09,3.80616E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
