3,3,16-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
116.2002,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,4.630626,5.383685,13.77833,0,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,1,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1
116.2483,0,0,0,4.399096E-09,3.944956E-08,-8.603062E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,180.0549,206.6694,506.269,0,1,0,0,0,1.534663E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1,1,1,0,0,0,2.024921E-09,1.269606E-08,-3.167896E-08,1,1,0,0,0,1,2,1,0,0,0,1.399879E-09,1.104268E-08,-2.485863E-08,1,1,0,0,0,1
116.298,0,0,0,1.709776E-08,8.907185E-08,-1.707E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0628,236.3381,577.3542,0,1,0,0,0,3.76868E-09,1.741497E-08,-2.375921E-08,1,1,0,0,0,1,1,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1,2,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1
116.3479,0,0,0,2.691389E-08,1.117846E-07,-1.202133E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,206.0661,236.3412,577.3568,0,1,0,0,0,3.431008E-09,8.700455E-09,1.844121E-08,1,1,0,0,0,1,1,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1,2,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1
116.3982,0,0,0,3.520703E-08,1.256782E-07,-1.913638E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,211.0921,242.1057,591.4387,0,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1,1,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,2,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1
116.4482,0,0,0,4.172709E-08,1.490462E-07,-2.968223E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,577.3568,0,1,0,0,0,2.430158E-09,7.64852E-09,-3.600051E-08,1,1,0,0,0,1,1,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1,2,1,0,0,0,2.430158E-09,7.64852E-09,-3.600051E-08,1,1,0,0,0,1
116.4982,0,0,0,5.076912E-08,1.648604E-07,-2.760365E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,577.3568,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,1,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
116.5483,0,0,0,6.192927E-08,2.032939E-07,-2.098721E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,563.275,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1,2,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1
116.5979,0,0,0,7.59533E-08,2.379594E-07,-1.403118E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,196.0141,224.8124,549.1931,0,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1,1,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,2,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
116.6482,0,0,0,9.1427E-08,2.697649E-07,-8.797262E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,206.0661,236.3412,577.3568,0,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1,1,1,0,0,0,5.368495E-09,1.214702E-08,1.965335E-08,1,1,0,0,0,1,2,1,0,0,0,5.366669E-09,1.004725E-08,1.679515E-08,1,1,0,0,0,1
