4,8,19-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
148.4142,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,4443.966,4196.399,5.296402,5.070894,4.618677,4.293447,4.03986,4.624526,0,1,0,0,0,-4.163847E-08,8.758741E-08,1.015495E-06,1,1,0,0,0,1,1,1,0.3690749,0.1549639,0.03623972,-4.013113E-08,8.466709E-08,9.777684E-07,1,1,0,0,0,1,2,1,0,0,0,-3.961128E-08,8.3572E-08,9.652151E-07,1,1,0,0,0,1,3,1,0,0,0,-3.854268E-08,8.07693E-08,9.385114E-07,1,1,0,0,0,1
148.4647,0,0,0,2.555948E-09,-3.820404E-08,5.264902E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,2,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,3,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1
148.5145,0,0,0,8.728503E-09,-5.934999E-08,-3.602803E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,1,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,2,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,3,1,0,0,0,1.242643E-09,-5.788101E-09,-1.491005E-08,1,1,0,0,0,1
148.5637,0,0,0,1.450826E-08,-7.199261E-08,-1.069886E-07,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.448134E-09,-3.548264E-09,-2.018075E-08,1,1,0,0,0,1,1,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,2,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,3,1,0,0,0,1.352951E-09,-4.480126E-09,-1.373794E-08,1,1,0,0,0,1
148.6131,0,0,0,1.907668E-08,-9.501841E-08,-1.413944E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.459652E-09,-4.820314E-09,-4.903428E-09,1,1,0,0,0,1,1,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1,2,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,3,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1
148.6643,0,0,0,1.848485E-08,-4.141425E-08,-2.65687E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,2.218134E-10,1.46641E-08,-3.487845E-08,1,1,0,0,0,1,1,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,1,0,0,0,1,2,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1,3,1,0,0,0,-5.606097E-10,1.296337E-08,-2.719226E-08,1,1,0,0,0,1
148.714,0,0,0,2.086367E-08,3.366807E-08,-3.855338E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,3,1,0,0,0,5.758884E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1
148.7637,0,0,0,1.857752E-08,8.708305E-08,-4.442072E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,-4.081795E-10,1.36081E-08,-1.393876E-08,1,1,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,2,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,3,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1
148.813,0,0,0,8.266125E-09,1.046022E-07,-5.475729E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,122.8797,147.4857,143.0028,136.9141,124.7042,115.9231,109.0763,124.8622,0,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,1,0,0,0,1,1,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1,2,1,0,0,0,-2.146377E-09,4.639879E-09,-2.360526E-08,1,1,0,0,0,1,3,1,0,0,0,-2.146377E-09,4.639879E-09,-2.360526E-08,1,1,0,0,0,1
148.8639,-0.0001836301,0.01111747,0.01088334,9.132155E-09,1.339535E-07,-6.030285E-07,1,1,0.05725849,0.7367461,-0.06288763,0.6707993,0,0,0,0,141.0614,169.3099,164.1641,157.1758,143.1581,133.0771,125.2163,143.3475,0,1,0,0,0,2.346654E-11,9.581273E-09,-1.247554E-08,1,1,0,0,0,1,1,1,-0.0003330513,0.02022024,0.0197998,2.346654E-11,9.581273E-09,-1.247554E-08,1,1,0,0,0,1,2,1,0,0,0,4.095618E-10,5.094359E-09,-1.525228E-08,1,1,0,0,0,1,3,1,0,0,0,4.095618E-10,5.094359E-09,-1.525228E-08,1,1,0,0,0,1
