2,8,22-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
134.4498,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,7609.15,8817.181,42.37121,40.56715,36.94942,34.34757,32.31888,36.9962,0,1,1.150121,0.3410417,0.1912527,5.272661E-08,2.939372E-08,4.758636E-07,0.9999999,1,0,0,0,1,1,1,0,0,0,5.137031E-08,2.858986E-08,4.636987E-07,0.9999999,1,0,0,0,1
134.4999,0,0,0,1.277974E-09,-1.910202E-08,2.632455E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,209.3506,251.2719,243.6345,233.2611,212.4592,197.4985,185.8336,212.7282,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1
134.549,0,0,0,4.486006E-09,-2.8648E-08,-1.116013E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,1.548607E-09,-4.112003E-09,-5.169563E-09,1,1,0,0,0,1,1,1,0,0,0,1.659423E-09,-5.43398E-09,-8.623025E-09,1,1,0,0,0,1
134.5996,0,0,0,7.559371E-09,-3.426957E-08,-5.182667E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,1,1,0,0,0,1.592087E-09,-3.471776E-09,-2.205999E-08,1,1,0,0,0,1
134.6496,0,0,0,9.17125E-09,-4.713953E-08,-7.284577E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,8.059387E-10,-6.434986E-09,-1.050954E-08,1,1,0,0,0,1,1,1,0,0,0,8.059387E-10,-6.434986E-09,-1.050954E-08,1,1,0,0,0,1
134.6991,0,0,0,8.396333E-09,-2.294066E-08,-1.315796E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,-4.220675E-10,1.047352E-08,-2.777239E-08,1,1,0,0,0,1,1,1,0,0,0,-3.528508E-10,1.372535E-08,-3.096141E-08,1,1,0,0,0,1
134.7491,0,0,0,9.598292E-09,1.488291E-08,-1.933411E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
134.7993,0,0,0,8.256338E-09,4.18631E-08,-2.279258E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,1,1,0,0,0,-7.585808E-10,1.345075E-08,-1.841014E-08,1,1,0,0,0,1
134.8493,0,0,0,2.545516E-09,5.276204E-08,-2.778604E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,223.0039,267.6592,259.5237,248.4737,226.3153,210.3788,197.9531,226.6018,0,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,1,1,0,0,0,-2.747011E-09,4.580635E-09,-2.35325E-08,1,1,0,0,0,1
134.8998,0,0,0,-2.687481E-09,5.226618E-08,-3.55709E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-2.219758E-09,2.756447E-10,-3.55392E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
134.9499,0,0,0,-1.597193E-08,4.881464E-08,-4.78367E-07,1,1,0.05732324,0.7368126,-0.06297252,0.6707129,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,-6.998818E-09,-2.521525E-09,-6.137506E-08,1,1,0,0,0,1,1,1,0,0,0,-6.285648E-09,-9.299865E-10,-6.128285E-08,1,1,0,0,0,1
134.999,0,0,0,-2.567231E-08,3.954201E-08,-5.545027E-07,1,1,0.05732323,0.7368126,-0.06297251,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,-4.094097E-09,-3.952763E-09,-3.251366E-08,1,1,0,0,0,1,1,1,0,0,0,-5.606297E-09,-5.319861E-09,-4.362163E-08,1,1,0,0,0,1
135.0496,0,0,0,-3.192406E-08,3.032333E-08,-6.269269E-07,1,1,0.05732323,0.7368126,-0.06297251,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2592,210.0727,240.4754,0,1,0,0,0,-2.982544E-09,-4.331347E-09,-3.408751E-08,1,1,0,0,0,1,1,1,0,0,0,-3.269225E-09,-4.887337E-09,-3.833633E-08,1,1,0,0,0,1
135.0996,0,0,0,-3.884592E-08,-3.725952E-10,-7.088765E-07,1,1,0.05732322,0.7368126,-0.0629725,0.6707129,0,0,0,0,223.0039,267.6592,259.5237,248.4737,226.3153,210.3788,197.9531,226.6018,0,1,0,0,0,-3.604275E-09,-1.562595E-08,-4.309897E-08,1,1,0,0,0,1,1,1,0,0,0,-3.317594E-09,-1.506996E-08,-3.885015E-08,1,1,0,0,0,1
135.1491,0,0,0,-4.394127E-08,-2.103245E-08,-7.74046E-07,1,1,0.05732322,0.7368126,-0.0629725,0.6707129,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,-2.008188E-09,-7.896938E-09,-2.606507E-08,1,1,0,0,0,1,1,1,0,0,0,-3.087176E-09,-1.276292E-08,-3.910405E-08,1,1,0,0,0,1
135.1996,0,0,0,-4.930448E-08,-6.467864E-08,-8.68322E-07,1,1,0.05732321,0.7368126,-0.06297249,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,-2.385056E-09,-2.197073E-08,-4.582295E-08,1,1,0,0,0,1,1,1,0,0,0,-2.97818E-09,-2.167547E-08,-4.845273E-08,1,1,0,0,0,1
135.2492,0,0,0,-5.886541E-08,-9.084682E-08,-9.792481E-07,1,1,0.0573232,0.7368125,-0.06297247,0.6707129,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,-4.816406E-09,-1.222582E-08,-5.542987E-08,1,1,0,0,0,1,1,1,0,0,0,-4.744556E-09,-1.394235E-08,-5.549606E-08,1,1,0,0,0,1
135.2998,0,0,0,-5.635961E-08,-8.721577E-08,-1.053731E-06,1,1,0.05732319,0.7368125,-0.06297246,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5527,218.9657,206.0328,235.8509,0,1,0,0,0,1.224493E-09,1.688988E-09,-3.526281E-08,1,1,0,0,0,1,1,1,0,0,0,1.281294E-09,1.942053E-09,-3.922022E-08,1,1,0,0,0,1
135.3498,0,0,0,-5.953248E-08,-1.045983E-07,-1.148954E-06,1,1,0.05732319,0.7368126,-0.06297246,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5527,218.9657,206.0328,235.8509,0,1,0,0,0,-1.597497E-09,-9.485828E-09,-4.579174E-08,1,1,0,0,0,1,1,1,0,0,0,-1.575401E-09,-7.896667E-09,-4.942997E-08,1,1,0,0,0,1
135.3997,0,0,0,-6.660677E-08,-1.302712E-07,-1.24478E-06,1,1,0.05732318,0.7368126,-0.06297245,0.6707129,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,-3.537145E-09,-1.283649E-08,-4.791299E-08,1,1,0,0,0,1,1,1,0,0,0,-3.537145E-09,-1.283649E-08,-4.791299E-08,1,1,0,0,0,1
