1,8,23-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
554.9102,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,8474.82,8390.236,155.3503,30.42536,27.71206,25.76068,24.23916,27.74715,0,1,0.4917079,0.1821968,-0.3428402,2.300048E-07,2.233446E-07,-4.489354E-07,0.9999999,1,0,0,0,1
554.96,0,0,0,6.576742E-10,-9.827264E-09,3.016951E-10,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,6.008681E-10,-8.683017E-09,-2.184112E-09,1,1,0,0,0,1
555.0104,0,0,0,1.900318E-09,-1.561537E-08,-1.460835E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,1.242643E-09,-5.788101E-09,-1.491005E-08,1,1,0,0,0,1
555.0599,0,0,0,2.980933E-09,-1.843397E-08,-3.933064E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,1.080614E-09,-2.818607E-09,-2.472228E-08,1,1,0,0,0,1
555.1103,0,0,0,3.852254E-09,-2.409986E-08,-4.792342E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,8.713203E-10,-5.665894E-09,-8.592773E-09,1,1,0,0,0,1
555.1597,0,0,0,3.797092E-09,-1.344957E-08,-7.58437E-08,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-5.516215E-11,1.065029E-08,-2.792029E-08,1,1,0,0,0,1
555.2101,0,0,0,4.398069E-09,5.462216E-09,-1.067245E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
555.2606,0,0,0,3.913417E-09,1.92869E-08,-1.23054E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1
555.3101,0,0,0,1.103512E-09,2.693497E-08,-1.463457E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-2.809906E-09,7.648079E-09,-2.329162E-08,1,1,0,0,0,1
555.3604,0,0,0,-1.909731E-09,2.616349E-08,-1.886551E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
