4,2,25-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
715.6612,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,25.28118,44.02373,0,1,0,0,0,7.571831E-11,-1.500573E-09,2.177345E-08,1,1,0,0,0,1,1,1,0,0,0,8.202818E-11,-1.625621E-09,2.358791E-08,1,1,0,0,0,1,2,1,0,0,0,7.571831E-11,-1.500573E-09,2.177345E-08,1,1,0,0,0,1,3,1,0,0,0,-1.981548E-10,9.666604E-10,2.323084E-08,1,1,0,0,0,1
715.7106,0,0,0,7.617704E-09,4.990504E-08,-1.276972E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,2.024921E-09,1.269606E-08,-3.167896E-08,1,1,0,0,0,1,1,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1,2,1,0,0,0,2.726802E-09,1.395681E-08,-3.830135E-08,1,1,0,0,0,1,3,1,0,0,0,2.516726E-09,9.19473E-09,-3.504421E-08,1,1,0,0,0,1
715.7623,0,0,0,2.028889E-08,8.405654E-08,-2.488944E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,2.775475E-09,1.220936E-08,-2.434966E-08,1,1,0,0,0,1,1,1,0,0,0,3.243459E-09,4.090912E-09,-2.75436E-08,1,1,0,0,0,1,2,1,0,0,0,3.599452E-09,1.208769E-08,-4.12829E-08,1,1,0,0,0,1,3,1,0,0,0,2.350919E-09,4.502804E-09,-2.139858E-08,1,1,0,0,0,1
715.8103,0,0,0,3.080056E-08,9.934229E-08,-1.958302E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,1.307367E-09,2.209591E-09,1.943204E-08,1,1,0,0,0,1,1,1,0,0,0,1.307367E-09,2.209591E-09,1.943204E-08,1,1,0,0,0,1,2,1,0,0,0,3.394076E-09,5.806012E-09,7.731411E-09,1,1,0,0,0,1,3,1,0,0,0,4.502865E-09,5.060539E-09,6.468718E-09,1,1,0,0,0,1
715.8614,0,0,0,4.172095E-08,1.155966E-07,-2.644445E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,4.629701E-09,1.651033E-08,-2.703924E-09,1,1,0,0,0,1,1,1,0,0,0,4.168667E-09,7.761574E-09,-3.891589E-09,1,1,0,0,0,1,2,1,0,0,0,-8.112065E-10,-8.432482E-09,-2.294602E-08,1,1,0,0,0,1,3,1,0,0,0,2.933241E-09,4.148948E-10,-3.907259E-08,1,1,0,0,0,1
715.9116,0,0,0,5.112583E-08,1.707643E-07,-4.079745E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,1.126427E-09,2.05967E-08,-2.863196E-08,1,1,0,0,0,1,1,1,0,0,0,4.211286E-09,7.564515E-09,-3.973433E-08,1,1,0,0,0,1,2,1,0,0,0,3.362431E-09,1.026284E-08,-5.35112E-08,1,1,0,0,0,1,3,1,0,0,0,7.047285E-10,1.674366E-08,-2.16525E-08,1,1,0,0,0,1
715.9605,0,0,0,6.941323E-08,1.992299E-07,-3.707885E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,0,1,0,0,0,4.179668E-09,6.958241E-09,9.122904E-09,1,1,0,0,0,1,1,1,0,0,0,5.305384E-09,8.223375E-09,1.074008E-08,1,1,0,0,0,1,2,1,0,0,0,4.179668E-09,6.958241E-09,9.122904E-09,1,1,0,0,0,1,3,1,0,0,0,4.682611E-09,6.958241E-09,9.0658E-09,1,1,0,0,0,1
716.0109,0,0,0,8.29724E-08,2.497524E-07,-2.811746E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1,1,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1,2,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1,3,1,0,0,0,3.447935E-09,1.071106E-08,2.132108E-08,1,1,0,0,0,1
716.0613,0,0,0,1.006599E-07,2.874831E-07,-1.993187E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1,1,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1,2,1,0,0,0,4.524868E-09,9.920138E-09,1.867188E-08,1,1,0,0,0,1,3,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
716.1116,0,0,0,1.205358E-07,3.286417E-07,-1.320734E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,130.676,149.875,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,2,1,0,0,0,4.830799E-09,9.700158E-09,1.585677E-08,1,1,0,0,0,1,3,1,0,0,0,4.20086E-09,7.164141E-09,1.209406E-08,1,1,0,0,0,1
