4,1,25-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
774.3326,2.383863E-05,0.003295484,0.001447715,0,0,0,1,0.4233859,0.07103548,0.7416638,-0.07955509,0.6622385,0,0,0,0,4589.866,0,1,-0.003126135,-0.00620927,0.008982976,2.486535E-08,6.835698E-08,-3.672891E-08,1,0.3477886,0,0,0,1,1,1,0.4045573,0.113091,-0.1713142,2.408426E-08,6.147643E-08,-3.382167E-08,1,1,0,0,0,1,2,1,-0.002256321,0.003447996,-0.01573867,2.399251E-08,6.122418E-08,-3.368614E-08,1,1,0,0,0,1,3,1,0,0,0,2.297418E-08,5.781518E-08,-3.318078E-08,1,1,0,0,0,1
774.3824,7.011347E-05,0.009692579,0.004257975,8.771813E-10,-2.85587E-08,-8.133473E-08,1,0.3626421,0.07086057,0.7416005,-0.07933858,0.6623541,0,0,0,0,102.9258,0,1,0,0,0,3.751987E-10,-8.049883E-09,-2.391002E-08,1,0.8565285,0,0,0,1,1,1,0,0,0,1.139663E-10,-8.175224E-09,-1.89331E-08,1,1,0,0,0,1,2,1,0,0,0,2.740461E-10,-4.158378E-09,-1.955852E-08,1,1,0,0,0,1,3,1,0,0,0,1.139663E-10,-8.175224E-09,-1.89331E-08,1,1,0,0,0,1
774.4327,7.789088E-05,0.01076774,0.004730295,4.745322E-09,6.010109E-09,3.075887E-09,1,0.3396488,0.07070368,0.7415436,-0.07914445,0.6624578,0,0,0,0,105.7601,0,1,0,0,0,9.716419E-10,8.875356E-09,2.038122E-08,1,0.9365951,0,0,0,1,1,1,0,0,0,8.492915E-10,8.737886E-09,1.996092E-08,1,1,0,0,0,1,2,1,0,0,0,7.997282E-10,1.002851E-08,2.104014E-08,1,1,0,0,0,1,3,1,0,0,0,1.247479E-09,6.927052E-09,2.302834E-08,1,1,0,0,0,1
774.4814,7.919803E-05,0.01094844,0.004809678,-1.318806E-09,8.376063E-09,-1.201375E-08,1,0.3382709,0.07059575,0.7415045,-0.07901099,0.662529,0,0,0,0,105.4339,0,1,0,0,0,-2.406774E-09,-3.001394E-10,-7.426849E-09,1,0.995943,0,0,0,1,1,1,0,0,0,-1.399671E-09,1.719452E-09,-6.304742E-09,1,1,0,0,0,1,2,1,0,0,0,-1.128841E-09,4.733174E-10,-6.790232E-10,1,1,0,0,0,1,3,1,0,0,0,-1.128841E-09,4.733174E-10,-6.790232E-10,1,1,0,0,0,1
774.5316,7.941772E-05,0.01097881,0.00482302,5.506557E-09,4.104177E-08,5.561787E-09,1,0.3382709,0.07052077,0.7414773,-0.07891829,0.6625784,0,0,0,0,105.4082,0,1,0,0,0,1.849482E-09,8.332294E-09,5.244429E-09,1,1,0,0,0,1,1,1,0,0,0,9.662194E-10,5.498932E-09,3.384983E-09,1,1,0,0,0,1,2,1,0,0,0,2.171265E-09,9.973506E-09,4.730228E-09,1,1,0,0,0,1,3,1,0,0,0,1.838395E-09,8.86098E-09,4.215895E-09,1,1,0,0,0,1
774.5825,-0.0005915513,0.01032602,0.008115425,3.099841E-09,6.503935E-08,-1.296013E-07,1,0.3382709,0.07047352,0.7414382,-0.07885455,0.6626348,0,0,0,0,119.1556,0,1,-0.001315698,-0.001289984,0.006451298,-2.615964E-10,7.167589E-09,-2.880754E-08,1,1,0,0,0,1,1,1,0,0,0,-7.393074E-10,4.137608E-09,-3.633243E-08,1,1,0,0,0,1,2,1,0,0,0,-4.968921E-10,5.338817E-09,-3.16751E-08,1,1,0,0,0,1,3,1,0,0,0,-9.089311E-10,7.353577E-09,-3.834804E-08,1,1,0,0,0,1
774.632,-0.001127884,0.009801022,0.01074564,2.987469E-09,8.035142E-08,-1.993386E-07,1,0.3241851,0.07046299,0.7413414,-0.07881895,0.6627485,0,0,0,0,114.5648,0,1,0,0,0,9.598956E-11,3.524158E-09,-1.552075E-08,1,0.9583596,0,0,0,1,1,1,0,0,0,3.043239E-10,4.422573E-09,-1.734258E-08,1,1,0,0,0,1,2,1,0,0,0,-6.302754E-10,7.037055E-09,-1.9486E-08,1,1,0,0,0,1,3,1,0,0,0,1.175901E-10,3.282703E-10,-1.738793E-08,1,1,0,0,0,1
774.6818,-0.001218025,0.009712785,0.01118771,-2.966605E-11,4.726247E-08,-1.713359E-07,1,0.3075946,0.07045979,0.7412537,-0.078794,0.6628498,0,0,0,0,114.1558,0,1,0,0,0,-1.191745E-09,-7.666052E-09,8.871857E-09,1,0.9488238,0,0,0,1,1,1,0,0,0,-1.636191E-09,-1.174586E-08,1.297675E-08,1,1,0,0,0,1,2,1,0,0,0,-5.899956E-10,-6.925728E-09,1.042653E-08,1,1,0,0,0,1,3,1,0,0,0,4.007928E-10,-6.75132E-09,-4.272387E-09,1,1,0,0,0,1
774.7315,-0.001233175,0.009697954,0.011262,5.066827E-09,4.003606E-08,-1.749275E-07,1,0.2643582,0.07045757,0.7411848,-0.07877473,0.6629294,0,0,0,0,113.5057,0,1,0,0,0,1.069859E-09,-1.394699E-09,-1.998314E-09,1,0.8594372,0,0,0,1,1,1,0,0,0,1.133009E-09,-1.558395E-09,-4.400434E-09,1,1,0,0,0,1,2,1,0,0,0,1.523092E-09,-2.621367E-09,4.22585E-09,1,1,0,0,0,1,3,1,0,0,0,1.370532E-09,-1.651973E-09,-1.418668E-09,1,1,0,0,0,1
774.7831,-0.001235721,0.009695461,0.01127449,7.512744E-09,2.032147E-08,-1.873391E-07,1,0.262797,0.07045556,0.7411317,-0.07875951,0.6629909,0,0,0,0,117.6798,0,1,0,0,0,5.17268E-10,-5.263541E-09,-7.350368E-09,1,0.9940944,0,0,0,1,1,1,0,0,0,7.397274E-10,-6.121501E-09,-4.548027E-09,1,1,0,0,0,1,2,1,0,0,0,6.997751E-10,-4.613801E-09,-1.103124E-10,1,1,0,0,0,1,3,1,0,0,0,4.891449E-10,-3.715741E-09,-4.029532E-10,1,1,0,0,0,1
