4,8,25-Task3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
858.0865,0,0,0,0,0,0,1,0.8779548,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,3269.05,3887.368,237.5705,20.28358,18.47471,17.17379,16.15944,18.4981,0,1,3.267432,-0.3298041,-1.961105,-3.056302E-08,-3.972371E-07,4.040209E-08,1,0.8779548,0,0,0,1,1,1,3.255798,0.06379156,-0.7479255,-2.775904E-08,-3.605792E-07,3.537603E-08,1,0.916987,0,0,0,1,2,1,-0.2064715,-0.06838721,-0.4787336,-2.773228E-08,-3.626608E-07,3.935957E-08,1,1,0,0,0,1,3,1,0,0,0,-2.642252E-08,-3.432498E-07,3.431327E-08,1,1,0,0,0,1
858.1367,0,0,0,0.000000002,-0.000000033,3.350018E-08,1,0.8275832,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,75.65753,91.05075,88.23473,84.46182,76.83292,71.30125,66.96862,77.08194,0,1,0,0,0,5.094833E-10,-0.000000008,5.784216E-09,1,0.9426262,0,0,0,1,1,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,2,1,0,0,0,4.147897E-10,-6.945491E-09,9.40895E-09,1,1,0,0,0,1,3,1,0,0,0,4.521651E-10,-7.497996E-09,7.379891E-09,1,1,0,0,0,1
858.1884,0,0,0,9.562599E-09,-5.531873E-08,2.144181E-08,1,0.7102044,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,78.72144,94.93573,91.95958,88.01602,79.98837,74.12942,69.52389,80.37814,0,1,0,0,0,2.296837E-09,-0.000000007,-1.79928E-09,1,0.8581668,0,0,0,1,1,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,2,1,0,0,0,1.756052E-09,-4.603461E-09,1.079934E-09,1,1,0,0,0,1,3,1,0,0,0,1.850746E-09,-5.610751E-09,-2.5448E-09,1,1,0,0,0,1
858.2363,0,0,0,1.487819E-08,-6.349312E-08,-0.000000062,1,0.6432847,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,73.08984,88.32364,85.51804,81.84174,74.30732,68.77243,64.40605,74.7937,0,1,0,0,0,1.080614E-09,-2.818607E-09,-2.472228E-08,1,0.9057741,0,0,0,1,1,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,2,1,0,0,0,1.511073E-09,-0.000000002,-0.000000027,1,1,0,0,0,1,3,1,0,0,0,1.226503E-09,-9.043092E-10,-1.327382E-08,1,1,0,0,0,1
858.2871,0,0,0,0.000000019,-9.014819E-08,-1.092171E-07,1,0.6257067,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,76.6289,92.7091,89.74171,85.8791,77.93102,72.06982,67.43633,78.51942,0,1,0,0,0,1.12609E-09,-6.911384E-09,-1.392548E-08,1,0.9726745,0,0,0,1,1,1,0,0,0,0.000000001,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,2,1,0,0,0,0.000000001,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,3,1,0,0,0,0.000000001,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1
858.3383,0,0,0,0.000000018,-3.152608E-08,-2.281125E-07,1,0.6257067,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,76.54042,92.61473,89.64775,85.78865,77.84406,71.98278,67.34808,78.44107,0,1,0,0,0,-3.36411E-10,1.781626E-08,-3.372149E-08,1,1,0,0,0,1,1,1,0,0,0,-3.528508E-10,1.372535E-08,-0.000000031,1,1,0,0,0,1,2,1,0,0,0,-1.937044E-10,1.314014E-08,-2.734016E-08,1,1,0,0,0,1,3,1,0,0,0,-8.665901E-11,1.394036E-08,-2.687234E-08,1,1,0,0,0,1
858.3868,0,0,0,2.021609E-08,3.85313E-08,-3.336953E-07,1,0.6257067,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,76.54019,92.61449,89.64752,85.78843,77.84385,71.98257,67.34785,78.44088,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,2,1,0,0,0,5.257086E-10,1.721733E-08,-1.98519E-08,1,1,0,0,0,1,3,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1
858.4371,0,0,0,1.792882E-08,9.308557E-08,-3.858907E-07,1,0.6257067,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,80.79243,97.75974,94.62793,90.55445,82.16851,75.9816,71.0894,82.79871,0,1,0,0,0,-6.541035E-10,1.485963E-08,-1.317471E-08,1,1,0,0,0,1,1,1,0,0,0,-3.665767E-10,1.179174E-08,-1.330502E-08,1,1,0,0,0,1,2,1,0,0,0,-5.553766E-10,1.515489E-08,-1.332982E-08,1,1,0,0,0,1,3,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1
858.4875,0,0,0,6.799988E-09,1.122831E-07,-4.920531E-07,1,0.6257067,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,80.79243,97.75974,94.62793,90.55445,82.16851,75.9816,71.0894,82.79871,0,1,0,0,0,-3.117723E-09,0.000000005,-2.951222E-08,1,1,0,0,0,1,1,1,0,0,0,-0.000000003,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,2,1,0,0,0,-3.117723E-09,0.000000005,-2.951222E-08,1,1,0,0,0,1,3,1,0,0,0,-1.929573E-09,2.902197E-09,-2.073584E-08,1,1,0,0,0,1
858.5363,0,0,0,2.248008E-09,1.055695E-07,-6.120513E-07,1,0.6257067,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,80.79243,97.75974,94.62794,90.55445,82.16851,75.98161,71.0894,82.79871,0,1,0,0,0,-1.144351E-09,-2.575212E-09,-0.000000036,1,1,0,0,0,1,1,1,0,0,0,-2.219758E-09,2.756447E-10,-3.55392E-08,1,1,0,0,0,1,2,1,0,0,0,-3.261818E-10,-1.097244E-09,-1.923769E-08,1,1,0,0,0,1,3,1,0,0,0,-8.617008E-10,-3.316785E-09,-2.924339E-08,1,1,0,0,0,1
858.587,0,0,0,-2.468211E-08,9.636771E-08,-0.000000857,1,0.605332,0.05732324,0.7368126,-0.06297252,0.6707129,0,0,0,0,85.04469,102.905,99.60835,95.32047,86.49317,79.98063,74.83095,87.15653,0,1,0,0,0,-7.906666E-09,-3.54826E-09,-6.809682E-08,1,0.9674373,0,0,0,1,1,1,0,0,0,-6.910846E-09,-2.698296E-09,-6.126998E-08,1,1,0,0,0,1,2,1,0,0,0,-6.568298E-09,-1.884133E-10,-0.000000068,1,1,0,0,0,1,3,1,0,0,0,-5.544403E-09,-2.766676E-09,-4.760344E-08,1,1,0,0,0,1
858.6372,0,0,0,-4.861941E-08,7.37211E-08,-1.042634E-06,1,0.5517001,0.05732323,0.7368126,-0.06297251,0.6707129,0,0,0,0,80.31475,97.25008,94.12036,90.06607,81.69915,75.51189,70.61315,82.37641,0,1,0,0,0,-6.122676E-09,-5.836994E-09,-4.790277E-08,1,0.9114009,0,0,0,1,1,1,0,0,0,-5.126856E-09,-0.000000005,-4.107593E-08,1,1,0,0,0,1,2,1,0,0,0,-6.565179E-09,-0.000000006,-4.871303E-08,1,1,0,0,0,1,3,1,0,0,0,-6.122676E-09,-5.836994E-09,-4.790277E-08,1,1,0,0,0,1
858.6872,0,0,0,-6.181196E-08,5.540026E-08,-1.18758E-06,1,0.511445,0.05732323,0.7368126,-0.06297251,0.6707129,0,0,0,0,79.54282,96.4255,93.29919,89.27648,80.94088,74.75309,69.8437,81.69534,0,1,0,0,0,-3.728622E-09,-4.809624E-09,-3.840097E-08,1,0.9270345,0,0,0,1,1,1,0,0,0,-3.269225E-09,-4.887337E-09,-3.833633E-08,1,1,0,0,0,1,2,1,0,0,0,-3.212242E-09,-4.292491E-09,-3.411983E-08,1,1,0,0,0,1,3,1,0,0,0,-0.000000003,-4.331347E-09,-3.408752E-08,1,1,0,0,0,1
