4,3,-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1898.915,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,4.630626,5.383685,13.77833,0,1,-0.7946229,0.009124325,0.3159451,0,0,0,1,0.9843211,0,0,0,1,1,1,-0.08908558,-0.07839905,-0.2755311,0,0,0,1,1,0,0,0,1,2,1,-0.008999759,-4.025806E-05,5.233537E-05,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,3,1,-0.01073509,0.001792226,-0.0001538097,0,0,0,1,1,0,0,0,1
1898.996,0,0,0,1.145898E-10,1.112516E-07,-1.298424E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,75.07403,86.16156,210.9848,0,1,0,0,0,6.363964E-11,3.084203E-08,-3.417843E-08,1,1,0,0,0,1,1,1,0,0,0,-4.266184E-10,2.867223E-08,-3.127836E-08,1,1,0,0,0,1,2,1,0,0,0,6.240057E-10,2.565747E-08,-3.34643E-08,1,1,0,0,0,1,3,1,0,0,0,1.337474E-10,2.348767E-08,-3.056423E-08,1,1,0,0,0,1
1899.048,0,0,0,1.589087E-08,1.701946E-07,-2.636014E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,105.5444,121.0512,295.718,0,1,0,0,0,4.504681E-09,1.25418E-08,-4.103733E-08,1,1,0,0,0,1,1,1,0,0,0,4.605345E-09,1.81593E-08,-3.430186E-08,1,1,0,0,0,1,2,1,0,0,0,2.775475E-09,1.220936E-08,-2.434966E-08,1,1,0,0,0,1,3,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1
1899.098,0,0,0,3.146628E-08,2.067812E-07,-1.876935E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,105.546,121.0528,295.7194,0,1,0,0,0,4.053781E-09,9.965591E-09,2.011549E-08,1,1,0,0,0,1,1,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1,2,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1,3,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1
1899.147,0,0,0,4.328396E-08,2.311693E-07,-2.825727E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,100.52,115.2884,281.6375,0,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1,1,1,0,0,0,3.052757E-09,7.984741E-09,-2.425712E-08,1,1,0,0,0,1,2,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,3,1,0,0,0,2.639339E-09,5.42231E-09,-2.11591E-08,1,1,0,0,0,1
1899.197,0,0,0,5.12603E-08,2.711273E-07,-4.165429E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,110.572,126.8173,309.8013,0,1,0,0,0,1.167911E-09,1.157233E-08,-3.009226E-08,1,1,0,0,0,1,1,1,0,0,0,3.287167E-09,8.772251E-09,-3.758722E-08,1,1,0,0,0,1,2,1,0,0,0,2.073136E-09,1.063343E-08,-3.655552E-08,1,1,0,0,0,1,3,1,0,0,0,1.448094E-09,8.980049E-09,-2.973519E-08,1,1,0,0,0,1
1899.248,0,0,0,6.566764E-08,2.957975E-07,-3.841514E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,337.9651,0,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1,1,1,0,0,0,4.742526E-09,7.590808E-09,9.931494E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,3,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
1899.297,0,0,0,7.944529E-08,3.481399E-07,-2.886369E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,337.9651,0,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1,1,1,0,0,0,3.464863E-09,1.272167E-08,2.420095E-08,1,1,0,0,0,1,2,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1,3,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1
1899.347,0,0,0,9.773574E-08,3.881212E-07,-2.028885E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,155.806,178.6971,436.5382,0,1,0,0,0,4.761179E-09,1.217635E-08,2.554628E-08,1,1,0,0,0,1,1,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1,2,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1,3,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1
1899.398,0,0,0,1.192615E-07,4.346097E-07,-1.271394E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,155.806,178.6971,436.5382,0,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1,1,1,0,0,0,5.996609E-09,1.258327E-08,2.055786E-08,1,1,0,0,0,1,2,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,3,1,0,0,0,5.368495E-09,1.214702E-08,1.965335E-08,1,1,0,0,0,1
