4,1,-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2208.51,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,395.1845,0,1,0,0,0,-1.751656E-06,-2.77608E-06,-4.485878E-06,1,1,0,0,0,1,1,1,0,0,0,-1.739407E-06,-2.756667E-06,-4.454508E-06,1,1,0,0,0,1,2,1,0,0,0,-1.737237E-06,-2.750192E-06,-4.448591E-06,1,1,0,0,0,1,3,1,0,0,0,-1.665912E-06,-2.640188E-06,-4.266283E-06,1,1,0,0,0,1
2208.561,0,0,0,4.955578E-09,4.278617E-08,-9.693035E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,135.1755,0,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1,1,1,0,0,0,2.236544E-09,1.178701E-08,-3.540128E-08,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,1.744738E-09,1.528834E-08,-3.203603E-08,1,1,0,0,0,1
2208.61,0,0,0,1.699476E-08,8.491137E-08,-1.962233E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,129.7685,0,1,0,0,0,4.102398E-09,1.51235E-08,-3.779238E-08,1,1,0,0,0,1,1,1,0,0,0,4.102398E-09,1.51235E-08,-3.779238E-08,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,3.834382E-09,1.187821E-08,-2.37082E-08,1,1,0,0,0,1
2208.661,0,0,0,3.607949E-08,1.551407E-07,-8.921504E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,140.5826,0,1,0,0,0,2.709579E-09,6.880497E-09,1.259772E-08,1,1,0,0,0,1,1,1,0,0,0,1.722429E-09,5.918916E-09,8.185515E-09,1,1,0,0,0,1,2,1,0,0,0,1.308581E-08,5.382508E-08,7.812437E-08,1,1,0,0,0,1,3,1,0,0,0,1.566935E-09,3.604755E-09,8.100669E-09,1,1,0,0,0,1
2208.71,0,0,0,4.662987E-08,1.827554E-07,-1.587676E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,135.1755,0,1,0,0,0,5.173951E-09,1.602878E-08,-2.699649E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,4.413708E-09,1.296998E-08,-2.400049E-08,1,1,0,0,0,1,3,1,0,0,0,9.627296E-10,-1.383965E-09,-1.855561E-08,1,1,0,0,0,1
2208.76,0,0,0,6.994678E-08,2.359472E-07,-4.285113E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,135.1755,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,1,1,0,0,0,1.739335E-08,3.230408E-08,-1.659556E-07,1,1,0,0,0,1,2,1,0,0,0,1.189803E-09,6.280597E-09,-2.160149E-08,1,1,0,0,0,1,3,1,0,0,0,2.294586E-09,5.343849E-09,-4.462446E-08,1,1,0,0,0,1
2208.811,0,0,0,8.266554E-08,2.587196E-07,-3.985455E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,145.9896,0,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,3,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
2208.861,0,0,0,9.645235E-08,3.056628E-07,-3.10805E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,162.2107,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1,3,1,0,0,0,2.944993E-09,1.071106E-08,2.137818E-08,1,1,0,0,0,1
2208.91,0,0,0,1.159024E-07,3.509304E-07,-2.176798E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,173.0247,0,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,1,1,0,0,0,4.797924E-09,1.016574E-08,2.266031E-08,1,1,0,0,0,1,2,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1,3,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
2208.961,0,0,0,1.357228E-07,3.899892E-07,-1.532865E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,178.4318,0,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1,1,1,0,0,0,4.775301E-09,7.600394E-09,1.300467E-08,1,1,0,0,0,1,2,1,0,0,0,5.475841E-09,1.214702E-08,1.964116E-08,1,1,0,0,0,1,3,1,0,0,0,4.164114E-09,9.174749E-09,1.498003E-08,1,1,0,0,0,1
