2,8,Time4-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
20.81918,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,22.75549,27.31217,26.48201,25.35447,23.09339,21.46723,20.1993,23.12263,0,1,0,0,0,5.680623E-11,-1.144247E-09,2.485806E-09,1,1,0,0,0,1,1,1,0,0,0,5.680623E-11,-1.144247E-09,2.485806E-09,1,1,0,0,0,1
20.86672,0,0,0,1.353237E-09,-1.951758E-08,-5.50715E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,6.008681E-10,-8.683017E-09,-2.184112E-09,1,1,0,0,0,1,1,1,0,0,0,6.387554E-10,-8.546061E-09,-8.294652E-09,1,1,0,0,0,1
20.91661,0,0,0,4.545146E-09,-2.874886E-08,-1.947101E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,1,1,0,0,0,1.548607E-09,-4.112003E-09,-5.169563E-09,1,1,0,0,0,1
20.96666,0,0,0,7.077724E-09,-3.194089E-08,-5.725835E-08,1,0.9565222,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,204.1969,245.1727,237.7034,227.5765,207.2471,192.6106,181.1917,207.5619,0,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,0.9565222,0,0,0,1,1,1,0,0,0,1.03518E-09,-7.275377E-10,-1.935205E-08,1,1,0,0,0,1
21.0171,0,0,0,9.075139E-09,-4.451816E-08,-7.977664E-08,1,0.9371246,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,211.9481,254.6691,246.8728,236.3424,215.1542,199.865,187.922,215.5974,0,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,0.9797207,0,0,0,1,1,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1
21.06692,0,0,0,8.948266E-09,-1.831497E-08,-1.386551E-07,1,0.9138674,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,206.6442,248.4101,240.7828,230.5043,209.7943,194.8291,183.1302,210.2975,0,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,0.9751824,0,0,0,1,1,1,0,0,0,-3.528508E-10,1.372535E-08,-3.096141E-08,1,1,0,0,0,1
21.11655,0,0,0,1.015022E-08,1.950861E-08,-2.004166E-07,1,0.889126,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,205.7544,247.4683,239.8443,229.5976,208.9185,193.9519,182.2416,209.5,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,0.9729267,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
21.16674,0,0,0,8.808271E-09,4.648879E-08,-2.350013E-07,1,0.8712177,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,209.4464,252.0209,244.2342,233.7931,212.6916,197.3985,185.4235,213.3549,0,1,0,0,0,-7.585808E-10,1.345075E-08,-1.841014E-08,1,0.9798586,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1
21.21704,0,0,0,2.726736E-09,5.779566E-08,-2.909156E-07,1,0.840595,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,208.7096,251.2402,243.4564,233.042,211.9665,196.6725,184.688,212.6959,0,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,0.9648507,0,0,0,1,1,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1
21.2665,0,0,0,-1.172886E-09,5.327653E-08,-3.724385E-07,1,0.8177812,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,203.332,244.9011,237.2867,227.1283,206.5345,191.5645,179.823,207.3329,0,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,0.97286,0,0,0,1,1,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1
