2,1,Time5-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
281.4957,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,384.4672,0,1,0,0,0,-2.436416E-09,-8.702443E-08,-2.293317E-06,1,1,0,0,0,1,1,1,0,0,0,-2.40136E-09,-8.577227E-08,-2.260321E-06,1,1,0,0,0,1
281.5453,0,0,0,2.865982E-09,2.325217E-08,-5.771691E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,286.5722,0,1,0,0,0,1.611502E-09,1.013363E-08,-2.858095E-08,1,1,0,0,0,1,1,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1
281.5953,0,0,0,1.139368E-08,5.804118E-08,-1.153821E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1,1,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1
281.6454,0,0,0,1.867691E-08,7.689788E-08,-7.984612E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,297.3863,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,1,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1
281.6952,0,0,0,2.370568E-08,8.371579E-08,-1.230171E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,1,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1
281.7453,0,0,0,2.751538E-08,1.020276E-07,-1.928322E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,1,0,0,0,1.448094E-09,8.980049E-09,-2.973519E-08,1,1,0,0,0,1,1,1,0,0,0,2.361598E-09,9.331751E-09,-4.007989E-08,1,1,0,0,0,1
281.7953,0,0,0,3.362329E-08,1.134138E-07,-1.778207E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
281.8449,0,0,0,4.037751E-08,1.356592E-07,-1.373336E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,291.9792,0,1,0,0,0,3.246378E-09,1.090171E-08,1.830036E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
281.8955,0,0,0,4.965197E-08,1.579521E-07,-9.32175E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,302.7933,0,1,0,0,0,4.488123E-09,1.193075E-08,2.155785E-08,1,1,0,0,0,1,1,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1
281.945,0,0,0,5.992004E-08,1.797102E-07,-5.769181E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,291.9792,0,1,0,0,0,4.792228E-09,9.611002E-09,1.588454E-08,1,1,0,0,0,1,1,1,0,0,0,5.475841E-09,1.214702E-08,1.964116E-08,1,1,0,0,0,1
