1,3,7-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
82.06586,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,32.41438,37.6858,96.44833,0,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1
82.11391,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,245.1191,281.3427,689.1224,0,1,0,0,0,1.534663E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1
82.1643,0,0,0,5.713903E-09,2.665013E-08,-5.966449E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4516,322.8035,788.5809,0,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1
82.21384,0,0,0,8.926425E-09,3.353063E-08,-4.712388E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.212522E-09,6.880497E-09,1.254062E-08,1,1,0,0,0,1
82.26408,0,0,0,1.11976E-08,3.540071E-08,-7.569376E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,266.3781,305.5144,746.339,0,1,0,0,0,2.271176E-09,1.870085E-09,-2.856989E-08,1,1,0,0,0,1
82.31448,0,0,0,1.285732E-08,4.34717E-08,-1.091513E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1
82.36398,0,0,0,1.585136E-08,4.853224E-08,-1.025112E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
82.41438,0,0,0,1.969444E-08,6.408776E-08,-7.764253E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,3.843091E-09,1.555549E-08,2.48687E-08,1,1,0,0,0,1
82.46384,0,0,0,2.458595E-08,7.400224E-08,-6.195255E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,4.891509E-09,9.914473E-09,1.568999E-08,1,1,0,0,0,1
82.51424,0,0,0,3.059948E-08,8.859614E-08,-3.851481E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,6.013537E-09,1.459388E-08,2.343774E-08,1,1,0,0,0,1
