1,1,7-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
399.2513,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,8633.089,0,1,0,0,0,-5.34379E-09,1.243794E-07,-3.640385E-08,1,1,0,0,0,1
399.3008,0,0,0,1.744737E-09,1.528834E-08,-3.203603E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,264.8376,0,1,0,0,0,1.744738E-09,1.528834E-08,-3.203603E-08,1,1,0,0,0,1
399.3512,0,0,0,5.222094E-09,2.875845E-08,-6.300808E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,3.477356E-09,1.347011E-08,-3.097205E-08,1,1,0,0,0,1
399.4015,0,0,0,6.529459E-09,3.096805E-08,-4.357604E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,275.0237,0,1,0,0,0,1.307367E-09,2.209591E-09,1.943204E-08,1,1,0,0,0,1
399.451,0,0,0,8.415954E-09,2.790516E-08,-8.405479E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.886494E-09,-3.062883E-09,-4.047873E-08,1,1,0,0,0,1
399.5014,0,0,0,9.940888E-09,3.649258E-08,-1.13592E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,1.524933E-09,8.58742E-09,-2.953724E-08,1,1,0,0,0,1
399.5509,0,0,0,1.243198E-08,4.155312E-08,-1.068949E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.491094E-09,5.060539E-09,6.697134E-09,1,1,0,0,0,1
399.6013,0,0,0,1.593983E-08,5.289676E-08,-8.470809E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
399.6508,0,0,0,2.010964E-08,6.262626E-08,-6.29523E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.16981E-09,9.729489E-09,2.175579E-08,1,1,0,0,0,1
399.7012,0,0,0,2.551488E-08,7.276267E-08,-4.618491E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
399.7507,0,0,0,2.595173E-08,8.385683E-08,-4.215032E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1
399.8016,0.01322859,0.00738503,0.009860726,2.488491E-08,8.156408E-08,-2.023122E-08,1,1,0.07098203,0.7415877,-0.07947502,0.6623391,0,0,0,0,259.6371,0,1,0.02007278,0.01109113,0.0154647,-1.066836E-09,-2.292766E-09,2.191911E-08,1,1,0,0,0,1
399.8514,0.04952379,0.02545554,0.04621419,2.363294E-08,8.925127E-08,-8.733897E-09,1,1,0.07069439,0.7411188,-0.0790303,0.6629476,0,0,0,0,228.1414,0,1,0.04575175,0.02225211,0.0480394,-1.251968E-09,7.687174E-09,1.149732E-08,1,1,0,0,0,1
399.9012,0.1095909,0.05318255,0.1146991,2.0944E-08,9.179324E-08,-2.652284E-08,1,1,0.07008857,0.7398722,-0.07803613,0.6645203,0,0,0,0,276.1704,0,1,0.0692542,0.03130607,0.08139078,-2.688942E-09,2.541964E-09,-1.778895E-08,1,1,0,0,0,1
399.9507,0.1634023,0.07576497,0.1857297,2.23194E-08,9.310694E-08,-6.559523E-09,1,1,0.06922983,0.7377783,-0.07656411,0.6671045,0,0,0,0,271.8791,0,1,0.05460632,0.02188425,0.07704005,1.375407E-09,1.313716E-09,1.996332E-08,1,1,0,0,0,1
400.0013,0.2106588,0.09327742,0.2627755,2.442856E-08,9.009617E-08,1.014058E-08,1,1,0.06827458,0.7349699,-0.07484045,0.6704898,0,0,0,0,272.3507,0,1,0.04046871,0.01361695,0.07532321,2.109158E-09,-3.010785E-09,1.670011E-08,1,1,0,0,0,1
400.0512,0.2464518,0.1055949,0.329353,2.32789E-08,8.119309E-08,6.326923E-09,1,1,0.06734592,0.7317181,-0.07307797,0.674324,0,0,0,0,263.4767,0,1,0.02932963,0.009893915,0.05688165,-1.149664E-09,-8.903085E-09,-3.813661E-09,1,1,0,0,0,1
400.1008,0.2751336,0.1145744,0.3900197,2.20781E-08,8.724221E-08,-2.502517E-08,1,1,0.06649745,0.7282471,-0.07139041,0.6783345,0,0,0,0,241.3752,0,1,0.02748425,0.00835415,0.06062553,-1.200794E-09,6.049146E-09,-3.135209E-08,1,1,0,0,0,1
400.1512,0.3191848,0.130394,0.4773886,2.187014E-08,8.49007E-08,-3.319387E-08,1,1,0.06567987,0.7244563,-0.06970371,0.6826351,0,0,0,0,262.0797,0,1,0.06784412,0.02556087,0.1304006,-2.079696E-10,-2.341513E-09,-8.168707E-09,1,1,0,0,0,1
400.2007,0.4798428,0.2071821,0.7069951,2.08588E-08,8.704828E-08,-5.949713E-08,1,1,0.06424816,0.718759,-0.06701997,0.6890327,0,0,0,0,252.1719,0,1,0.1981115,0.1002346,0.2569561,-1.011341E-09,2.147556E-09,-2.630325E-08,1,1,0,0,0,1
400.2511,0.6486813,0.29872,0.9139177,2.090752E-08,8.805743E-08,-7.175794E-08,1,1,0.06159596,0.7109656,-0.06276653,0.6977065,0,0,0,0,245.2327,0,1,0.1587588,0.08976893,0.1860057,4.872749E-11,1.009156E-09,-1.226081E-08,1,1,0,0,0,1
400.3015,0.7583817,0.3616265,1.047392,2.072177E-08,8.67053E-08,-8.533908E-08,1,1,0.05820034,0.7025445,-0.05784227,0.7068935,0,0,0,0,232.7674,0,1,0.08203442,0.04847163,0.101204,-1.857544E-10,-1.352127E-09,-1.358112E-08,1,1,0,0,0,1
400.351,0.8239986,0.4036354,1.112685,2.050944E-08,8.50435E-08,-8.037328E-08,1,1,0.05468434,0.6947954,-0.05312755,0.7151549,0,0,0,0,220.1978,0,1,0.05345297,0.0365912,0.0443925,-2.123289E-10,-1.661801E-09,4.965807E-09,1,1,0,0,0,1
400.4014,0.8707703,0.4363415,1.149683,2.025591E-08,8.458768E-08,-7.418577E-08,1,1,0.05127702,0.6881918,-0.04887171,0.7220625,0,0,0,0,218.8057,0,1,0.04010542,0.02897537,0.02950185,-2.535341E-10,-4.558439E-10,6.187518E-09,1,1,0,0,0,1
400.4509,0.9021745,0.459457,1.170391,1.900298E-08,9.055454E-08,-6.862118E-08,1,1,0.04813052,0.6827376,-0.04515812,0.7276769,0,0,0,0,211.3872,0,1,0.02541924,0.01926178,0.0143549,-1.252927E-09,5.966848E-09,5.564587E-09,1,1,0,0,0,1
400.5013,0.9213449,0.4738353,1.185465,1.81327E-08,7.803972E-08,-6.668471E-08,1,1,0.04536382,0.6783,-0.04202567,0.7321783,0,0,0,0,212.864,0,1,0.01554808,0.01181711,0.0129507,-8.702775E-10,-1.251481E-08,1.936466E-09,1,1,0,0,0,1
400.5508,0.9411281,0.4892685,1.197441,1.957176E-08,7.641598E-08,-7.794242E-08,1,1,0.04294862,0.6746976,-0.03938258,0.7357906,0,0,0,0,207.5332,0,1,0.02225921,0.01755547,0.01226167,1.439057E-09,-1.623739E-09,-1.12577E-08,0.9999999,1,0,0,0,1
400.6012,0.9683947,0.5110614,1.211632,1.814832E-08,8.277738E-08,-8.481003E-08,1,1,0.04070627,0.6717353,-0.0370139,0.7387453,0,0,0,0,209.782,0,1,0.02920663,0.02351989,0.01462121,-1.423442E-09,6.361391E-09,-6.867596E-09,1,1,0,0,0,1
400.6507,1.001688,0.5375037,1.237848,1.872877E-08,8.597597E-08,-8.841674E-08,1,1,0.03851371,0.6691688,-0.03476632,0.7412969,0,0,0,0,144.5624,0,1,0.03529465,0.02787323,0.03220143,5.804588E-10,3.198605E-09,-3.606728E-09,1,1,0,0,0,1
400.701,1.030781,0.5608979,1.263262,1.883218E-08,8.603241E-08,-7.549958E-08,1,1,0.03635033,0.6668025,-0.03259467,0.7436334,0,0,0,0,205.5408,0,1,0.02467538,0.02007851,0.02153786,1.034163E-10,5.644529E-11,1.291714E-08,1,1,0,0,0,1
400.7514,1.038182,0.5668956,1.269827,2.001727E-08,8.629673E-08,-8.074895E-08,1,1,0.03445091,0.6647876,-0.03071671,0.7456052,0,0,0,0,203.6151,0,1,0,0,0,1.185094E-09,2.643316E-10,-5.24936E-09,1,1,0,0,0,1
400.8009,1.039426,0.5679036,1.270931,2.089499E-08,8.617408E-08,-8.406197E-08,1,1,0.03293441,0.6631919,-0.02923342,0.7471527,0,0,0,0,199.234,0,1,0,0,0,8.777078E-10,-1.226761E-10,-3.313009E-09,1,1,0,0,0,1
400.8513,1.039636,0.568073,1.271116,2.074821E-08,8.735343E-08,-8.939247E-08,1,1,0.0317486,0.6619474,-0.02808295,0.7483509,0,0,0,0,202.6516,0,1,0,0,0,-1.467807E-10,1.179374E-09,-5.330499E-09,1,1,0,0,0,1
