2,7,Ahhnnn-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
7562.752,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,-1.377018E-05,-2.332721E-05,-2.272716E-05,1,1,0,0,0,1,1,1,0,0,0,-1.489261E-05,-2.522866E-05,-2.457969E-05,1,1,0,0,0,1
7562.802,-73.42165,-58.0925,-228.9782,2.557699E-08,-2.492874E-08,-1.403136E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,1.791951E-08,-1.236337E-08,-8.010235E-09,1,1,0,0,0,1,1,1,0,0,0,1.257762E-08,-1.493615E-08,-1.134286E-08,1,1,0,0,0,1
7562.852,-73.42165,-58.0925,-228.9782,9.832858E-08,9.196602E-08,-3.910954E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,3.699012E-08,7.56784E-08,-9.00131E-09,1,1,0,0,0,1,1,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1
7562.901,-73.42165,-58.0925,-228.9782,1.366316E-08,1.563401E-07,-1.138093E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,-3.954931E-08,3.854428E-08,1.443622E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-3.756362E-08,2.736822E-08,5.7154E-09,0.9999999,1,0,0,0,1
7562.952,-73.42165,-58.0925,-228.9782,8.454201E-08,1.974511E-07,-5.081616E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,3.017321E-08,4.068959E-09,-1.89427E-08,1,1,0,0,0,1,1,1,0,0,0,3.31531E-08,3.550345E-08,-1.291556E-08,1,1,0,0,0,1
7563.002,-73.42165,-58.0925,-228.9782,1.039563E-07,1.922942E-07,-6.280512E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,1.101583E-08,-2.84922E-09,-7.884026E-09,1,1,0,0,0,1,1,1,0,0,0,8.398414E-09,-2.30772E-09,-4.104927E-09,1,1,0,0,0,1
7563.052,-73.42165,-58.0925,-228.9782,1.119851E-07,2.35856E-07,-4.085195E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,5.538588E-09,2.688342E-08,1.561353E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,2.490277E-09,1.667837E-08,6.339635E-09,0.9999999,1,0,0,0,1
7563.101,-73.42165,-58.0925,-228.9782,1.044172E-07,3.594035E-07,2.500227E-09,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,-1.234574E-08,5.180177E-08,2.254119E-08,1,1,0,0,0,1,1,1,0,0,0,4.777835E-09,7.174566E-08,2.081102E-08,1,1,0,0,0,1
7563.151,-73.42165,-58.0925,-228.9782,1.284585E-07,4.058261E-07,1.793364E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,8.221226E-09,3.241405E-08,1.252262E-08,1,1,0,0,0,1,1,1,0,0,0,1.582005E-08,1.400855E-08,2.910761E-09,1,1,0,0,0,1
7563.202,-73.42165,-58.0925,-228.9782,2.232358E-07,3.83355E-07,-4.630618E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.4247091,5.942648,6.466475,1.673767,0.5391898,0.4826699,0,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1
