2,3,Amanda-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
350.2216,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,-2.618387E-05,-8.557919E-06,-6.724032E-06,1,1,0,0,0,1,1,1,0,0,0,-2.980944E-05,-9.742845E-06,-7.655045E-06,1,1,0,0,0,1
350.2725,0.977,-0.187,-1.75,5.505717E-08,9.923165E-09,-8.131521E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,2.950676E-08,1.008334E-08,-8.412778E-09,1,1,0,0,0,1,1,1,0,0,0,2.555038E-08,-1.601661E-10,2.812603E-10,1,1,0,0,0,1
350.3224,0.977,-0.187,-1.75,1.306302E-07,-9.507137E-09,-7.163958E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,7.323947E-08,3.107226E-09,1.335169E-09,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1
350.3717,0.977,-0.187,-1.75,1.412862E-07,-4.303327E-09,-5.290077E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,-1.485768E-09,7.086741E-09,4.379828E-09,1,1,0,0,0,1,1,1,0,0,0,1.214167E-08,-1.882932E-09,-2.505944E-09,1,1,0,0,0,1
350.4216,0.977,-0.187,-1.75,3.737264E-07,9.162307E-08,-1.630559E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,2.044578E-07,8.089633E-08,-4.773876E-09,1,1,0,0,0,1,1,1,0,0,0,4.209626E-08,2.003182E-08,-6.885015E-09,1,1,0,0,0,1
350.4734,0.977,-0.187,-1.75,4.303559E-07,4.028657E-08,-4.481055E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,2.714412E-08,-2.611553E-08,-8.627278E-09,1,1,0,0,0,1,1,1,0,0,0,2.948536E-08,-2.522098E-08,-1.987771E-08,1,1,0,0,0,1
350.5233,0.977,-0.187,-1.75,4.438497E-07,-7.174958E-09,-5.913809E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,2.657193E-08,-4.397767E-08,-1.295218E-08,1,1,0,0,0,1,1,1,0,0,0,-1.307804E-08,-3.483849E-09,-1.375379E-09,1,1,0,0,0,1
350.5726,0.977,-0.187,-1.75,5.038261E-07,3.185408E-08,-4.913488E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,2.813193E-08,2.247782E-08,7.055358E-09,1,1,0,0,0,1,1,1,0,0,0,3.184451E-08,1.655121E-08,2.947841E-09,1,1,0,0,0,1
350.6227,0.977,-0.187,-1.75,5.048514E-07,5.972245E-08,-4.432274E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,-3.08513E-08,1.959945E-09,2.177238E-09,1,1,0,0,0,1,1,1,0,0,0,3.187643E-08,2.590839E-08,2.634915E-09,1,1,0,0,0,1
350.6728,0.977,-0.187,-1.75,6.019267E-07,1.071786E-07,-4.410154E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.1350072,0.1776159,0,1,0,0,0,3.339279E-08,2.15873E-08,4.170086E-10,1,1,0,0,0,1,1,1,0,0,0,6.368244E-08,2.586887E-08,-1.957844E-10,1,1,0,0,0,1
