2,3,Ana-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
15.80039,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
15.84836,0.977,-0.187,-1.75,5.151205E-08,1.201855E-08,-9.092108E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.950676E-08,1.008334E-08,-8.412778E-09,1,1,0,0,0,1,1,1,0,0,0,2.200528E-08,1.935213E-09,-6.793304E-10,1,1,0,0,0,1
15.89759,0.977,-0.187,-1.75,-7.161057E-09,5.13289E-10,6.452022E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,-6.100671E-08,1.103227E-08,1.591174E-08,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1
15.94914,0.977,-0.187,-1.75,-1.252753E-08,-4.368194E-09,7.751881E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,-1.297702E-08,-2.636848E-09,2.781631E-09,1,1,0,0,0,1,1,1,0,0,0,7.610524E-09,-2.244636E-09,-1.48177E-09,1,1,0,0,0,1
15.99774,0.977,-0.187,-1.75,3.404159E-08,2.613999E-08,1.587107E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.79822E-08,1.503002E-08,-6.241615E-09,1,1,0,0,0,1,1,1,0,0,0,1.858692E-08,1.547816E-08,1.436081E-08,1,1,0,0,0,1
16.04725,0.977,-0.187,-1.75,4.495047E-08,3.087316E-08,2.590619E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.955023E-08,2.027282E-08,6.744462E-09,1,1,0,0,0,1,1,1,0,0,0,-1.864136E-08,-1.553964E-08,3.290656E-09,1,1,0,0,0,1
16.09754,0.977,-0.187,-1.75,7.831254E-08,-3.535027E-08,8.950413E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.058614E-08,-2.852828E-08,-5.853915E-09,1,1,0,0,0,1,1,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1
16.14782,0.977,-0.187,-1.75,1.267234E-07,-3.14492E-08,2.652953E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.689246E-08,9.723185E-09,5.303268E-09,1,1,0,0,0,1,1,1,0,0,0,5.178779E-09,-5.787245E-09,1.280205E-08,0.9999997,1,0,0,0,1
16.19934,0.977,-0.187,-1.75,9.875878E-08,-1.329098E-08,3.548601E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.684067E-08,-3.703058E-09,8.376484E-09,1,1,0,0,0,1,1,1,0,0,0,3.521569E-08,2.182643E-08,5.379589E-11,1,1,0,0,0,1
16.25018,0.977,-0.187,-1.75,1.961886E-07,4.150518E-08,3.935242E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.419086E-08,1.833457E-08,1.012811E-08,1,1,0,0,0,1,1,1,0,0,0,1.216207E-07,3.646158E-08,-6.26169E-09,1,1,0,0,0,1
16.2984,0.977,-0.187,-1.75,2.076426E-07,4.961376E-08,4.745186E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0,0,0,1,0,0,0,9.880452E-09,5.511387E-10,-1.578058E-09,1,1,0,0,0,1,1,1,0,0,0,1.573477E-09,7.557437E-09,9.67748E-09,1,1,0,0,0,1
16.34912,0.977,-0.187,-1.75,2.547873E-07,8.38852E-08,4.827573E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.081039E-08,1.690263E-08,9.532513E-10,1,1,0,0,0,1,1,1,0,0,0,2.633424E-08,1.736883E-08,-1.293628E-10,1,1,0,0,0,1
16.39769,0.977,-0.187,-1.75,2.557418E-07,9.519763E-08,5.322385E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0,0,0,1,0,0,0,9.393288E-11,1.043895E-08,3.405601E-09,1,1,0,0,0,1,1,1,0,0,0,8.605834E-10,8.734653E-10,1.542521E-09,1,1,0,0,0,1
16.44816,0.977,-0.187,-1.75,1.837794E-07,6.712468E-08,6.91437E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0,0,0,1,0,0,0,-3.305428E-08,-5.761458E-09,1.212531E-08,1,1,0,0,0,1,1,1,0,0,0,-3.890817E-08,-2.23115E-08,3.794514E-09,1,1,0,0,0,1
16.49941,0.977,-0.187,-1.75,2.526968E-07,1.236324E-07,6.453741E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.023702E-08,2.277555E-08,-5.606946E-09,0.9999996,1,0,0,0,1,1,1,0,0,0,4.868035E-08,3.373211E-08,1.000671E-09,1,1,0,0,0,1
