2,3,Andrew-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
121.1726,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
121.2209,0.977,-0.187,-1.75,4.070226E-08,2.69412E-08,-9.536476E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.321803E-08,1.355372E-08,-5.44282E-09,1,1,0,0,0,1,1,1,0,0,0,1.748421E-08,1.338748E-08,-4.093655E-09,0.9999999,1,0,0,0,1
121.2708,0.977,-0.187,-1.75,1.056237E-07,5.444051E-08,6.770629E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.149698E-08,1.769779E-08,6.49556E-09,1,1,0,0,0,1,1,1,0,0,0,3.342445E-08,9.801511E-09,9.811541E-09,1,1,0,0,0,1
121.3224,0.977,-0.187,-1.75,9.36576E-08,7.056683E-08,1.988044E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.701917E-08,4.744379E-09,9.811187E-09,1,1,0,0,0,1,1,1,0,0,0,1.505307E-08,1.138195E-08,3.29862E-09,1,1,0,0,0,1
121.3706,0.977,-0.187,-1.75,1.022463E-07,1.045083E-07,2.330889E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,9.381038E-08,4.088212E-08,-6.596176E-09,1,1,0,0,0,1,1,1,0,0,0,-8.522166E-08,-6.94062E-09,1.002462E-08,1,1,0,0,0,1
121.4202,0.977,-0.187,-1.75,1.454236E-07,9.238106E-08,2.252924E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.347745E-08,6.149079E-09,2.537626E-09,1,1,0,0,0,1,1,1,0,0,0,9.699752E-09,-1.827638E-08,-3.317282E-09,1,1,0,0,0,1
121.4707,0.977,-0.187,-1.75,1.387712E-07,3.586372E-08,1.107856E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.330013E-08,-2.404939E-08,-2.070035E-09,1,1,0,0,0,1,1,1,0,0,0,1.664782E-08,-3.246796E-08,-9.380656E-09,1,1,0,0,0,1
121.5197,0.977,-0.187,-1.75,1.152739E-07,2.209353E-08,3.42574E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.637491E-08,-1.282302E-08,6.619271E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,2.877605E-09,-9.471944E-10,1.655955E-08,0.9999997,1,0,0,0,1
121.5701,0.977,-0.187,-1.75,1.224417E-07,3.40376E-08,4.33474E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.925696E-09,6.024315E-09,5.334297E-09,1,1,0,0,0,1,1,1,0,0,0,1.30935E-08,5.919745E-09,3.755678E-09,1,1,0,0,0,1
121.6207,0.977,-0.187,-1.75,2.07616E-07,7.267205E-08,5.245138E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,4.520322E-08,2.132488E-08,6.680179E-09,1,1,0,0,0,1,1,1,0,0,0,3.997106E-08,1.730951E-08,2.423824E-09,1,1,0,0,0,1
