2,3,Angela-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1486.883,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,-2.356376E-07,-5.125503E-05,-3.075093E-08,1,1,0,0,0,1,1,1,0,0,0,-2.693039E-07,-5.859506E-05,-3.513159E-08,1,1,0,0,0,1
1486.935,0.977,-0.187,-1.75,3.424394E-07,-3.250977E-08,-4.029594E-08,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,1.751637E-07,1.237626E-08,-2.495291E-08,1,1,0,0,0,1,1,1,0,0,0,1.672755E-07,-4.488604E-08,-1.534303E-08,1,1,0,0,0,1
1486.984,0.977,-0.187,-1.75,3.739364E-07,-1.481197E-08,-3.380039E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.149698E-08,1.769779E-08,6.49556E-09,1,1,0,0,0,1
1487.035,0.977,-0.187,-1.75,3.423861E-07,-1.042929E-08,-2.296503E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-3.155032E-08,4.382675E-09,1.083536E-08,1,1,0,0,0,1
1487.084,0.977,-0.187,-1.75,7.889021E-07,1.643041E-07,-2.530214E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,4.263628E-07,1.593298E-07,-1.326419E-08,1,1,0,0,0,1,1,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1
1487.133,0.977,-0.187,-1.75,7.701593E-07,1.422977E-07,-2.529144E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.874275E-08,-2.200641E-08,1.068135E-11,1,1,0,0,0,1
1487.183,0.977,-0.187,-1.75,7.929352E-07,1.046025E-07,-3.639327E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1
1487.235,0.977,-0.187,-1.75,8.861996E-07,6.733941E-08,-5.836974E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,9.241364E-08,-2.398338E-08,-3.224786E-08,1,1,0,0,0,1,1,1,0,0,0,8.507766E-10,-1.327973E-08,1.027139E-08,0.9999996,1,0,0,0,1
1487.285,0.977,-0.187,-1.75,9.116039E-07,8.914738E-08,-5.557868E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.540406E-08,2.180799E-08,2.791074E-09,1,1,0,0,0,1
1487.335,0.977,-0.187,-1.75,9.07417E-07,1.071116E-07,-5.327702E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.1280794,0.1120827,0,1,0,0,0,-3.400361E-08,-3.932773E-09,-1.091615E-09,1,1,0,0,0,1,1,1,0,0,0,2.296273E-08,2.462169E-08,5.380417E-09,1,1,0,0,0,1
