3,7,As Panteras-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1858.533,-73.44068,-58.14821,-229.0379,0,0,0,1,1,0.1356809,0.2682102,-0.03818602,0.9529931,0,0,0,0,3.45885,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,-0.1565273,-0.004128798,0.1000878,2.629043E-06,-8.716994E-07,2.661882E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,-0.06341945,-0.1857087,-0.1990096,0,0,0,1,1,0,0,0,1
1858.583,-73.47762,-58.25636,-229.1538,-4.151522E-08,2.031617E-07,5.572475E-08,1,1,0.1377371,0.2685845,-0.03883618,0.9525664,0,0,0,0,4.54396,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-1.907238E-09,7.807813E-08,1.296469E-08,1,1,0,0,0,1,1,1,0,0,0,-2.778418E-08,7.058218E-08,2.623479E-08,1,1,0,0,0,1,2,1,0,0,0,-1.182379E-08,5.450139E-08,1.652526E-08,1,1,0,0,0,1
1858.633,-73.48382,-58.27454,-229.1733,-6.5301E-08,3.24584E-07,1.335729E-07,1,1,0.1402715,0.2690436,-0.03964055,0.9520336,0,0,0,0,4.608307,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-3.752572E-09,5.001362E-08,2.571693E-08,1,1,0,0,0,1,1,1,0,0,0,-1.001659E-08,3.570433E-08,2.606561E-08,1,1,0,0,0,1,2,1,0,0,0,-1.001659E-08,3.570433E-08,2.606561E-08,1,1,0,0,0,1
1858.684,-73.48486,-58.27759,-229.1765,-1.238767E-07,1.646897E-07,5.064856E-08,1,1,0.1427192,0.2694872,-0.04042095,0.9515114,0,0,0,0,4.622624,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-2.105823E-08,-4.837497E-08,-3.074991E-08,1,1,0,0,0,1,1,1,0,0,0,-1.655049E-08,-5.827076E-08,-2.769926E-08,1,1,0,0,0,1,2,1,0,0,0,-2.096701E-08,-5.324847E-08,-2.447516E-08,1,1,0,0,0,1
1858.733,-73.48504,-58.27811,-229.1771,-1.353801E-07,1.822136E-07,7.838158E-08,1,1,0.1449355,0.2698902,-0.04113077,0.9510317,0,0,0,0,4.626003,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-9.300641E-09,-1.094867E-08,5.12067E-09,1,1,0,0,0,1,1,1,0,0,0,5.553379E-09,3.058372E-08,1.40028E-08,1,1,0,0,0,1,2,1,0,0,0,-7.756173E-09,-2.111217E-09,8.609539E-09,1,1,0,0,0,1
1858.783,-73.48506,-58.2782,-229.1772,-3.322452E-07,-4.555949E-08,1.35409E-07,1,1,0.1468593,0.2702388,-0.04174906,0.9506105,0,0,0,0,4.626734,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-5.927092E-08,-3.902118E-08,1.665969E-08,1,1,0,0,0,1,1,1,0,0,0,-7.059897E-08,-8.392554E-08,2.020866E-08,1,1,0,0,0,1,2,1,0,0,0,-6.699513E-08,-1.048264E-07,2.01591E-08,1,1,0,0,0,1
1858.833,-73.48506,-58.27821,-229.1772,-3.163863E-07,8.501345E-08,1.034655E-07,1,1,0.1484658,0.270531,-0.04226718,0.9502549,0,0,0,0,4.626886,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-1.931059E-08,-2.068772E-09,-1.120098E-08,1,1,0,0,0,1,1,1,0,0,0,1.406916E-09,3.67292E-08,-8.413378E-09,1,1,0,0,0,1,2,1,0,0,0,3.376277E-08,9.591248E-08,-1.232917E-08,1,1,0,0,0,1
1858.882,-73.48506,-58.27821,-229.1772,-4.544163E-07,-2.905659E-07,6.750027E-08,1,1,0.1497652,0.2707671,-0.04268735,0.9499649,0,0,0,0,4.626899,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-5.24846E-08,-1.171291E-07,-4.472283E-09,1,1,0,0,0,1,1,1,0,0,0,-4.549401E-08,-1.294136E-07,-1.275564E-08,1,1,0,0,0,1,2,1,0,0,0,-4.005142E-08,-1.290366E-07,-1.873714E-08,1,1,0,0,0,1
1858.932,-73.48506,-58.27821,-229.1772,-4.438308E-07,-3.865714E-07,1.996838E-08,1,1,0.1507901,0.2709525,-0.0430193,0.9497349,0,0,0,0,4.626899,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,7.091375E-10,-4.256075E-08,-1.736808E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,5.217413E-09,-2.497599E-08,-1.517812E-08,0.9999999,1,0,0,0,1,2,1,0,0,0,4.659142E-09,-2.846886E-08,-1.498561E-08,0.9999999,1,0,0,0,1
1858.984,-73.48506,-58.27821,-229.1772,-5.360496E-07,-5.494975E-07,-2.336083E-09,1,1,0.1515871,0.2710974,-0.04327804,0.9495549,0,0,0,0,4.626899,0.3389242,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-3.658118E-08,-5.024735E-08,-5.933207E-09,0.9999998,1,0,0,0,1,1,1,0,0,0,-3.016921E-08,-6.906819E-08,-1.232544E-08,0.9999998,1,0,0,0,1,2,1,0,0,0,-2.546818E-08,-4.361067E-08,-4.045824E-09,0.9999999,1,0,0,0,1
