2,7,Bonitus-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2309.048,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,2.323318E-05,2.218051E-06,8.316269E-06,1,1,0,0,0,1,1,1,0.05501175,0.09195666,0.3699424,2.264145E-05,2.173974E-06,8.110433E-06,1,1,0,0,0,1
2309.098,-73.42165,-58.0925,-228.9782,1.22866E-07,-2.941644E-08,-2.925543E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,3.789491E-08,-1.330357E-08,-1.861194E-08,1,1,0,0,0,1,1,1,0,0,0,8.49711E-08,-1.611282E-08,-1.064346E-08,1,1,0,0,0,1
2309.147,-73.42165,-58.0925,-228.9782,2.007423E-07,1.071519E-07,-4.859097E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,4.703496E-08,9.298117E-08,-8.580385E-09,1,1,0,0,0,1,1,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1
2309.198,-73.42165,-58.0925,-228.9782,1.169589E-07,1.496766E-07,-2.28164E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,-4.062695E-08,1.732149E-08,9.80406E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.315647E-08,2.520319E-08,1.597052E-08,0.9999999,1,0,0,0,1
2309.248,-73.42165,-58.0925,-228.9782,1.964389E-07,1.969406E-07,-6.243863E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,3.562765E-08,3.804427E-09,-2.153876E-08,1,1,0,0,0,1,1,1,0,0,0,4.38523E-08,4.345947E-08,-1.808348E-08,1,1,0,0,0,1
2309.298,-73.42165,-58.0925,-228.9782,2.147794E-07,1.93778E-07,-6.703935E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,8.398414E-09,-2.30772E-09,-4.104927E-09,1,1,0,0,0,1,1,1,0,0,0,9.942039E-09,-8.549628E-10,-4.957787E-10,1,1,0,0,0,1
2309.348,-73.42165,-58.0925,-228.9782,2.390034E-07,2.694858E-07,-5.150212E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,1.211203E-08,3.785383E-08,7.768604E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,1.211203E-08,3.785383E-08,7.768604E-09,0.9999999,1,0,0,0,1
2309.398,-73.42165,-58.0925,-228.9782,2.47739E-07,4.262695E-07,-7.874668E-09,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,3.877539E-09,7.232365E-08,2.268532E-08,1,1,0,0,0,1,1,1,0,0,0,4.858001E-09,8.44601E-08,2.094218E-08,1,1,0,0,0,1
2309.447,-73.42165,-58.0925,-228.9782,2.804129E-07,4.497865E-07,-2.826338E-09,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,2.141434E-08,1.814016E-08,1.457237E-09,1,1,0,0,0,1,1,1,0,0,0,1.125956E-08,5.376734E-09,3.591066E-09,1,1,0,0,0,1
2309.498,-73.42165,-58.0925,-228.9782,3.648869E-07,4.615972E-07,-4.794165E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.08432552,6.058261,5.91171,1.696313,0.8069838,0.5731249,0,1,0,0,0,4.278594E-08,7.589941E-09,-2.271486E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.168794E-08,4.220887E-09,-2.240048E-08,0.9999999,1,0,0,0,1
