4,3,Brazil-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
829.2996,0.9833634,-0.1869774,-1.750072,0,0,0,1,1,0.1635897,0.08047327,-0.01339023,0.9831496,0,0,0,0,3.331396,2.832759,0.1400019,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-4.706908E-05,0.0001035828,2.171045E-05,1,1,0,0,0,1,2,1,0.0212114,7.541014E-05,-0.0002406533,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-0.135372,-0.1916547,0.06462771,0.9699302,1,0,0,0,1
829.3513,0.9957159,-0.1869335,-1.750212,-1.804605E-07,2.679675E-08,2.737582E-08,1,1,0.1635184,0.08065595,-0.01341482,0.9831462,0,0,0,0,3.331589,2.832759,0.1400019,0,1,0,0,0,-7.058085E-08,7.902615E-09,3.088749E-09,1,1,0,0,0,1,1,1,0,0,0,-1.098797E-07,1.889414E-08,2.428707E-08,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1
829.3999,0.9977919,-0.1869261,-1.750236,-2.173658E-07,2.43435E-09,3.362807E-08,1,1,0.1634199,0.08083033,-0.0134357,0.983148,0,0,0,0,3.33171,2.832759,0.1400019,0,1,0,0,0,-2.697678E-08,1.088624E-09,8.134553E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-9.92851E-09,-2.545102E-08,-1.882291E-09,1,1,0,0,0,1
829.4504,0.9981409,-0.1869248,-1.75024,-2.454992E-07,9.876791E-09,3.938566E-08,1,1,0.1633616,0.08103858,-0.01346561,0.9831401,0,0,0,0,3.331746,2.832759,0.1400019,0,1,0,0,0,-2.81334E-08,7.442442E-09,5.757582E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1
829.4978,0.9981995,-0.1869246,-1.75024,-2.935398E-07,6.376705E-08,5.147293E-08,1,1,0.16335,0.08128375,-0.01350566,0.9831212,0,0,0,0,3.331755,2.832759,0.1400019,0,1,0,0,0,-5.79677E-08,-9.770875E-09,5.070723E-09,0.9999996,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,9.927387E-09,6.366108E-08,7.016563E-09,1,1,0,0,0,1
829.5484,0.9982094,-0.1869246,-1.75024,-3.455248E-07,1.501329E-07,9.443657E-08,1,1,0.1633662,0.08153211,-0.0135486,0.9830974,0,0,0,0,3.331757,2.832759,0.1400019,0,1,0,0,0,-3.070483E-08,2.317121E-08,1.261469E-08,1,1,0,0,0,1,1,1,0,0,0,-3.548991E-08,7.246326E-08,3.556459E-08,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1
829.5978,0.998211,-0.1869246,-1.75024,-4.990329E-07,2.512919E-08,8.938949E-08,1,1,0.163393,0.08175696,-0.01358851,0.9830737,0,0,0,0,3.331757,2.832759,0.1400019,0,1,0,0,0,-3.311963E-08,-3.077881E-08,-2.858928E-09,1,1,0,0,0,1,1,1,0,0,0,-3.573103E-08,-3.087236E-08,-1.969812E-09,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-8.465737E-08,-6.335247E-08,-2.183056E-10,1,1,0,0,0,1
829.6486,0.9982113,-0.1869246,-1.75024,-5.499903E-07,9.061385E-10,9.27924E-08,1,1,0.1634212,0.08194761,-0.01362285,0.9830527,0,0,0,0,3.331757,2.832759,0.1400019,0,1,0,0,0,4.384864E-09,7.313806E-09,6.271605E-09,1,1,0,0,0,1,1,1,0,0,0,-1.129269E-08,-1.570614E-08,-3.741305E-09,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-4.404948E-08,-1.583074E-08,8.726438E-10,1,1,0,0,0,1
829.6984,0.9982113,-0.1869246,-1.75024,-5.56358E-07,8.125517E-08,1.04246E-07,1,1,0.1634416,0.08209275,-0.01364889,0.9830368,0,0,0,0,3.331757,2.832759,0.1400019,0,1,0,0,0,-2.311744E-08,2.245529E-08,8.801703E-09,1,1,0,0,0,1,1,1,0,0,0,6.235697E-09,1.233373E-08,2.715843E-09,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,1.05143E-08,4.556001E-08,-6.397479E-11,1,1,0,0,0,1
829.7495,0.9982113,-0.1869246,-1.75024,-2.822514E-07,1.377487E-07,1.31466E-07,1,1,0.1634527,0.08219579,-0.01366711,0.9830261,0,0,0,0,3.331757,2.832759,0.1400019,0,1,0,0,0,3.11856E-08,-1.219565E-08,5.356628E-10,1,1,0,0,0,1,1,1,0,0,0,5.277879E-08,2.559459E-08,1.11047E-09,1,1,0,0,0,1,2,1,0,0,0,1.325229E-07,1.659834E-08,2.609333E-08,1,1,0,0,0,1,3,1,0,0,0,5.761952E-08,2.649612E-08,-5.194625E-10,1,1,0,0,0,1
