2,7,CG-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2659.409,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0.02988832,-0.02334879,-0.05171401,9.813692E-06,-3.845338E-08,1.118158E-06,1,1,0,0,0,1,1,1,0.1160965,-0.1504009,-0.1895175,1.01786E-05,-3.990814E-08,1.159718E-06,1,1,0,0,0,1
2659.459,-73.42165,-58.0925,-228.9782,5.635631E-08,-2.933163E-08,-3.294146E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,2.817815E-08,-1.466581E-08,-1.647074E-08,1,1,0,0,0,1,1,1,0,0,0,2.817815E-08,-1.466581E-08,-1.647074E-08,1,1,0,0,0,1
2659.509,-73.42165,-58.0925,-228.9782,1.079941E-07,4.053982E-08,-5.487266E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1,1,1,0,0,0,2.079646E-08,2.628434E-08,-1.117605E-08,1,1,0,0,0,1
2659.559,-73.42165,-58.0925,-228.9782,1.769624E-08,1.085163E-07,-2.789947E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,-4.664003E-08,2.966568E-08,1.256077E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.365781E-08,3.831075E-08,1.441241E-08,0.9999999,1,0,0,0,1
2659.609,-73.42165,-58.0925,-228.9782,8.656045E-08,1.353158E-07,-6.416279E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,4.632684E-08,1.176044E-08,-2.670668E-08,1,1,0,0,0,1,1,1,0,0,0,2.253732E-08,1.503899E-08,-9.556674E-09,1,1,0,0,0,1
2659.659,-73.42165,-58.0925,-228.9782,1.049155E-07,1.206649E-07,-7.35489E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,9.38091E-09,-7.633301E-09,-5.281157E-09,1,1,0,0,0,1,1,1,0,0,0,8.974163E-09,-7.017671E-09,-4.104927E-09,1,1,0,0,0,1
2659.709,-73.42165,-58.0925,-228.9782,1.308133E-07,1.897587E-07,-5.775029E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,4.163991E-09,1.006452E-08,6.601032E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.173378E-08,5.902929E-08,9.197574E-09,0.9999999,1,0,0,0,1
2659.759,-73.42165,-58.0925,-228.9782,1.076787E-07,3.011697E-07,-1.483513E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,-1.078886E-08,5.960922E-08,2.0374E-08,1,1,0,0,0,1,1,1,0,0,0,-1.234574E-08,5.180177E-08,2.254119E-08,1,1,0,0,0,1
2659.809,-73.42165,-58.0925,-228.9782,1.367011E-07,3.336515E-07,-4.578873E-09,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,2.141434E-08,1.814016E-08,1.457237E-09,1,1,0,0,0,1,1,1,0,0,0,7.608013E-09,1.434167E-08,8.798992E-09,1,1,0,0,0,1
2659.859,-73.42165,-58.0925,-228.9782,2.233502E-07,3.030273E-07,-6.89728E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.5587592,6.442557,5.920661,1.595809,0.6050329,0.5824223,0,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.926041E-08,-1.938861E-08,-3.227403E-08,0.9999999,1,0,0,0,1
