2,3,Carlos-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
92.91016,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,4.165837E-08,-1.231252E-08,-1.494732E-09,1,1,0,0,0,1,1,1,0,0,0,8.331673E-08,-2.462504E-08,-2.989464E-09,1,1,0,0,0,1
92.96034,0.977,-0.187,-1.75,4.995266E-08,8.580291E-09,-9.618715E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.748421E-08,1.338748E-08,-4.093655E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.622797E-08,-1.93416E-09,-3.73493E-09,1,1,0,0,0,1
93.01129,0.977,-0.187,-1.75,3.490103E-08,2.93469E-08,1.096594E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.285053E-08,6.86348E-09,1.396439E-09,1,1,0,0,0,1,1,1,0,0,0,-8.16617E-08,1.10301E-08,1.739808E-08,1,1,0,0,0,1
93.06102,0.977,-0.187,-1.75,2.114939E-10,4.098845E-08,2.689481E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,6.646708E-10,8.712734E-09,4.85106E-09,1,1,0,0,0,1,1,1,0,0,0,-3.535422E-08,2.928822E-09,1.107782E-08,1,1,0,0,0,1
93.10989,0.977,-0.187,-1.75,-1.872176E-08,6.130497E-08,3.395377E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.157915E-08,2.781494E-09,1.434085E-08,1,1,0,0,0,1,1,1,0,0,0,3.26459E-08,1.753503E-08,-7.281884E-09,1,1,0,0,0,1
93.16151,0.977,-0.187,-1.75,-9.653156E-08,2.792549E-08,2.83621E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,-4.136742E-08,-1.837914E-08,-3.357869E-09,1,1,0,0,0,1,1,1,0,0,0,-3.644238E-08,-1.500033E-08,-2.233792E-09,1,1,0,0,0,1
93.21181,0.977,-0.187,-1.75,-6.091044E-08,8.637339E-09,1.605054E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.869274E-08,-1.202143E-08,-6.643605E-09,1,1,0,0,0,1,1,1,0,0,0,1.692839E-08,-7.266719E-09,-5.667952E-09,1,1,0,0,0,1
93.26185,0.977,-0.187,-1.75,-1.900669E-08,5.862685E-08,5.305848E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,8.528262E-10,2.420421E-08,1.936669E-08,0.9999998,1,0,0,0,1,1,1,0,0,0,4.105092E-08,2.578527E-08,1.764124E-08,1,1,0,0,0,1
93.31058,0.977,-0.187,-1.75,8.355896E-09,7.116869E-08,6.098713E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.36813E-08,6.270916E-09,3.964326E-09,1,1,0,0,0,1,1,1,0,0,0,1.36813E-08,6.270916E-09,3.964326E-09,1,1,0,0,0,1
93.35986,0.977,-0.187,-1.75,1.991644E-07,1.275406E-07,5.967241E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.069335E-08,1.905041E-08,3.24715E-09,1,1,0,0,0,1,1,1,0,0,0,1.201151E-07,3.732147E-08,-4.561898E-09,1,1,0,0,0,1
