2,3,Chan-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
898.7656,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-2.158407E-08,2.359022E-09,1.331388E-09,1,1,0,0,0,1,1,1,0,0,0,-2.014514E-08,2.201754E-09,1.242629E-09,1,1,0,0,0,1
898.8143,0.977,-0.187,-1.75,-8.289202E-09,-2.573466E-08,4.960683E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,2.009599E-08,-6.890426E-09,-1.727392E-09,1,1,0,0,0,1,1,1,0,0,0,-2.838519E-08,-1.884423E-08,6.688071E-09,0.9999996,1,0,0,0,1
898.8679,0.977,-0.187,-1.75,8.913877E-08,5.85574E-09,2.170232E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,6.918532E-08,2.717873E-08,8.626624E-09,1,1,0,0,0,1,1,1,0,0,0,2.824265E-08,4.411669E-09,8.115014E-09,1,1,0,0,0,1
898.9145,0.977,-0.187,-1.75,4.120813E-08,-5.937347E-09,1.987012E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-2.718687E-08,-2.170223E-09,6.145044E-09,1,1,0,0,0,1,1,1,0,0,0,-2.074377E-08,-9.622864E-09,-7.977238E-09,1,1,0,0,0,1
898.9645,0.977,-0.187,-1.75,1.434912E-07,6.77033E-08,2.010447E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,1.569601E-07,7.343883E-08,-1.171304E-08,1,1,0,0,0,1,1,1,0,0,0,-5.467697E-08,2.018007E-10,1.194738E-08,1,1,0,0,0,1
899.0152,0.977,-0.187,-1.75,1.500416E-07,6.273416E-08,1.370977E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,6.550325E-09,-4.969138E-09,-6.394687E-09,1,1,0,0,0,1
899.0653,0.977,-0.187,-1.75,1.229707E-07,5.291827E-08,1.155979E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-1.399279E-08,-6.332052E-09,-7.74596E-10,1,1,0,0,0,1,1,1,0,0,0,-1.307804E-08,-3.483849E-09,-1.375379E-09,1,1,0,0,0,1
899.1144,0.977,-0.187,-1.75,1.240863E-07,3.95102E-08,7.911266E-09,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.115559E-09,-1.340806E-08,-3.648527E-09,0.9999998,1,0,0,0,1
899.1652,0.977,-0.187,-1.75,1.621559E-07,6.266106E-08,8.799658E-09,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.806951E-08,2.315085E-08,8.883908E-10,1,1,0,0,0,1
899.2159,0.977,-0.187,-1.75,1.80871E-07,7.05297E-08,1.63752E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.871508E-08,7.868624E-09,-7.162138E-09,1,1,0,0,0,1
