3,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
607.4883,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-2.458326E-07,-5.664155E-08,1.335043E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.5437,0.977,-0.187,-1.75,2.190033E-08,-1.372871E-10,2.410803E-10,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.190033E-08,-1.372849E-10,2.410802E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.5921,0.977,-0.187,-1.75,1.345082E-07,4.520361E-08,4.039941E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.6428,0.977,-0.187,-1.75,-4.085531E-08,3.082548E-08,5.25609E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-4.249905E-09,1.860142E-09,3.202627E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.6917,0.977,-0.187,-1.75,7.809594E-08,8.124152E-08,5.898417E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,3.426686E-08,2.040526E-08,1.028367E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.7433,0.977,-0.187,-1.75,1.075683E-07,4.692178E-08,3.378202E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.947239E-08,-3.431974E-08,-2.520215E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.7927,0.977,-0.187,-1.75,1.242161E-07,1.445382E-08,2.440137E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.664782E-08,-3.246796E-08,-9.380656E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.8422,0.977,-0.187,-1.75,1.674483E-07,2.414215E-08,2.917843E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,4.323219E-08,9.688328E-09,4.777062E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.891,0.977,-0.187,-1.75,1.252953E-07,2.18931E-08,3.087513E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-4.215297E-08,-2.249059E-09,1.696701E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
607.9415,0.977,-0.187,-1.75,1.773525E-07,4.049323E-08,3.55682E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,5.205717E-08,1.860011E-08,4.693069E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
