5,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
817.0858,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,9.781786E-08,-1.286994E-07,-1.221048E-07,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.1347,0.977,-0.187,-1.75,7.036351E-08,1.323408E-08,-8.402692E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.748421E-08,1.338748E-08,-4.093655E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,2.66581E-08,1.983382E-08,-6.250001E-09,1,1,0,0,0,1,3,1,0,0,0,9.171643E-11,-2.261683E-08,3.886181E-09,0.9999997,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.1872,0.977,-0.187,-1.75,8.962851E-08,4.980133E-08,2.574189E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-4.659218E-08,1.390747E-08,1.621554E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.483868E-08,2.835052E-08,1.599343E-08,1,1,0,0,0,1,3,1,0,0,0,7.24616E-08,1.061974E-08,1.457708E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.2367,0.977,-0.187,-1.75,6.692451E-08,5.032926E-08,2.692419E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-1.363884E-08,-9.856177E-09,-9.658945E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,6.646708E-10,8.712734E-09,4.85106E-09,1,1,0,0,0,1,3,1,0,0,0,1.801647E-08,-4.165114E-09,-4.602731E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.2841,0.977,-0.187,-1.75,1.189951E-07,1.143093E-07,5.277807E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-5.777479E-08,-2.377892E-09,9.553914E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,6.953976E-08,3.555095E-08,-5.554168E-09,1,1,0,0,0,1,3,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.3356,0.977,-0.187,-1.75,1.700356E-07,4.588205E-08,1.451061E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-1.864136E-08,-1.553964E-08,3.290656E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1.073713E-08,1.57519E-08,8.846179E-09,1,1,0,0,0,1,3,1,0,0,0,2.947239E-08,-3.431974E-08,-2.520215E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.3839,0.977,-0.187,-1.75,1.636863E-07,-2.787258E-08,-4.515474E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,1.261777E-08,-3.005609E-08,-6.728574E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.695788E-08,-2.787827E-09,-1.884072E-09,1,1,0,0,0,1,3,1,0,0,0,-1.632492E-08,-7.387394E-09,-9.036953E-10,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.438,0.977,-0.187,-1.75,2.118169E-07,3.705092E-08,5.040964E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,8.507766E-10,-1.327973E-08,1.027139E-08,0.9999996,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1.451571E-08,-1.031649E-08,-4.390316E-09,0.9999999,1,0,0,0,1,3,1,0,0,0,1.613802E-08,4.184162E-08,2.320118E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.4854,0.977,-0.187,-1.75,2.39664E-07,7.733139E-08,6.21545E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,2.17855E-08,1.9032E-08,3.781829E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,2.17855E-08,1.9032E-08,3.781829E-09,1,1,0,0,0,1,3,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
817.5342,0.977,-0.187,-1.75,3.590908E-07,1.485713E-07,6.502091E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,7.376136E-08,3.05796E-08,-3.221203E-12,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,5.996846E-08,2.621766E-08,-1.900192E-09,1,1,0,0,0,1,3,1,0,0,0,4.520322E-08,2.132488E-08,6.680179E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
