2,3,Christian-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2966.365,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
2966.416,0.977,-0.187,-1.75,-7.946679E-09,-1.986066E-08,4.57714E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-7.94668E-09,-1.986066E-08,4.577137E-09,0.9999997,1,0,0,0,1
2966.465,0.977,-0.187,-1.75,-5.613076E-09,-4.23982E-08,4.209523E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1
2966.515,0.977,-0.187,-1.75,1.270216E-09,-4.355068E-08,3.509472E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,6.883283E-09,-1.152486E-09,-7.000511E-10,1,1,0,0,0,1
2966.564,0.977,-0.187,-1.75,2.142302E-08,-2.814721E-08,1.443654E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1
2966.614,0.977,-0.187,-1.75,-1.501936E-08,-4.314754E-08,1.220276E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-3.644238E-08,-1.500033E-08,-2.233792E-09,1,1,0,0,0,1
2966.665,0.977,-0.187,-1.75,-1.737767E-08,-4.483723E-08,7.854058E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.358304E-09,-1.689683E-09,-4.348698E-09,1,1,0,0,0,1
2966.713,0.977,-0.187,-1.75,7.826053E-09,-5.137815E-08,-9.40814E-10,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.520371E-08,-6.54092E-09,-8.794871E-09,1,1,0,0,0,1
2966.765,0.977,-0.187,-1.75,-2.302525E-08,-4.941821E-08,1.236424E-09,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-3.08513E-08,1.959945E-09,2.177238E-09,1,1,0,0,0,1
2966.814,0.977,-0.187,-1.75,-3.713719E-08,-2.637291E-08,1.15571E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.836208,0.1126994,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.411194E-08,2.304531E-08,1.032067E-08,1,1,0,0,0,1
