2,7,Crab++-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
325.3812,-73.35885,-58.10163,-228.9144,0,0,0,1,1,0.1354601,0.2682333,-0.03812606,0.9530204,0,0,0,0,3.45885,0,0,0,0,0,0,0,1,0,0,0,7.155492E-09,6.689472E-09,0,1,1,0,0,0,1,1,1,0.209356,-0.03043421,0.212706,0,0,0,1,1,0,0,0,1
325.4298,-73.23692,-58.11935,-228.7905,4.408883E-08,2.249687E-09,-1.873618E-08,1,1,0.1349826,0.2688679,-0.03808593,0.9529109,0,0,0,0,4.361768,0,0,0,0,0,0,0,1,0,0,0,1.489429E-08,-4.86594E-10,-8.235061E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.203904E-08,-3.953191E-09,-1.050112E-08,0.9999999,1,0,0,0,1
325.4791,-73.21642,-58.12233,-228.7697,8.412388E-08,8.945551E-08,-2.525382E-08,1,1,0.1344035,0.2696389,-0.03803662,0.9527769,0,0,0,0,4.33099,0,0,0,0,0,0,0,1,0,0,0,1.879352E-08,2.509715E-08,-9.297099E-09,1,1,0,0,0,1,1,1,0,0,0,2.12415E-08,6.210867E-08,2.779476E-09,1,1,0,0,0,1
325.5301,-73.21297,-58.12283,-228.7662,8.471691E-08,-7.334268E-08,-3.76232E-08,1,1,0.1338515,0.2703716,-0.03798844,0.9526489,0,0,0,0,4.318303,0,0,0,0,0,0,0,1,0,0,0,-2.967404E-09,-9.777256E-08,-4.332031E-09,1,1,0,0,0,1,1,1,0,0,0,3.560418E-09,-6.502562E-08,-8.037347E-09,1,1,0,0,0,1
325.5799,-73.21239,-58.12292,-228.7656,1.072649E-07,-1.011343E-07,-1.238833E-07,1,1,0.1333576,0.2710272,-0.03794464,0.9525336,0,0,0,0,4.315294,0,0,0,0,0,0,0,1,0,0,0,1.1274E-08,-1.389579E-08,-4.313003E-08,1,1,0,0,0,1,1,1,0,0,0,1.1274E-08,-1.389579E-08,-4.313003E-08,1,1,0,0,0,1
325.6303,-73.2123,-58.12293,-228.7655,4.45287E-08,-1.785302E-07,-1.198582E-07,1,1,0.1329325,0.2715934,-0.03790668,0.9524332,0,0,0,0,4.314656,0,0,0,0,0,0,0,1,0,0,0,-3.293522E-08,-4.107733E-08,5.413532E-10,1,1,0,0,0,1,1,1,0,0,0,-2.980105E-08,-3.631859E-08,3.48371E-09,1,1,0,0,0,1
325.6793,-73.21228,-58.12293,-228.7655,4.934111E-08,-3.18735E-07,-1.61776E-07,1,1,0.1325797,0.2720632,-0.03787479,0.9523496,0,0,0,0,4.31452,0,0,0,0,0,0,0,1,0,0,0,6.153137E-09,-6.923555E-08,-2.150068E-08,1,1,0,0,0,1,1,1,0,0,0,-1.340759E-09,-7.096927E-08,-2.041703E-08,1,1,0,0,0,1
325.7297,-73.21228,-58.12293,-228.7655,-3.949749E-09,-3.000201E-07,-1.327705E-07,1,1,0.1322936,0.2724447,-0.03784879,0.9522814,0,0,0,0,4.314511,0,0,0,0,0,0,0,1,0,0,0,-2.993794E-08,1.193948E-09,1.381382E-08,1,1,0,0,0,1,1,1,0,0,0,-2.335293E-08,1.752093E-08,1.519176E-08,1,1,0,0,0,1
325.7793,-73.21228,-58.12293,-228.7655,-9.09468E-09,-3.438562E-07,-1.345584E-07,1,1,0.1320681,0.2727452,-0.03782808,0.9522275,0,0,0,0,4.314511,0,0,0,0,0,0,0,1,0,0,0,4.772814E-09,-1.555303E-08,-4.013734E-09,1,1,0,0,0,1,1,1,0,0,0,-9.917742E-09,-2.828301E-08,2.225925E-09,1,1,0,0,0,1
325.83,-73.21228,-58.12293,-228.7655,-1.482278E-08,-3.690064E-07,-1.280805E-07,1,1,0.1318929,0.2729786,-0.03781191,0.9521855,0,0,0,0,4.314511,0,0,0,0,0,0,0,1,0,0,0,-1.129698E-08,-2.119102E-08,7.186672E-09,1,1,0,0,0,1,1,1,0,0,0,5.568889E-09,-3.959114E-09,-7.087762E-10,1,1,0,0,0,1
