2,7,Crab-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
3458.183,-73.53232,-58.33291,-228.8948,0,0,0,1,1,0.1360981,0.2677869,-0.03824068,0.9530505,0,0,0,0,3.45885,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,-0.8786749,-0.1529691,0.1210554,-0.5844331,0.1936798,0.2889833,0.7331634,1.000982,0,0,0,1,1,1,0.04659172,-0.106886,0.03390186,-0.1657938,-0.03433163,0.3195395,0.9323242,1,0,0,0,1
3458.233,-73.74715,-58.79959,-228.733,1.81778E-08,2.81962E-08,-4.867777E-10,1,1,0.142895,0.2633049,-0.03947,0.9532543,0,0,0,0,4.355381,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,5.510399E-09,7.698508E-09,-3.452926E-09,1,1,0,0,0,1,1,1,0,0,0,1.26674E-08,2.049769E-08,2.966149E-09,1,1,0,0,0,1
3458.284,-73.78326,-58.87803,-228.7058,5.970509E-08,1.513515E-07,4.844945E-08,1,1,0.1511375,0.257808,-0.04086782,0.9534266,0,0,0,0,4.345217,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,1.671265E-08,6.012986E-08,2.684334E-08,1,1,0,0,0,1,1,1,0,0,0,2.481464E-08,6.302545E-08,2.209289E-08,1,1,0,0,0,1
3458.334,-73.78933,-58.89121,-228.7012,1.324269E-07,1.618399E-07,7.134797E-08,1,1,0.1589677,0.252519,-0.04209933,0.9535151,0,0,0,0,4.341446,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,4.470419E-08,7.630511E-10,6.889385E-09,1,1,0,0,0,1,1,1,0,0,0,2.801762E-08,9.725246E-09,1.60091E-08,1,1,0,0,0,1
3458.383,-73.79036,-58.89342,-228.7005,1.841975E-07,1.485288E-07,7.156005E-08,1,1,0.1659704,0.2477317,-0.0431198,0.9535322,0,0,0,0,4.340748,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,2.018945E-08,-1.407767E-08,-3.664122E-09,1,1,0,0,0,1,1,1,0,0,0,3.158109E-08,7.666536E-10,3.876157E-09,1,1,0,0,0,1
3458.434,-73.79053,-58.8938,-228.7003,1.787017E-07,1.226969E-07,5.314791E-08,1,1,0.1719907,0.2435687,-0.04393447,0.9535006,0,0,0,0,4.340608,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,7.290012E-09,5.805246E-09,-5.797784E-09,1,1,0,0,0,1,1,1,0,0,0,-1.278588E-08,-3.613337E-08,-1.782067E-08,1,1,0,0,0,1
3458.484,-73.79056,-58.89386,-228.7003,2.406616E-07,2.650705E-07,2.852034E-08,1,1,0.1769912,0.2400784,-0.04456674,0.9534413,0,0,0,0,4.340587,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,3.063923E-08,7.990251E-08,-7.46218E-09,1,1,0,0,0,1,1,1,0,0,0,3.132064E-08,6.696722E-08,-1.195906E-08,1,1,0,0,0,1
3458.533,-73.79056,-58.89386,-228.7003,3.006915E-07,2.468056E-07,3.013712E-08,1,1,0.1810278,0.2372387,-0.04504728,0.9533716,0,0,0,0,4.340595,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,2.57384E-08,-7.441724E-09,1.582426E-09,1,1,0,0,0,1,1,1,0,0,0,3.429147E-08,-1.082325E-08,3.429335E-11,1,1,0,0,0,1
3458.584,-73.79056,-58.89386,-228.7003,3.068529E-07,2.372477E-07,-5.249323E-09,1,1,0.1842137,0.2349828,-0.04540746,0.953303,0,0,0,0,4.3406,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,3.6572E-10,-8.070369E-09,-2.03492E-08,1,1,0,0,0,1,1,1,0,0,0,5.795561E-09,-1.48756E-09,-1.503723E-08,1,1,0,0,0,1
3458.634,-73.79056,-58.89386,-228.7003,2.901192E-07,2.655848E-07,-2.79359E-08,1,1,0.1866894,0.2332196,-0.04567534,0.9532415,0,0,0,0,4.3406,0.7323236,7.606256,7.420971,1.8076,1.95003,2.197425,0,1,0,0,0,-2.343123E-08,7.866686E-09,-5.918378E-09,1,1,0,0,0,1,1,1,0,0,0,6.69752E-09,2.047041E-08,-1.676814E-08,1,1,0,0,0,1
