2,7,Faisca e Fumaça-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2285.137,-73.76743,-58.16145,-228.8324,0,0,0,1,1,0.1357509,0.2671794,-0.03804751,0.9532781,0,0,0,0,3.45885,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,-0.006411667,-0.01657504,-0.004078229,7.843139E-06,1.793893E-05,-1.940222E-06,0.9999998,1,0,0,0,1,1,1,-0.1172519,0.01413116,-0.019706,8.28834E-06,1.897182E-05,-2.042713E-06,0.9999999,0.9922215,0,0,0,1
2285.188,-74.43864,-58.29528,-228.5494,4.45359E-08,-5.744982E-08,-1.671993E-08,1,1,0.1385683,0.2556797,-0.03705733,0.9560615,0,0,0,0,4.280294,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,1.637342E-08,-2.834205E-08,-5.621435E-09,1,1,0,0,0,1,1,1,0,0,0,2.816247E-08,-2.910776E-08,-1.109848E-08,1,1,0,0,0,1
2285.238,-74.55145,-58.31778,-228.5018,3.180467E-08,7.391578E-09,1.758758E-08,1,1,0.1419252,0.2414465,-0.03572066,0.9593148,0,0,0,0,4.254008,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-1.18879E-08,2.959735E-08,2.163677E-08,1,1,0,0,0,1,1,1,0,0,0,1.606744E-09,4.269996E-08,1.410791E-08,1,1,0,0,0,1
2285.288,-74.5704,-58.32156,-228.4938,2.588571E-08,-2.009784E-08,7.80569E-09,1,1,0.1450389,0.2276639,-0.03431498,0.9622657,0,0,0,0,4.248692,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-5.918956E-09,-2.748941E-08,-9.781895E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
2285.338,-74.57359,-58.32219,-228.4924,-1.470247E-07,1.401542E-07,9.730869E-08,1,1,0.1477448,0.2151553,-0.03294865,0.9647767,0,0,0,0,4.247832,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-3.549128E-08,3.102624E-08,3.260058E-09,1,1,0,0,0,1,1,1,0,0,0,-1.374191E-07,1.292258E-07,8.624301E-08,1,1,0,0,0,1
2285.387,-74.57413,-58.32229,-228.4922,-1.265884E-07,8.987946E-08,5.246876E-08,1,1,0.1500012,0.2042914,-0.03169528,0.96683,0,0,0,0,4.247662,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,1.629947E-09,-3.346878E-08,-1.83694E-08,1,1,0,0,0,1,1,1,0,0,0,1.880631E-08,-1.680599E-08,-2.647053E-08,1,1,0,0,0,1
2285.445,-74.57421,-58.32231,-228.4922,-9.37701E-08,1.439519E-07,3.901051E-08,1,1,0.1518189,0.1952128,-0.03060232,0.9684557,0,0,0,0,4.24763,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,1.573742E-08,2.437785E-08,-6.317934E-09,1,1,0,0,0,1,1,1,0,0,0,1.708088E-08,2.969459E-08,-7.140324E-09,1,1,0,0,0,1
2285.488,-74.57423,-58.32231,-228.4922,-1.05544E-07,1.289238E-07,4.03426E-08,1,1,0.1532459,0.1878636,-0.02968852,0.9697121,0,0,0,0,4.247631,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-4.685902E-09,-3.494298E-09,-1.84043E-09,1,1,0,0,0,1,1,1,0,0,0,-7.088007E-09,-1.15338E-08,3.172514E-09,1,1,0,0,0,1
2285.537,-74.57423,-58.32231,-228.4922,-1.470553E-07,1.18428E-07,5.123187E-08,1,1,0.154344,0.1820541,-0.02894806,0.970668,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-3.007895E-08,-5.807373E-09,8.214017E-09,1,1,0,0,0,1,1,1,0,0,0,-1.14323E-08,-4.688433E-09,2.675264E-09,1,1,0,0,0,1
2285.587,-74.57423,-58.32231,-228.4922,-1.972233E-07,8.525959E-08,4.462773E-08,1,1,0.1551792,0.1775345,-0.02836109,0.971389,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-4.257747E-08,-3.292306E-08,-7.766439E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,-7.590527E-09,-2.453537E-10,-5.827485E-09,1,1,0,0,0,1
2285.638,-74.57423,-58.32231,-228.4922,-2.222715E-07,5.463544E-08,6.080543E-08,1,1,0.1558131,0.1740555,-0.02790338,0.9719303,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-1.063021E-08,9.566163E-09,1.014775E-08,1,1,0,0,0,1,1,1,0,0,0,-1.441796E-08,-4.019032E-08,6.02995E-09,1,1,0,0,0,1
2285.688,-74.57423,-58.32231,-228.4922,-2.403538E-07,7.284167E-08,6.776119E-08,1,1,0.1562926,0.1713921,-0.02754943,0.9723366,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-1.808226E-08,1.820623E-08,6.955744E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
2285.737,-74.57423,-58.32231,-228.4922,-2.391754E-07,1.357728E-08,7.17468E-08,1,1,0.1566559,0.1693564,-0.0272769,0.9726425,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,1.61881E-08,-1.069753E-08,-2.897717E-09,1,1,0,0,0,1,1,1,0,0,0,-1.500984E-08,-4.856685E-08,6.883358E-09,1,1,0,0,0,1
2285.787,-74.57423,-58.32231,-228.4922,-1.538808E-07,-4.336847E-08,4.677876E-08,1,1,0.1569313,0.1678011,-0.0270675,0.9728734,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,2.782106E-08,2.205827E-08,5.659865E-09,1,1,0,0,0,1,1,1,0,0,0,5.747351E-08,-7.900402E-08,-3.062788E-08,1,1,0,0,0,1
2285.838,-74.57423,-58.32231,-228.4922,-2.041973E-07,-7.796773E-08,2.148485E-08,1,1,0.1571416,0.1666135,-0.02690711,0.973048,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-1.038352E-08,-1.483077E-08,-1.086821E-08,1,1,0,0,0,1,1,1,0,0,0,-3.993291E-08,-1.976851E-08,-1.44257E-08,1,1,0,0,0,1
2285.887,-74.57423,-58.32231,-228.4922,-1.758772E-07,-6.50036E-08,1.810512E-08,1,1,0.1573014,0.1657037,-0.02678373,0.973181,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,1.693692E-08,-1.08021E-08,-7.216236E-09,1,1,0,0,0,1,1,1,0,0,0,1.138319E-08,2.376623E-08,3.836535E-09,1,1,0,0,0,1
2285.938,-74.57423,-58.32231,-228.4922,-1.424033E-07,1.881605E-07,3.311635E-08,1,1,0.1574243,0.165005,-0.02668885,0.9732825,0,0,0,0,4.247641,2.382665,7.076061,5.922715,1.873106,0.5966367,0.8855612,0,1,0,0,0,-7.238942E-09,4.057733E-09,-2.752485E-09,1,1,0,0,0,1,1,1,0,0,0,4.071292E-08,2.491062E-07,1.776365E-08,1,1,0,0,0,1
