2,7,GT-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1621.245,-73.34377,-58.10295,-229.0981,0,0,0,1,1,0.135558,0.2685189,-0.03819812,0.9529232,0,0,0,0,3.45885,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0.2969694,-0.0543844,-0.3449783,-5.735398E-05,-9.037747E-05,2.307389E-05,1,1,0,0,0,1,1,1,0,0,0,-5.953389E-05,-9.373142E-05,2.396372E-05,1,1,0,0,0,1
1621.295,-73.19259,-58.12323,-229.3307,-3.473293E-08,-7.817337E-08,7.201338E-09,1,1,0.1361947,0.2724453,-0.03898937,0.951685,0,0,0,0,4.640177,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-2.16652E-08,-4.759909E-08,6.204083E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,-1.306772E-08,-3.057426E-08,6.580929E-09,0.9999999,1,0,0,0,1
1621.344,-73.16718,-58.12664,-229.3699,-6.008072E-08,5.084057E-08,5.151971E-08,1,1,0.1369624,0.2772923,-0.03997189,0.950133,0,0,0,0,4.757021,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-1.639064E-08,6.466139E-08,2.523594E-08,1,1,0,0,0,1,1,1,0,0,0,-8.957141E-09,6.435259E-08,1.90824E-08,1,1,0,0,0,1
1621.395,-73.16292,-58.12721,-229.3764,-8.445762E-08,1.814363E-07,1.262129E-07,1,1,0.1376863,0.2819805,-0.04092829,0.9486066,0,0,0,0,4.786481,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-1.169402E-08,7.596277E-08,3.838318E-08,1,1,0,0,0,1,1,1,0,0,0,-1.268288E-08,5.463289E-08,3.630999E-08,1,1,0,0,0,1
1621.444,-73.16219,-58.1273,-229.3775,-6.176739E-08,8.774295E-08,7.409745E-08,1,1,0.1383269,0.2862325,-0.04180072,0.9472008,0,0,0,0,4.793445,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,5.506529E-09,-4.69591E-08,-2.196202E-08,1,1,0,0,0,1,1,1,0,0,0,1.718373E-08,-4.673424E-08,-3.015347E-08,1,1,0,0,0,1
1621.495,-73.16207,-58.12732,-229.3777,-7.432249E-08,1.633226E-08,4.536723E-08,1,1,0.1388702,0.2899236,-0.04256162,0.945964,0,0,0,0,4.794939,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-6.133648E-09,-3.035901E-08,-1.523583E-08,1,1,0,0,0,1,1,1,0,0,0,-6.421421E-09,-4.105176E-08,-1.34944E-08,1,1,0,0,0,1
1621.545,-73.16206,-58.12732,-229.3777,-6.950123E-08,1.783955E-07,7.624745E-08,1,1,0.1393145,0.2930029,-0.04319894,0.9449204,0,0,0,0,4.79525,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-7.457115E-10,7.987804E-08,1.522282E-08,1,1,0,0,0,1,1,1,0,0,0,5.567027E-09,8.218515E-08,1.565735E-08,1,1,0,0,0,1
1621.595,-73.16206,-58.12732,-229.3777,-5.736002E-08,2.045905E-07,9.49379E-08,1,1,0.1396687,0.2954956,-0.04371665,0.9440678,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-1.281807E-09,-3.736606E-09,3.80433E-09,1,1,0,0,0,1,1,1,0,0,0,1.342301E-08,2.993146E-08,1.488609E-08,1,1,0,0,0,1
1621.645,-73.16206,-58.12732,-229.3777,-1.721408E-07,4.877202E-08,8.785461E-08,1,1,0.1399446,0.2974622,-0.04412621,0.94339,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,-6.094149E-08,-8.146714E-08,-1.478013E-09,1,1,0,0,0,1,1,1,0,0,0,-5.383932E-08,-7.435135E-08,-5.605273E-09,1,1,0,0,0,1
1621.695,-73.16206,-58.12732,-229.3777,-1.464643E-07,1.246525E-07,1.112314E-07,1,1,0.1401565,0.2989886,-0.04444472,0.9428609,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,9.972519E-09,3.347067E-08,1.342522E-08,1,1,0,0,0,1,1,1,0,0,0,1.570404E-08,4.240981E-08,9.951562E-09,1,1,0,0,0,1
1621.744,-73.16206,-58.12732,-229.3777,-1.170619E-07,7.593044E-08,6.6021E-08,1,1,0.1403182,0.300162,-0.04468999,0.9424524,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,1.568858E-08,-1.976453E-08,-2.378449E-08,1,1,0,0,0,1,1,1,0,0,0,1.565688E-08,-3.051271E-08,-2.689488E-08,1,1,0,0,0,1
1621.795,-73.16206,-58.12732,-229.3777,-9.253287E-08,7.833996E-10,9.96085E-09,1,1,0.1404416,0.3010587,-0.04487786,0.942139,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,1.456963E-08,-2.823475E-08,-2.874052E-08,1,1,0,0,0,1,1,1,0,0,0,9.95945E-09,-4.691229E-08,-2.731964E-08,1,1,0,0,0,1
1621.845,-73.16206,-58.12732,-229.3777,-7.939125E-08,1.893138E-08,3.350296E-08,1,1,0.1405344,0.3017432,-0.04502105,0.9418993,0,0,0,0,4.795314,0.2439746,7.381895,7.366808,1.809348,1.057623,0.8534913,0,1,0,0,0,6.570808E-09,5.811489E-09,8.600509E-09,1,1,0,0,0,1,1,1,0,0,0,6.570808E-09,1.233649E-08,1.494159E-08,1,1,0,0,0,1
