3,3,Ginger-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
285.6378,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.504024E-10,5.781339E-09,2.251522E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.6884,0.977,-0.187,-1.75,1.090541E-09,-1.153705E-08,-2.021936E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.090535E-09,-1.153705E-08,-2.021939E-09,0.9999997,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.7383,0.977,-0.187,-1.75,3.424143E-09,-3.407458E-08,-2.389553E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.791,0.977,-0.187,-1.75,3.424143E-09,-3.407458E-08,-2.389553E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.8425,0.977,-0.187,-1.75,-2.126195E-07,-4.934219E-08,2.578152E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.160436E-07,-1.526762E-08,2.817108E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.9116,0.977,-0.187,-1.75,-1.67658E-07,-3.197144E-08,2.764219E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.496153E-08,1.737076E-08,1.860681E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
285.9647,0.977,-0.187,-1.75,-1.81303E-07,-3.891029E-08,2.599516E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.364499E-08,-6.938853E-09,-1.647025E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
286.0124,0.977,-0.187,-1.75,-1.536591E-07,-2.126894E-08,3.040881E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.764389E-08,1.764136E-08,4.413653E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
286.0634,0.977,-0.187,-1.75,-1.885293E-07,-1.624716E-08,3.720117E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-3.487014E-08,5.021776E-09,6.792351E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
286.1131,0.977,-0.187,-1.75,-2.127201E-07,2.087407E-09,4.732928E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.419086E-08,1.833457E-08,1.012811E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
