2,7,GirlPower-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2857.564,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,5.350411E-06,4.396124E-05,3.907803E-06,1,1,0,0,0,1,1,1,0,0,0,5.544227E-06,4.554305E-05,4.045742E-06,1,1,0,0,0,1
2857.624,-73.42165,-58.0925,-228.9782,4.150175E-08,-5.352603E-08,-6.744855E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,1.816314E-08,-2.707542E-08,-3.148616E-08,1,1,0,0,0,1,1,1,0,0,0,2.333861E-08,-2.645058E-08,-3.596242E-08,1,1,0,0,0,1
2857.671,-73.42165,-58.0925,-228.9782,1.006001E-07,2.448257E-08,-9.567029E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,2.452673E-08,3.035291E-08,-1.432132E-08,1,1,0,0,0,1,1,1,0,0,0,3.457157E-08,4.765567E-08,-1.39004E-08,1,1,0,0,0,1
2857.72,-73.42165,-58.0925,-228.9782,7.717674E-09,8.838962E-08,-6.798929E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,-4.365781E-08,3.831075E-08,1.441241E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.922458E-08,2.559628E-08,1.32686E-08,0.9999999,1,0,0,0,1
2857.771,-73.42165,-58.0925,-228.9782,5.833019E-08,1.056947E-07,-9.150769E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,4.483478E-08,3.036293E-08,-1.92597E-08,1,1,0,0,0,1,1,1,0,0,0,5.777713E-09,-1.305791E-08,-4.258736E-09,1,1,0,0,0,1
2857.82,-73.42165,-58.0925,-228.9782,6.836216E-08,1.114665E-07,-1.093687E-07,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,6.279043E-09,9.494752E-10,-7.714076E-09,1,1,0,0,0,1,1,1,0,0,0,3.752925E-09,4.822301E-09,-1.014699E-08,1,1,0,0,0,1
2857.87,-73.42165,-58.0925,-228.9782,6.894619E-08,1.249255E-07,-8.645809E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,-5.062144E-09,8.254944E-09,1.033902E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,5.646172E-09,5.204065E-09,1.257164E-08,1,1,0,0,0,1
2857.92,-73.42165,-58.0925,-228.9782,7.612483E-08,2.739019E-07,-4.066342E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,4.858001E-09,8.44601E-08,2.094218E-08,1,1,0,0,0,1,1,1,0,0,0,2.320658E-09,6.451619E-08,2.485251E-08,1,1,0,0,0,1
2857.971,-73.42165,-58.0925,-228.9782,9.825536E-08,2.503695E-07,-3.928872E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,6.994798E-09,-3.730715E-09,5.075364E-09,1,1,0,0,0,1,1,1,0,0,0,1.513573E-08,-1.980171E-08,-3.700687E-09,1,1,0,0,0,1
2858.021,-73.42165,-58.0925,-228.9782,1.884621E-07,2.514327E-07,-9.767754E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,4.631713E-08,1.233635E-08,-2.425766E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.388961E-08,-1.127315E-08,-3.41312E-08,0.9999999,1,0,0,0,1
2858.071,-73.42165,-58.0925,-228.9782,2.192844E-07,2.938813E-07,-8.867549E-08,1,1,0.1355052,0.2681788,-0.03813066,0.9530292,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,1.315528E-08,1.588852E-08,4.643068E-09,1,1,0,0,0,1,1,1,0,0,0,1.766696E-08,2.656002E-08,4.358963E-09,1,1,0,0,0,1
2858.121,-73.42165,-58.0925,-228.9782,2.396719E-07,4.072657E-07,-5.574189E-08,1,1,0.1355051,0.2681801,-0.03813082,0.9530288,0,0,0,0,4.46807,0.8952847,5.982581,7.367741,1.810131,0.734512,2.083361,0,1,0,0,0,1.139986E-08,5.872092E-08,1.624681E-08,1,1,0,0,0,1,1,1,0,0,0,8.987657E-09,5.466337E-08,1.668681E-08,1,1,0,0,0,1
