2,3,Howell-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
247.0081,0.9715441,-0.1816349,-1.747344,0,0,0,1,1,0.1635699,0.08042406,-0.01338031,0.9831571,0,0,0,0,3.331396,0,0,0,1,-0.01818638,0.01788352,0.008851878,2.927069E-09,-1.919326E-09,-3.04753E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
247.0587,0.9609532,-0.1712205,-1.74219,-5.566242E-08,3.475897E-08,1.879918E-08,1,1,0.1632773,0.0800583,-0.01329457,0.9832367,0,0,0,0,3.328067,0,0,0,1,0,0,0,-3.061711E-09,4.210882E-08,1.90345E-08,1,1,0,0,0,1,1,1,0,0,0,-5.26007E-08,-7.349844E-09,-2.35314E-10,1,1,0,0,0,1
247.1072,0.9591731,-0.1694701,-1.741323,-2.247484E-08,4.990554E-08,1.088186E-08,1,1,0.1629263,0.07960749,-0.01318999,0.9833329,0,0,0,0,3.326332,0,0,0,1,0,0,0,5.259847E-09,1.753377E-08,3.711889E-09,1,1,0,0,0,1,1,1,0,0,0,2.792777E-08,-2.387202E-09,-1.162921E-08,1,1,0,0,0,1
247.1605,0.9588739,-0.1691759,-1.741178,-2.136765E-08,7.175895E-08,5.961027E-09,1,1,0.1626463,0.07926717,-0.01311004,0.9834079,0,0,0,0,3.325845,0,0,0,1,0,0,0,5.535954E-10,1.092669E-08,-2.460413E-09,1,1,0,0,0,1,1,1,0,0,0,5.535954E-10,1.092669E-08,-2.460413E-09,1,1,0,0,0,1
247.2072,0.9588237,-0.1691265,-1.741153,-2.99629E-09,4.439422E-08,-1.87096E-08,1,1,0.1624514,0.07905799,-0.01305911,0.9834576,0,0,0,0,3.32573,0,0,0,1,0,0,0,-3.623718E-08,-7.26941E-09,-6.526034E-09,1,1,0,0,0,1,1,1,0,0,0,5.460853E-08,-2.009532E-08,-1.814459E-08,1,1,0,0,0,1
247.2604,0.9588152,-0.1691182,-1.741149,-3.935726E-08,4.175694E-09,-1.603653E-08,1,1,0.1623196,0.07893967,-0.01302856,0.9834893,0,0,0,0,3.325706,0,0,0,1,0,0,0,-1.994206E-08,-1.999125E-08,1.991935E-09,1,1,0,0,0,1,1,1,0,0,0,-1.641891E-08,-2.022727E-08,6.811288E-10,1,1,0,0,0,1
247.311,0.9588138,-0.1691168,-1.741148,-1.912684E-08,7.775443E-09,-1.754594E-08,1,1,0.1622274,0.07887015,-0.01300942,0.9835103,0,0,0,0,3.325701,0,0,0,1,0,0,0,3.042854E-08,-1.395719E-08,-1.429203E-08,1,1,0,0,0,1,1,1,0,0,0,-1.019811E-08,1.755693E-08,1.278262E-08,1,1,0,0,0,1
247.3596,0.9588136,-0.1691165,-1.741148,-2.057516E-07,-9.666066E-08,-1.726886E-08,1,1,0.1621641,0.07883325,-0.01299808,0.9835238,0,0,0,0,3.3257,0,0,0,1,0,0,0,-7.021361E-08,-4.600794E-08,8.184261E-10,1,1,0,0,0,1,1,1,0,0,0,-1.164112E-07,-5.842817E-08,-5.41325E-10,1,1,0,0,0,1
247.4112,0.9588136,-0.1691165,-1.741148,-2.487416E-07,-1.267967E-07,-1.89651E-08,1,1,0.1621128,0.07880035,-0.0129884,0.9835351,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.515202E-08,-2.315848E-08,-2.096753E-09,1,1,0,0,0,1,1,1,0,0,0,-7.837885E-09,-6.977576E-09,4.005268E-10,1,1,0,0,0,1
247.4591,0.9588136,-0.1691165,-1.741148,-3.145512E-07,-1.313615E-07,-1.509122E-08,1,1,0.1620685,0.07876596,-0.01297905,0.9835452,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.139162E-08,3.959834E-09,1.308774E-09,1,1,0,0,0,1,1,1,0,0,0,-3.44181E-08,-8.524637E-09,2.565085E-09,1,1,0,0,0,1
247.5146,0.9588136,-0.1691165,-1.741148,-3.443131E-07,-1.347242E-07,-2.277545E-08,1,1,0.1620317,0.07873405,-0.01297073,0.983554,0,0,0,0,3.3257,0,0,0,1,0,0,0,-6.625549E-09,-1.416135E-08,-9.203177E-09,1,1,0,0,0,1,1,1,0,0,0,-2.313635E-08,1.079866E-08,1.518919E-09,1,1,0,0,0,1
247.5614,0.9588136,-0.1691165,-1.741148,-3.078397E-07,-9.922509E-08,-9.654536E-09,1,1,0.1620017,0.07870623,-0.01296365,0.9835613,0,0,0,0,3.3257,0,0,0,1,0,0,0,1.428697E-08,5.298859E-09,6.863612E-09,1,1,0,0,0,1,1,1,0,0,0,2.218662E-08,3.020026E-08,6.257309E-09,1,1,0,0,0,1
247.6111,0.9588136,-0.1691165,-1.741148,-2.381168E-07,-1.273549E-07,-3.282646E-08,1,1,0.1619776,0.07868292,-0.01295781,0.9835671,0,0,0,0,3.3257,0,0,0,1,0,0,0,2.712665E-08,-1.344567E-08,-9.976715E-09,1,1,0,0,0,1,1,1,0,0,0,4.259616E-08,-1.468407E-08,-1.319517E-08,1,1,0,0,0,1
247.6617,0.9588136,-0.1691165,-1.741148,-2.072013E-07,-1.293786E-07,-2.90174E-08,1,1,0.1619585,0.07866382,-0.01295307,0.9835719,0,0,0,0,3.3257,0,0,0,1,0,0,0,6.163469E-11,1.000509E-08,1.039285E-08,1,1,0,0,0,1,1,1,0,0,0,3.085388E-08,-1.202875E-08,-6.583783E-09,1,1,0,0,0,1
247.7098,0.9588136,-0.1691165,-1.741148,-1.92151E-07,-1.028643E-07,-2.632075E-08,1,1,0.1619434,0.07864839,-0.01294927,0.9835756,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.007093E-08,1.237988E-08,1.319051E-08,1,1,0,0,0,1,1,1,0,0,0,4.512122E-08,1.413439E-08,-1.049387E-08,1,1,0,0,0,1
247.7617,0.9588136,-0.1691165,-1.741148,-1.92151E-07,-1.028643E-07,-2.632075E-08,1,1,0.1619316,0.07863613,-0.01294627,0.9835787,0,0,0,0,3.3257,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
247.8125,0.9588136,-0.1691165,-1.741148,-3.151096E-07,-1.229436E-07,-4.467342E-09,1,1,0.1619223,0.07862643,-0.0129439,0.9835809,0,0,0,0,3.3257,0,0,0,1,0,0,0,-4.709681E-08,-2.066858E-08,7.625016E-09,1,1,0,0,0,1,1,1,0,0,0,-7.586164E-08,5.892813E-10,1.422841E-08,1,1,0,0,0,1
247.8649,0.9588136,-0.1691165,-1.741148,-2.764026E-07,-1.360082E-07,-1.19205E-08,1,1,0.1619152,0.07861883,-0.01294205,0.9835828,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.006701E-09,-1.472835E-08,-5.306666E-09,1,1,0,0,0,1,1,1,0,0,0,4.17137E-08,1.663785E-09,-2.146486E-09,1,1,0,0,0,1
247.9182,0.9588136,-0.1691165,-1.741148,-3.380849E-07,-1.171115E-07,1.579997E-08,1,1,0.1619096,0.07861286,-0.01294061,0.9835842,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.769228E-08,1.386991E-08,1.437434E-08,1,1,0,0,0,1,1,1,0,0,0,-2.399002E-08,5.026804E-09,1.334611E-08,1,1,0,0,0,1
247.9669,0.9588136,-0.1691165,-1.741148,-2.926454E-07,-9.743138E-08,1.40027E-08,1,1,0.1619052,0.07860819,-0.01293947,0.9835853,0,0,0,0,3.3257,0,0,0,1,0,0,0,1.693059E-08,8.410078E-09,-2.185363E-09,1,1,0,0,0,1,1,1,0,0,0,2.850888E-08,1.127005E-08,3.880901E-10,1,1,0,0,0,1
248.0152,0.9588136,-0.1691165,-1.741148,-2.777807E-07,-1.18236E-07,6.646646E-09,1,1,0.1619018,0.07860458,-0.0129386,0.9835862,0,0,0,0,3.3257,0,0,0,1,0,0,0,-2.048388E-08,-2.939483E-08,-8.861837E-09,1,1,0,0,0,1,1,1,0,0,0,3.534852E-08,8.590251E-09,1.505799E-09,1,1,0,0,0,1
248.0648,0.9588136,-0.1691165,-1.741148,-3.260544E-07,-1.404415E-07,1.106318E-08,1,1,0.1618992,0.07860176,-0.01293792,0.9835868,0,0,0,0,3.3257,0,0,0,1,0,0,0,-3.175458E-08,-9.005566E-09,2.926226E-10,1,1,0,0,0,1,1,1,0,0,0,-1.651915E-08,-1.319994E-08,4.123898E-09,1,1,0,0,0,1
248.1179,0.9588136,-0.1691165,-1.741148,-3.353238E-07,-1.569174E-07,8.21637E-09,1,1,0.1618972,0.07859956,-0.01293738,0.9835874,0,0,0,0,3.3257,0,0,0,1,0,0,0,1.910826E-08,-1.6186E-09,-2.922165E-09,1,1,0,0,0,1,1,1,0,0,0,-2.837767E-08,-1.48573E-08,7.535662E-11,1,1,0,0,0,1
248.168,0.9588136,-0.1691165,-1.741148,-3.26453E-07,-1.688097E-07,1.692646E-09,1,1,0.1618956,0.07859784,-0.01293697,0.9835877,0,0,0,0,3.3257,0,0,0,1,0,0,0,6.700471E-09,-6.433213E-09,-4.246469E-09,1,1,0,0,0,1,1,1,0,0,0,2.170395E-09,-5.459067E-09,-2.277247E-09,1,1,0,0,0,1
248.2137,0.9588136,-0.1691165,-1.741148,-2.710541E-07,-2.290853E-07,-4.209479E-09,1,1,0.1618944,0.07859652,-0.01293665,0.9835881,0,0,0,0,3.3257,0,0,0,1,0,0,0,1.534859E-08,-2.375243E-08,-2.520889E-09,1,1,0,0,0,1,1,1,0,0,0,4.00502E-08,-3.652322E-08,-3.381211E-09,1,1,0,0,0,1
248.2644,0.9588136,-0.1691165,-1.741148,-2.678981E-07,-2.2758E-07,-2.960716E-09,1,1,0.1618934,0.07859551,-0.0129364,0.9835883,0,0,0,0,3.3257,0,0,0,1,0,0,0,-9.243959E-09,-7.026215E-10,4.487178E-09,1,1,0,0,0,1,1,1,0,0,0,1.240001E-08,2.207933E-09,-3.238392E-09,1,1,0,0,0,1
248.3175,0.9588136,-0.1691165,-1.741148,-3.732923E-07,-2.690007E-07,5.140896E-09,1,1,0.1618927,0.07859473,-0.01293621,0.9835885,0,0,0,0,3.3257,0,0,0,1,0,0,0,-4.759468E-08,-5.856274E-09,6.771134E-09,1,1,0,0,0,1,1,1,0,0,0,-5.779938E-08,-3.55644E-08,1.330459E-09,1,1,0,0,0,1
248.3705,0.9588136,-0.1691165,-1.741148,-4.606519E-07,-3.732885E-07,-2.276843E-08,1,1,0.1618921,0.07859413,-0.01293606,0.9835886,0,0,0,0,3.3257,0,0,0,1,0,0,0,-7.270497E-08,-8.65752E-08,-1.996893E-08,1,1,0,0,0,1,1,1,0,0,0,-1.465481E-08,-1.771247E-08,-7.940351E-09,1,1,0,0,0,1
248.4167,0.9588136,-0.1691165,-1.741148,-4.809617E-07,-3.586373E-07,-8.134428E-09,1,1,0.1618916,0.07859365,-0.01293595,0.9835888,0,0,0,0,3.3257,0,0,0,1,0,0,0,7.438674E-09,1.653067E-08,7.632476E-09,1,1,0,0,0,1,1,1,0,0,0,-2.774844E-08,-1.879462E-09,7.00153E-09,1,1,0,0,0,1
248.4714,0.9588136,-0.1691165,-1.741148,-3.236499E-07,-3.57661E-07,-3.513365E-08,1,1,0.1618913,0.07859328,-0.01293586,0.9835888,0,0,0,0,3.3257,0,0,0,1,0,0,0,5.750802E-08,-2.119718E-09,-9.764046E-09,1,1,0,0,0,1,1,1,0,0,0,9.980386E-08,3.096087E-09,-1.723509E-08,1,1,0,0,0,1
248.5195,0.9588136,-0.1691165,-1.741148,-3.22565E-07,-3.295082E-07,-3.221683E-08,1,1,0.161891,0.07859299,-0.01293579,0.9835889,0,0,0,0,3.3257,0,0,0,1,0,0,0,-2.223547E-09,-4.043367E-09,-5.148203E-09,1,1,0,0,0,1,1,1,0,0,0,3.308513E-09,3.219616E-08,8.064988E-09,1,1,0,0,0,1
248.567,0.9588136,-0.1691165,-1.741148,-3.22565E-07,-3.295082E-07,-3.221683E-08,1,1,0.1618908,0.07859276,-0.01293574,0.983589,0,0,0,0,3.3257,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
248.6187,0.9588136,-0.1691165,-1.741148,-1.734792E-07,-3.715906E-07,-6.360334E-08,1,1,0.1618906,0.07859258,-0.01293569,0.983589,0,0,0,0,3.3257,0,0,0,1,0,0,0,8.20916E-08,-1.096129E-08,-1.400512E-08,1,1,0,0,0,1,1,1,0,0,0,6.699407E-08,-3.11209E-08,-1.738125E-08,1,1,0,0,0,1
248.6692,0.9588136,-0.1691165,-1.741148,-8.578465E-08,-2.165593E-07,-2.910023E-08,1,1,0.1618905,0.07859245,-0.01293566,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,3.767111E-08,8.486344E-08,2.053918E-08,1,1,0,0,0,1,1,1,0,0,0,4.476682E-08,6.703948E-08,1.34384E-08,0.9999997,1,0,0,0,1
248.7193,0.9588136,-0.1691165,-1.741148,-8.10207E-08,-2.391672E-07,-3.590585E-08,1,1,0.1618904,0.07859234,-0.01293563,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,1.106927E-08,-6.779983E-09,-3.206319E-09,1,1,0,0,0,1,1,1,0,0,0,-1.048629E-09,-1.269939E-08,-3.073819E-09,1,1,0,0,0,1
248.7689,0.9588136,-0.1691165,-1.741148,-1.568938E-07,-2.569559E-07,-3.460536E-08,1,1,0.1618904,0.07859227,-0.01293561,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,-2.447163E-08,-1.076571E-08,2.269497E-10,1,1,0,0,0,1,1,1,0,0,0,-5.140145E-08,-7.023052E-09,1.07348E-09,1,1,0,0,0,1
248.8181,0.9588136,-0.1691165,-1.741148,-2.853455E-07,-2.666837E-07,-2.633812E-08,1,1,0.1618903,0.07859221,-0.0129356,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,-8.024726E-08,-1.099594E-08,2.794732E-09,0.9999996,1,0,0,0,1,1,1,0,0,0,-4.820443E-08,1.268056E-09,5.472471E-09,0.9999999,1,0,0,0,1
248.8717,0.9588136,-0.1691165,-1.741148,-2.853455E-07,-2.666837E-07,-2.633812E-08,1,1,0.1618903,0.07859217,-0.01293559,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
248.9206,0.9588136,-0.1691165,-1.741148,-2.853455E-07,-2.666837E-07,-2.633812E-08,1,1,0.1618902,0.07859213,-0.01293558,0.9835891,0,0,0,0,3.3257,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
