2,3,Jon-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
22.89623,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
22.94625,0.977,-0.187,-1.75,4.078029E-08,1.218329E-08,-5.080484E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.200528E-08,1.935213E-09,-6.793304E-10,1,1,0,0,0,1,1,1,0,0,0,1.877501E-08,1.024808E-08,-4.401154E-09,1,1,0,0,0,1
22.99422,0.977,-0.187,-1.75,8.419777E-08,1.192676E-08,2.21854E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.452382E-08,-1.383969E-08,1.262131E-09,1,1,0,0,0,1,1,1,0,0,0,2.889366E-08,1.358315E-08,6.036893E-09,1,1,0,0,0,1
23.0438,0.977,-0.187,-1.75,6.339965E-08,2.44394E-08,1.541006E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,-3.155032E-08,4.382675E-09,1.083536E-08,1,1,0,0,0,1,1,1,0,0,0,1.075219E-08,8.129962E-09,2.356157E-09,1,1,0,0,0,1
23.09474,0.977,-0.187,-1.75,2.597822E-07,1.107357E-07,2.285005E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.01528E-08,1.540347E-08,1.092707E-08,1,1,0,0,0,1,1,1,0,0,0,1.762297E-07,7.089275E-08,-3.487076E-09,1,1,0,0,0,1
23.14516,0.977,-0.187,-1.75,3.143868E-07,1.256438E-07,1.966818E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.997937E-08,-1.985918E-09,-8.802269E-09,1,1,0,0,0,1,1,1,0,0,0,2.462519E-08,1.689401E-08,5.620385E-09,1,1,0,0,0,1
23.19552,0.977,-0.187,-1.75,3.10548E-07,9.989742E-08,1.035477E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.664782E-08,-3.246796E-08,-9.380656E-09,1,1,0,0,0,1,1,1,0,0,0,-2.04866E-08,6.7216E-09,6.723347E-11,1,1,0,0,0,1
23.24495,0.977,-0.187,-1.75,3.612672E-07,1.426908E-07,2.711286E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.131471E-08,5.042439E-08,2.701877E-08,1,1,0,0,0,1,1,1,0,0,0,2.940433E-08,-7.631074E-09,-1.026068E-08,1,1,0,0,0,1
23.29571,0.977,-0.187,-1.75,3.126116E-07,1.379637E-07,3.222002E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1,1,1,0,0,0,-3.878912E-08,-2.655001E-09,5.832858E-09,1,1,0,0,0,1
23.34381,0.977,-0.187,-1.75,2.928228E-07,1.711715E-07,4.80124E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.818883E-08,1.413445E-08,1.882632E-09,1,1,0,0,0,1,1,1,0,0,0,-4.797769E-08,1.907337E-08,1.390977E-08,1,1,0,0,0,1
23.39373,0.977,-0.187,-1.75,3.995089E-07,2.002337E-07,4.623391E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.461563E-08,1.405548E-08,1.626194E-09,1,1,0,0,0,1,1,1,0,0,0,7.207048E-08,1.500662E-08,-3.404705E-09,1,1,0,0,0,1
