2,3,Joo-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
811.8332,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-3.463625E-05,-7.377705E-05,2.068227E-05,1,1,0,0,0,1,1,1,0,0,0,-3.868723E-05,-8.240371E-05,2.310128E-05,1,1,0,0,0,1
811.8813,0.977,-0.187,-1.75,5.240593E-08,2.102584E-08,-1.407982E-08,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,2.950676E-08,1.008334E-08,-8.412778E-09,1,1,0,0,0,1,1,1,0,0,0,2.289915E-08,1.09425E-08,-5.667042E-09,1,1,0,0,0,1
811.9326,0.977,-0.187,-1.75,2.313725E-08,4.401222E-08,-1.245123E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-1.678777E-08,1.724033E-08,9.254438E-09,1,1,0,0,0,1,1,1,0,0,0,-1.248092E-08,5.746054E-09,3.580257E-09,1,1,0,0,0,1
811.9825,0.977,-0.187,-1.75,2.437032E-08,5.851151E-08,7.974717E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-6.54517E-09,9.829348E-09,7.035473E-09,1,1,0,0,0,1,1,1,0,0,0,7.778226E-09,4.669966E-09,2.184371E-09,1,1,0,0,0,1
812.0314,0.977,-0.187,-1.75,2.438242E-07,1.579948E-07,1.614941E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,1.85187E-07,7.907799E-08,-2.109002E-09,1,1,0,0,0,1,1,1,0,0,0,3.426686E-08,2.040526E-08,1.028367E-08,1,1,0,0,0,1
812.0823,0.977,-0.187,-1.75,2.856829E-07,9.280863E-08,-1.499703E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,2.655679E-08,-3.22348E-08,-9.248277E-09,1,1,0,0,0,1,1,1,0,0,0,1.530183E-08,-3.295137E-08,-2.189818E-08,1,1,0,0,0,1
812.1734,0.977,-0.187,-1.75,2.005814E-07,6.504693E-08,-1.618661E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-3.312509E-08,-2.725286E-08,-4.212324E-09,1,1,0,0,0,1,1,1,0,0,0,-5.197638E-08,-5.088401E-10,3.022731E-09,1,1,0,0,0,1
812.2217,0.977,-0.187,-1.75,2.482205E-07,9.832845E-08,4.922215E-09,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,2.520371E-08,-6.54092E-09,-8.794871E-09,1,1,0,0,0,1,1,1,0,0,0,2.243531E-08,3.982239E-08,2.99037E-08,1,1,0,0,0,1
812.2722,0.977,-0.187,-1.75,2.431478E-07,1.129745E-07,1.120526E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,-1.875391E-08,8.375088E-09,2.318711E-09,1,1,0,0,0,1,1,1,0,0,0,1.36813E-08,6.270916E-09,3.964326E-09,1,1,0,0,0,1
812.3225,0.977,-0.187,-1.75,4.105643E-07,1.639819E-07,-1.480192E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.835462,0.1068397,0,1,0,0,0,1.402005E-07,4.215551E-08,-5.796223E-09,1,1,0,0,0,1,1,1,0,0,0,2.721598E-08,8.851817E-09,-6.889234E-09,1,1,0,0,0,1
