2,3,Kum-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
634.9868,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
635.0361,0.977,-0.187,-1.75,-2.438758E-09,-3.529204E-09,1.207274E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,2.66581E-08,1.983382E-08,-6.250001E-09,1,1,0,0,0,1,1,1,0,0,0,-2.909686E-08,-2.336302E-08,7.45727E-09,0.9999996,1,0,0,0,1
635.0855,0.977,-0.187,-1.75,1.307533E-07,2.92714E-08,1.25618E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,6.034153E-08,2.593712E-08,9.958085E-09,1,1,0,0,0,1,1,1,0,0,0,7.285053E-08,6.86348E-09,1.396439E-09,1,1,0,0,0,1
635.1355,0.977,-0.187,-1.75,1.81331E-07,3.948679E-08,7.451889E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,1.075219E-08,8.129962E-09,2.356157E-09,1,1,0,0,0,1,1,1,0,0,0,3.982552E-08,2.085422E-09,-7.466072E-09,1,1,0,0,0,1
635.1867,0.977,-0.187,-1.75,1.70376E-07,7.421525E-08,2.687001E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,-5.442629E-08,6.799985E-09,1.36924E-08,1,1,0,0,0,1,1,1,0,0,0,4.34713E-08,2.792849E-08,5.725726E-09,1,1,0,0,0,1
635.2366,0.977,-0.187,-1.75,1.39977E-07,2.191195E-08,1.841654E-09,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,6.043338E-09,-3.730297E-08,-2.279457E-08,1,1,0,0,0,1,1,1,0,0,0,-3.644238E-08,-1.500033E-08,-2.233792E-09,1,1,0,0,0,1
635.2867,0.977,-0.187,-1.75,1.099419E-07,1.799532E-08,-5.84691E-10,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,-1.131286E-08,-5.883511E-09,-1.517925E-09,1,1,0,0,0,1,1,1,0,0,0,-1.872224E-08,1.966886E-09,-9.084198E-10,1,1,0,0,0,1
635.3369,0.977,-0.187,-1.75,1.131103E-07,2.656357E-08,1.273993E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,3.184451E-08,1.655121E-08,2.947841E-09,1,1,0,0,0,1,1,1,0,0,0,-2.867609E-08,-7.982967E-09,1.037677E-08,0.9999997,1,0,0,0,1
635.3862,0.977,-0.187,-1.75,9.536311E-08,3.953186E-08,2.453985E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,-3.487014E-08,5.021776E-09,6.792351E-09,1,1,0,0,0,1,1,1,0,0,0,1.712291E-08,7.946505E-09,5.007569E-09,1,1,0,0,0,1
635.4378,0.977,-0.187,-1.75,1.084672E-07,7.142902E-08,2.79713E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,-1.411194E-08,2.304531E-08,1.032067E-08,1,1,0,0,0,1,1,1,0,0,0,2.721598E-08,8.851817E-09,-6.889234E-09,1,1,0,0,0,1
635.4862,0.977,-0.187,-1.75,1.155784E-07,9.03993E-08,3.735943E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,1.126487E-09,1.057949E-08,1.036294E-09,1,1,0,0,0,1,1,1,0,0,0,5.984751E-09,8.390801E-09,8.351837E-09,1,1,0,0,0,1
635.5374,0.977,-0.187,-1.75,1.878006E-07,5.695774E-08,2.414285E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,2.163557E-08,-4.679966E-08,-7.613143E-09,1,1,0,0,0,1,1,1,0,0,0,5.058665E-08,1.335811E-08,-5.60346E-09,1,1,0,0,0,1
635.5856,0.977,-0.187,-1.75,2.27419E-07,8.165722E-08,3.236227E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,2.400454E-08,1.537597E-09,2.058818E-09,1,1,0,0,0,1,1,1,0,0,0,1.561384E-08,2.316188E-08,6.160592E-09,1,1,0,0,0,1
635.6379,0.977,-0.187,-1.75,2.004338E-07,5.2282E-08,4.775402E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,1.157822E-08,-2.265354E-08,1.24553E-09,1,1,0,0,0,1,1,1,0,0,0,-3.856333E-08,-6.721701E-09,1.41462E-08,1,1,0,0,0,1
635.6873,0.977,-0.187,-1.75,2.064549E-07,7.903819E-08,3.643277E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,3.709106E-09,1.207814E-08,-6.150535E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,2.311933E-09,1.467802E-08,-5.170707E-09,0.9999997,1,0,0,0,1
635.7365,0.977,-0.187,-1.75,2.95444E-07,1.20552E-07,3.23474E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,5.32708E-08,3.730486E-09,-7.796245E-09,1,1,0,0,0,1,1,1,0,0,0,3.571818E-08,3.778332E-08,3.71088E-09,1,1,0,0,0,1
635.7862,0.977,-0.187,-1.75,3.002977E-07,8.33621E-08,1.188076E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0.143349,0.1105632,0,1,0,0,0,8.260114E-09,-2.410248E-08,-1.296523E-08,1,1,0,0,0,1,1,1,0,0,0,-3.406226E-09,-1.308743E-08,-7.501436E-09,1,1,0,0,0,1
