2,7,LOLZZZ-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
7149.695,-73.40199,-58.06749,-228.9565,0,0,0,1,1,0.1354193,0.2681961,-0.0381086,0.9530374,0,0,0,0,3.45885,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,-0.0004832035,0.0009088099,0.0187028,0.9997771,1,0,0,0,1,1,1,0.06809037,0.08494543,0.07194342,-5.58429E-08,1.345565E-07,2.188121E-05,1,1.004554,0,0,0,1
7149.744,-73.36381,-58.01893,-228.9144,4.333125E-08,2.503752E-07,2.483239E-08,1,1,0.1344741,0.2684011,-0.03786813,0.9531231,0,0,0,0,4.421566,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,2.214164E-08,1.224918E-07,7.994734E-09,1,1,0,0,0,1,1,1,0,0,0,2.118961E-08,1.278834E-07,1.683763E-08,1,1,0,0,0,1
7149.794,-73.35739,-58.01077,-228.9073,1.017784E-08,2.081818E-07,4.293089E-08,1,1,0.1333168,0.2686495,-0.03757286,0.9532273,0,0,0,0,4.420532,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,-1.288766E-08,-6.769085E-09,1.241013E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.026574E-08,-3.542431E-08,5.688393E-09,0.9999999,1,0,0,0,1
7149.844,-73.35632,-58.0094,-228.9061,2.666396E-08,2.682042E-07,1.399666E-08,1,1,0.1322086,0.2688873,-0.0372897,0.9533257,0,0,0,0,4.416093,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,3.875218E-09,1.794945E-08,-1.540126E-08,1,1,0,0,0,1,1,1,0,0,0,1.261091E-08,4.207289E-08,-1.353299E-08,1,1,0,0,0,1
7149.895,-73.35613,-58.00917,-228.9059,4.716123E-08,3.775358E-07,3.252967E-08,1,1,0.1312092,0.2691024,-0.03703399,0.9534131,0,0,0,0,4.415033,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,9.44293E-09,5.562427E-08,8.121255E-09,1,1,0,0,0,1,1,1,0,0,0,1.105434E-08,5.370715E-08,1.041175E-08,1,1,0,0,0,1
7149.945,-73.35611,-58.00913,-228.9059,4.584106E-08,3.445629E-07,5.84821E-08,1,1,0.1303452,0.2692871,-0.0368125,0.9534881,0,0,0,0,4.414804,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,4.77794E-09,1.11761E-08,2.249071E-08,1,1,0,0,0,1,1,1,0,0,0,-2.979844E-09,-1.846385E-08,1.50576E-08,1,1,0,0,0,1
7149.995,-73.35611,-58.00912,-228.9059,8.041911E-08,3.773937E-07,7.052291E-08,1,1,0.1296254,0.2694408,-0.03662774,0.9535499,0,0,0,0,4.41476,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,1.417073E-08,-9.269986E-09,-5.575515E-09,1,1,0,0,0,1,1,1,0,0,0,1.7289E-08,1.64153E-08,6.02037E-09,1,1,0,0,0,1
7150.045,-73.35611,-58.00912,-228.9059,-2.584551E-08,3.403835E-07,1.637779E-07,1,1,0.1290441,0.2695653,-0.03647844,0.9535993,0,0,0,0,4.41476,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,-5.335787E-08,-1.326293E-08,4.692208E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-5.290672E-08,-2.374732E-08,4.633289E-08,0.9999999,1,0,0,0,1
7150.094,-73.35611,-58.00912,-228.9059,-3.902744E-08,5.486035E-07,2.101307E-07,1,1,0.1285851,0.2696648,-0.03636062,0.9536377,0,0,0,0,4.41476,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,-9.31574E-09,1.071835E-07,2.382784E-08,1,1,0,0,0,1,1,1,0,0,0,-3.866149E-09,1.010364E-07,2.252489E-08,1,1,0,0,0,1
7150.145,-73.35611,-58.00912,-228.9059,-4.022776E-08,4.103756E-07,1.532679E-07,1,1,0.1282281,0.2697432,-0.03626911,0.953667,0,0,0,0,4.41476,0.1549877,5.84836,7.264678,1.809935,0.3926167,0.7614649,0,1,0,0,0,-5.450211E-09,-5.983809E-08,-2.609695E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.2499E-09,-7.838999E-08,-3.076578E-08,0.9999999,1,0,0,0,1
