1,7,Lindo-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1492.269,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,3.720716E-07,-2.69408E-06,-2.695092E-06,1,1,0,0,0,1
1492.319,-73.42165,-58.0925,-228.9782,2.817815E-08,-1.466582E-08,-1.647074E-08,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,2.817815E-08,-1.466581E-08,-1.647074E-08,1,1,0,0,0,1
1492.369,-73.42165,-58.0925,-228.9782,5.901944E-08,2.89213E-08,-2.722587E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1
1492.419,-73.42165,-58.0925,-228.9782,1.232438E-08,4.663589E-08,-2.012374E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-4.669505E-08,1.771459E-08,7.102135E-09,0.9999999,1,0,0,0,1
1492.469,-73.42165,-58.0925,-228.9782,5.311337E-08,7.116932E-08,-4.242531E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.078898E-08,2.453342E-08,-2.230159E-08,1,1,0,0,0,1
1492.52,-73.42165,-58.0925,-228.9782,5.718175E-08,7.204468E-08,-4.753652E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.068377E-09,8.753451E-10,-5.111207E-09,1,1,0,0,0,1
1492.569,-73.42165,-58.0925,-228.9782,5.21196E-08,8.029964E-08,-3.719749E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-5.062144E-09,8.254944E-09,1.033902E-08,0.9999999,1,0,0,0,1
1492.62,-73.42165,-58.0925,-228.9782,5.689742E-08,1.520453E-07,-1.638648E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.777835E-09,7.174566E-08,2.081102E-08,1,1,0,0,0,1
1492.67,-73.42165,-58.0925,-228.9782,7.404699E-08,1.61078E-07,-1.344494E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,1.714958E-08,9.032703E-09,2.941536E-09,1,1,0,0,0,1
1492.719,-73.42165,-58.0925,-228.9782,1.214356E-07,1.498425E-07,-4.556487E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1
1492.769,-73.42165,-58.0925,-228.9782,1.272103E-07,1.611686E-07,-4.811159E-08,1,1,0.1355052,0.2681788,-0.03813066,0.9530292,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,2.348256E-09,1.527306E-08,1.048047E-09,1,1,0,0,0,1
1492.819,-73.42165,-58.0925,-228.9782,1.36198E-07,2.15832E-07,-3.142478E-08,1,1,0.1355051,0.2681801,-0.03813082,0.9530288,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,1.241408E-08,5.071644E-08,1.309203E-08,1,1,0,0,0,1
1492.869,-73.42165,-58.0925,-228.9782,1.41442E-07,1.80908E-07,-3.677862E-08,1,1,0.1355054,0.2681785,-0.03813065,0.9530292,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,5.244003E-09,-3.492401E-08,-5.353836E-09,1,1,0,0,0,1
1492.919,-73.42165,-58.0925,-228.9782,1.506363E-07,2.160701E-07,-2.576617E-08,1,1,0.1355055,0.2681799,-0.03813092,0.9530288,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,9.194263E-09,3.516211E-08,1.101245E-08,1,1,0,0,0,1
1492.969,-73.42165,-58.0925,-228.9782,1.24753E-07,2.398147E-07,-3.200275E-09,1,1,0.1355056,0.2681793,-0.03813086,0.9530289,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-2.588333E-08,2.374457E-08,2.256592E-08,1,1,0,0,0,1
1493.019,-73.42165,-58.0925,-228.9782,1.506482E-07,2.644069E-07,-4.10165E-09,1,1,0.1355063,0.2681797,-0.0381311,0.9530287,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,2.589518E-08,2.459223E-08,-9.013767E-10,1,1,0,0,0,1
1493.073,-73.42165,-58.0925,-228.9782,1.570939E-07,2.417728E-07,-2.139159E-08,1,1,0.1355072,0.2681799,-0.03813139,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,6.445712E-09,-2.263413E-08,-1.728994E-08,1,1,0,0,0,1
1493.123,-73.42165,-58.0925,-228.9782,1.967166E-07,2.714838E-07,-3.789712E-08,1,1,0.1355082,0.2681803,-0.03813176,0.9530283,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,3.962275E-08,2.97111E-08,-1.650553E-08,1,1,0,0,0,1
1493.174,-73.42165,-58.0925,-228.9782,1.671466E-07,3.07042E-07,-1.771098E-08,1,1,0.1355082,0.2681806,-0.03813179,0.9530281,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-2.957006E-08,3.555819E-08,2.018616E-08,1,1,0,0,0,1
1493.224,-73.42165,-58.0925,-228.9782,1.698704E-07,2.735458E-07,-2.260595E-08,1,1,0.1355088,0.268181,-0.03813203,0.953028,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,2.723823E-09,-3.34962E-08,-4.894975E-09,1,1,0,0,0,1
1493.274,-73.42165,-58.0925,-228.9782,1.612677E-07,2.223392E-07,-5.352727E-08,1,1,0.1355097,0.2681822,-0.03813248,0.9530274,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-8.602595E-09,-5.120662E-08,-3.092132E-08,1,1,0,0,0,1
1493.323,-73.42165,-58.0925,-228.9782,1.662031E-07,2.086029E-07,-6.318284E-08,1,1,0.1355098,0.268181,-0.0381323,0.9530278,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.935364E-09,-1.373628E-08,-9.655589E-09,1,1,0,0,0,1
1493.373,-73.42165,-58.0925,-228.9782,2.003674E-07,2.275782E-07,-8.481318E-08,1,1,0.1355098,0.2681803,-0.03813219,0.953028,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,3.909962E-08,5.238993E-09,-3.128594E-08,0.9999999,1,0,0,0,1
1493.423,-73.42165,-58.0925,-228.9782,2.608447E-07,2.904831E-07,-9.918111E-08,1,1,0.1355099,0.2681794,-0.03813211,0.9530283,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,6.047718E-08,6.290485E-08,-1.436793E-08,1,1,0,0,0,1
1493.473,-73.42165,-58.0925,-228.9782,2.645012E-07,3.17722E-07,-9.896863E-08,1,1,0.13551,0.2681802,-0.03813225,0.953028,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,3.656416E-09,2.723898E-08,2.124686E-10,1,1,0,0,0,1
1493.524,-73.42165,-58.0925,-228.9782,2.276611E-07,2.254155E-07,-1.160007E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,-3.684008E-08,-9.230647E-08,-1.70321E-08,1,1,0,0,0,1
1493.573,-73.42165,-58.0925,-228.9782,2.773583E-07,3.481582E-07,-1.003087E-07,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1493.623,-73.42165,-58.0925,-228.9782,3.270555E-07,4.70901E-07,-8.461667E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1493.673,-73.42165,-58.0925,-228.9782,3.767527E-07,5.936439E-07,-6.892465E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1493.723,-73.42165,-58.0925,-228.9782,4.264499E-07,7.163868E-07,-5.32326E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1493.773,-73.42165,-58.0925,-228.9782,4.761471E-07,8.391297E-07,-3.754055E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.969706E-08,1.227425E-07,1.569201E-08,1,1,0,0,0,1
1493.823,-73.42165,-58.0925,-228.9782,5.203225E-07,9.482345E-07,-2.359205E-08,1,1,0.1355096,0.2681785,-0.03813187,0.9530286,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,4.417516E-08,1.091045E-07,1.394846E-08,1,1,0,0,0,1
1493.874,-73.42165,-58.0925,-228.9782,5.203225E-07,9.482345E-07,-2.359205E-08,1,1,0.1348537,0.268248,-0.03795394,0.9531091,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,0,0,0,1,1,-0.004526617,0.001484748,-0.001759468,1.000007
1493.923,-73.42165,-58.0925,-228.9782,5.203225E-07,9.482345E-07,-2.359205E-08,1,1,0.1312987,0.2678566,-0.03687437,0.9537577,0,0,0,0,4.46807,0.09947679,6.087602,7.370565,2.113724,1.96773,2.104067,0,1,0,0,0,0,0,0,1,1,-0.01215759,-0.001065233,-6.270005E-05,0.9999058
