2,3,Ludwig-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
63.287,0.940519,-0.185572,-1.755192,0,0,0,1,1,0.1636019,0.08030365,-0.01336284,0.9831619,0,0,0,0,3.331396,0,0,0,1,-0.1216032,0.004760062,-0.01730795,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
63.33424,0.8697033,-0.1828,-1.765272,4.412458E-08,-2.436006E-08,-1.624993E-08,1,1,0.163666,0.07859463,-0.01308183,0.9832931,0,0,0,0,3.336699,0,0,0,1,0,0,0,3.355454E-08,-2.164766E-08,-1.299315E-08,0.9999997,1,0,0,0,1,1,1,0,0,0,1.057006E-08,-2.712388E-09,-3.256787E-09,1,1,0,0,0,1
63.38364,0.8578013,-0.1823341,-1.766966,1.687815E-07,1.945918E-08,-1.301806E-08,1,1,0.1637193,0.07660944,-0.01275357,0.9834452,0,0,0,0,3.340122,0,0,0,1,0,0,0,6.328568E-08,2.383252E-08,3.164853E-09,1,1,0,0,0,1,1,1,0,0,0,6.137125E-08,1.998671E-08,6.701711E-11,1,1,0,0,0,1
63.4341,0.8558009,-0.1822557,-1.76725,7.555903E-08,-6.668184E-09,-4.219713E-09,1,1,0.1637927,0.07492126,-0.01247659,0.9835665,0,0,0,0,3.341167,0,0,0,1,0,0,0,-4.88657E-08,-1.353413E-08,2.21861E-09,1,1,0,0,0,1,1,1,0,0,0,-4.435675E-08,-1.259323E-08,6.579727E-09,1,1,0,0,0,1
63.48444,0.8554647,-0.1822426,-1.767298,8.343161E-08,4.391501E-08,2.223333E-08,1,1,0.1638899,0.07359356,-0.01226168,0.9836532,0,0,0,0,3.341419,0,0,0,1,0,0,0,3.93627E-09,2.52916E-08,1.322652E-08,1,1,0,0,0,1,1,1,0,0,0,3.93627E-09,2.52916E-08,1.322652E-08,1,1,0,0,0,1
63.53374,0.8554082,-0.1822404,-1.767306,1.279557E-07,4.173331E-08,-2.189803E-09,1,1,0.1639928,0.07256871,-0.01209776,0.9837143,0,0,0,0,3.341473,0,0,0,1,0,0,0,2.226203E-08,-1.090851E-09,-1.221157E-08,1,1,0,0,0,1,1,1,0,0,0,2.226203E-08,-1.090851E-09,-1.221157E-08,1,1,0,0,0,1
63.58595,0.8553987,-0.18224,-1.767308,1.112162E-07,4.850335E-08,2.565056E-09,1,1,0.1640864,0.07177876,-0.01197237,0.9837582,0,0,0,0,3.341485,0,0,0,1,0,0,0,-1.673951E-08,6.770057E-09,4.754864E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
63.6339,0.8553971,-0.18224,-1.767308,2.011415E-07,5.819515E-08,-1.429742E-08,1,1,0.1641713,0.07118124,-0.01187849,0.9837885,0,0,0,0,3.341487,0,0,0,1,0,0,0,8.992532E-08,9.691791E-09,-1.686247E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
63.68407,0.8553968,-0.18224,-1.767308,3.264461E-07,1.591405E-07,3.29329E-08,1,1,0.1642302,0.07070406,-0.01180278,0.9838141,0,0,0,0,3.341487,0,0,0,1,0,0,0,4.102225E-10,1.66694E-08,5.062915E-09,1,1,0,0,0,1,1,1,0,0,0,1.248943E-07,8.427597E-08,4.216744E-08,1,1,0,0,0,1
63.73423,0.8553968,-0.18224,-1.767308,3.494586E-07,2.021493E-07,5.028434E-08,1,1,0.1642712,0.0703274,-0.01174259,0.9838349,0,0,0,0,3.341487,0,0,0,1,0,0,0,7.165482E-09,3.133036E-08,1.174938E-08,1,1,0,0,0,1,1,1,0,0,0,1.58473E-08,1.167837E-08,5.602013E-09,1,1,0,0,0,1
63.78525,0.8553968,-0.18224,-1.767308,3.56226E-07,2.03109E-07,5.28469E-08,1,1,0.1643002,0.07003237,-0.01169519,0.9838517,0,0,0,0,3.341487,0,0,0,1,0,0,0,6.767376E-09,9.59705E-10,2.562553E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
63.83358,0.8553968,-0.18224,-1.767308,2.776934E-07,3.046174E-07,1.07146E-07,1,1,0.164321,0.06980242,-0.0116581,0.983865,0,0,0,0,3.341487,0,0,0,1,0,0,0,-1.19832E-08,1.703309E-08,1.035672E-08,1,1,0,0,0,1,1,1,0,0,0,-6.654971E-08,8.447529E-08,4.394239E-08,1,1,0,0,0,1
63.88456,0.8553968,-0.18224,-1.767308,3.522594E-07,3.423733E-07,1.040462E-07,1,1,0.164336,0.06962378,-0.01162921,0.9838755,0,0,0,0,3.341487,0,0,0,1,0,0,0,1.036269E-08,2.393397E-08,1.921483E-09,1,1,0,0,0,1,1,1,0,0,0,6.420309E-08,1.382184E-08,-5.021243E-09,1,1,0,0,0,1
63.93459,0.8553968,-0.18224,-1.767308,4.481159E-07,3.266543E-07,9.277323E-08,1,1,0.164347,0.06948522,-0.01160675,0.9838837,0,0,0,0,3.341487,0,0,0,1,0,0,0,9.585641E-08,-1.57192E-08,-1.127301E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
63.98428,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643552,0.06937791,-0.01158932,0.9838901,0,0,0,0,3.341487,0,0,0,1,0,0,0,5.131584E-09,1.923592E-08,8.014605E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.03527,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643613,0.06929485,-0.01157582,0.9838951,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.08495,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643659,0.06923056,-0.01156536,0.983899,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.13326,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643694,0.0691808,-0.01155725,0.983902,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.18451,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.164372,0.06914232,-0.01155098,0.9839044,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.23447,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.164374,0.06911255,-0.01154613,0.9839061,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.28394,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643756,0.06908952,-0.01154238,0.9839076,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.33621,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643768,0.06907173,-0.01153948,0.9839087,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.38381,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643778,0.06905796,-0.01153723,0.9839095,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.43456,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643785,0.06904732,-0.0115355,0.9839101,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.48501,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643791,0.06903905,-0.01153415,0.9839106,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.5356,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643795,0.06903268,-0.01153311,0.983911,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
64.58584,0.8553968,-0.18224,-1.767308,4.532476E-07,3.458902E-07,1.007878E-07,1,1,0.1643798,0.06902774,-0.01153231,0.9839113,0,0,0,0,3.341487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
