2,3,Maciej-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
842.9487,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,4.178279E-05,1.764226E-05,-3.015984E-05,1,1,0,0,0,1,1,1,0,0,0,4.104695E-05,1.733167E-05,-2.962883E-05,1,1,0,0,0,1
842.9979,0.977,-0.187,-1.75,4.170436E-08,7.191467E-09,-7.086935E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,1.173922E-08,-4.499588E-10,5.869763E-10,1,1,0,0,0,1,1,1,0,0,0,1.748421E-08,1.338748E-08,-4.093655E-09,0.9999999,1,0,0,0,1
843.048,0.977,-0.187,-1.75,4.13895E-08,2.17023E-08,1.016862E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-2.357758E-09,2.260446E-08,1.241317E-08,1,1,0,0,0,1,1,1,0,0,0,1.452382E-08,-1.383969E-08,1.262131E-09,1,1,0,0,0,1
843.0971,0.977,-0.187,-1.75,4.311475E-08,3.457959E-08,1.575116E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,6.088682E-09,6.324392E-09,8.922161E-10,1,1,0,0,0,1,1,1,0,0,0,-4.363447E-09,6.552899E-09,4.690316E-09,1,1,0,0,0,1
843.1465,0.977,-0.187,-1.75,1.756838E-07,1.080963E-07,2.117461E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-5.777479E-08,-2.377892E-09,9.553914E-09,1,1,0,0,0,1,1,1,0,0,0,1.903437E-07,7.589453E-08,-4.130476E-09,1,1,0,0,0,1
843.1973,0.977,-0.187,-1.75,1.732798E-07,1.181759E-07,2.372346E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,6.753112E-09,7.964393E-09,1.652617E-10,1,1,0,0,0,1,1,1,0,0,0,-9.157095E-09,2.115176E-09,2.383587E-09,1,1,0,0,0,1
843.2474,0.977,-0.187,-1.75,2.019576E-07,4.558424E-08,1.994672E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-1.307804E-08,-3.483849E-09,-1.375379E-09,1,1,0,0,0,1,1,1,0,0,0,4.175589E-08,-6.910776E-08,-2.035343E-08,1,1,0,0,0,1
843.2971,0.977,-0.187,-1.75,2.397749E-07,5.621257E-08,1.771922E-09,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,1.437392E-08,-8.103199E-09,-6.102215E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.344327E-08,1.873151E-08,5.879465E-09,1,1,0,0,0,1
843.3463,0.977,-0.187,-1.75,2.400854E-07,8.643053E-08,7.407903E-09,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,2.540406E-08,2.180799E-08,2.791074E-09,1,1,0,0,0,1,1,1,0,0,0,-2.509364E-08,8.409945E-09,2.844917E-09,1,1,0,0,0,1
843.3967,0.977,-0.187,-1.75,3.640909E-07,1.458571E-07,8.957125E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,2.384816E-09,2.296493E-08,7.810911E-09,1,1,0,0,0,1,1,1,0,0,0,1.216207E-07,3.646158E-08,-6.26169E-09,1,1,0,0,0,1
843.4478,0.977,-0.187,-1.75,4.379225E-07,1.701844E-07,1.540263E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,7.225822E-08,1.676987E-08,-3.23199E-09,1,1,0,0,0,1,1,1,0,0,0,1.573477E-09,7.557437E-09,9.67748E-09,1,1,0,0,0,1
843.4973,0.977,-0.187,-1.75,4.961561E-07,1.863897E-07,1.61568E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,1.606423E-08,1.870149E-08,6.510188E-09,1,1,0,0,0,1,1,1,0,0,0,4.216942E-08,-2.496266E-09,-5.756031E-09,1,1,0,0,0,1
843.5467,0.977,-0.187,-1.75,4.158867E-07,1.616532E-07,2.135228E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-9.56577E-09,8.647536E-09,6.011895E-09,1,1,0,0,0,1,1,1,0,0,0,-7.070356E-08,-3.338399E-08,-8.16453E-10,1,1,0,0,0,1
843.5971,0.977,-0.187,-1.75,3.753929E-07,1.376326E-07,3.195312E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-3.038519E-08,-8.179721E-09,1.048801E-08,1,1,0,0,0,1,1,1,0,0,0,-1.010866E-08,-1.584085E-08,1.127995E-10,1,1,0,0,0,1
843.6463,0.977,-0.187,-1.75,4.35281E-07,1.600118E-07,3.341417E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,3.989975E-08,2.727582E-08,8.228335E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,1.998827E-08,-4.896694E-09,-6.767298E-09,1,1,0,0,0,1
843.6973,0.977,-0.187,-1.75,4.421401E-07,1.464914E-07,2.617985E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,1.203314E-08,2.473122E-08,4.476881E-09,1,1,0,0,0,1,1,1,0,0,0,-5.174105E-09,-3.825165E-08,-1.17112E-08,1,1,0,0,0,1
843.7486,0.977,-0.187,-1.75,4.904855E-07,1.783398E-07,2.671951E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,1.278019E-08,1.174637E-08,3.698204E-09,1,1,0,0,0,1,1,1,0,0,0,3.556519E-08,2.010203E-08,-3.158533E-09,1,1,0,0,0,1
843.7978,0.977,-0.187,-1.75,4.420055E-07,1.644113E-07,3.783193E-08,1,1,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-2.676436E-08,-1.372466E-08,2.731085E-09,1,1,0,0,0,1,1,1,0,0,0,-2.171554E-08,-2.038063E-10,8.381338E-09,1,1,0,0,0,1
843.8467,0.977,-0.187,-1.75,4.722934E-07,1.682631E-07,3.546296E-08,1,1,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,2.17306E-08,4.026182E-09,-1.844236E-09,1,1,0,0,0,1,1,1,0,0,0,8.744852E-09,1.180162E-09,1.116729E-09,1,1,0,0,0,1
843.898,0.977,-0.187,-1.75,5.14658E-07,1.542697E-07,2.145799E-08,1,1,0.1635913,0.08044755,-0.01338605,0.9831516,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,2.312476E-08,-5.420351E-09,-6.022343E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,1.923981E-08,-8.573015E-09,-7.982664E-09,1,1,0,0,0,1
843.9468,0.977,-0.187,-1.75,6.057177E-07,1.152602E-07,9.876551E-09,1,1,0.1635914,0.08044766,-0.01338608,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,3.630132E-08,-1.886455E-08,-4.20475E-09,1,1,0,0,0,1,1,1,0,0,0,5.475837E-08,-2.0145E-08,-7.376745E-09,1,1,0,0,0,1
843.9971,0.977,-0.187,-1.75,6.850331E-07,1.058964E-07,-2.335444E-09,1,1,0.1635914,0.08044773,-0.01338609,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,3.842104E-08,-4.679466E-09,-5.599553E-09,1,1,0,0,0,1,1,1,0,0,0,4.089425E-08,-4.684338E-09,-6.612471E-09,1,1,0,0,0,1
844.0469,0.977,-0.187,-1.75,6.777404E-07,5.603733E-08,-5.327691E-09,1,1,0.1635914,0.08044779,-0.0133861,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-3.109286E-08,-3.304052E-08,-4.712983E-09,1,1,0,0,0,1,1,1,0,0,0,2.380031E-08,-1.681854E-08,1.720703E-09,1,1,0,0,0,1
844.0971,0.977,-0.187,-1.75,5.079486E-07,7.996891E-08,2.010723E-08,1,1,0.1635914,0.08044782,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.489594E-08,1.196581E-08,1.271746E-08,1,1,0,0,0,1,1,1,0,0,0,-8.489594E-08,1.196581E-08,1.271746E-08,1,1,0,0,0,1
844.1465,0.977,-0.187,-1.75,3.47523E-07,3.438738E-08,3.115816E-08,1,1,0.1635914,0.08044785,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-1.005286E-07,-3.879195E-08,5.319849E-09,1,1,0,0,0,1,1,1,0,0,0,-5.989722E-08,-6.789596E-09,5.731037E-09,1,1,0,0,0,1
844.1978,0.977,-0.187,-1.75,2.607068E-07,-1.381659E-10,3.555609E-08,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.68162E-08,-3.452555E-08,4.397904E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
844.2469,0.977,-0.187,-1.75,6.298995E-08,2.542319E-09,8.350951E-08,1,1,0.1635914,0.08044787,-0.01338612,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-1.020093E-07,4.394809E-09,2.698963E-08,1,1,0,0,0,1,1,1,0,0,0,-9.570767E-08,-1.714344E-09,2.096372E-08,1,1,0,0,0,1
844.2968,0.977,-0.187,-1.75,-2.148286E-08,9.187219E-09,1.062598E-07,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-4.18579E-08,4.066377E-09,1.146964E-08,1,1,0,0,0,1,1,1,0,0,0,-4.261491E-08,2.578513E-09,1.128067E-08,1,1,0,0,0,1
844.348,0.977,-0.187,-1.75,-7.155092E-08,-2.224744E-08,1.100276E-07,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-9.639241E-09,-3.505512E-08,-1.126584E-08,1,1,0,0,0,1,1,1,0,0,0,-4.042882E-08,3.620452E-09,1.503368E-08,1,1,0,0,0,1
844.3967,0.977,-0.187,-1.75,-1.598759E-07,-6.828061E-08,1.128118E-07,1,1,0.1635914,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-4.496671E-08,-2.482449E-08,1.618283E-09,1,1,0,0,0,1,1,1,0,0,0,-4.335823E-08,-2.120871E-08,1.165839E-09,1,1,0,0,0,1
844.4479,0.977,-0.187,-1.75,-2.026459E-07,-1.065593E-07,1.129602E-07,1,1,0.1635913,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,5.882241E-10,-1.706997E-08,-1.017443E-09,1,1,0,0,0,1,1,1,0,0,0,-4.335823E-08,-2.120871E-08,1.165839E-09,1,1,0,0,0,1
844.4962,0.977,-0.187,-1.75,-3.39947E-07,-1.737201E-07,1.16652E-07,1,1,0.1635914,0.08044787,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-5.058461E-08,-2.474349E-08,1.360146E-09,1,1,0,0,0,1,1,1,0,0,0,-8.671648E-08,-4.241741E-08,2.331679E-09,1,1,0,0,0,1
844.5482,0.977,-0.187,-1.75,-5.050657E-07,-2.535674E-07,1.281035E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.25593E-08,-3.992371E-08,5.725747E-09,1,1,0,0,0,1,1,1,0,0,0,-8.25593E-08,-3.992371E-08,5.725747E-09,1,1,0,0,0,1
844.5972,0.977,-0.187,-1.75,-6.931158E-07,-2.968814E-07,1.379464E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-1.012769E-07,-2.332299E-08,5.183228E-09,1,1,0,0,0,1,1,1,0,0,0,-8.67731E-08,-1.999114E-08,4.659582E-09,1,1,0,0,0,1
844.6465,0.977,-0.187,-1.75,-8.955664E-07,-3.435273E-07,1.489409E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-1.15686E-07,-2.665485E-08,6.282555E-09,1,1,0,0,0,1
844.697,0.977,-0.187,-1.75,-1.069095E-06,-3.835095E-07,1.583648E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
844.7463,0.977,-0.187,-1.75,-1.416153E-06,-4.634739E-07,1.772125E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
844.7984,0.977,-0.187,-1.75,-1.589682E-06,-5.03456E-07,1.866364E-07,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,0.2717859,0.8343505,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
