2,3,Mahmoud-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
58.80261,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
58.85341,0.977,-0.187,-1.75,3.173492E-08,2.15202E-08,-7.140497E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.214863E-09,8.131226E-09,2.31395E-09,1,1,0,0,0,1,1,1,0,0,0,3.394977E-08,1.338897E-08,-9.454444E-09,1,1,0,0,0,1
58.90108,0.977,-0.187,-1.75,2.513049E-08,3.356024E-08,9.330822E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,8.234242E-09,-1.631048E-08,4.778926E-10,1,1,0,0,0,1,1,1,0,0,0,-1.483868E-08,2.835052E-08,1.599343E-08,1,1,0,0,0,1
58.95234,0.977,-0.187,-1.75,3.366968E-08,4.986909E-08,1.684853E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,-4.363447E-09,6.552899E-09,4.690316E-09,1,1,0,0,0,1,1,1,0,0,0,1.290263E-08,9.755954E-09,2.827389E-09,1,1,0,0,0,1
58.99991,0.977,-0.187,-1.75,3.479916E-07,1.806597E-07,5.623784E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.291347E-07,5.171253E-08,-9.115762E-09,1,1,0,0,0,1,1,1,0,0,0,1.85187E-07,7.907799E-08,-2.109002E-09,1,1,0,0,0,1
59.05107,0.977,-0.187,-1.75,4.065932E-07,2.124541E-07,1.644727E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.955023E-08,2.027282E-08,6.744462E-09,1,1,0,0,0,1,1,1,0,0,0,2.905132E-08,1.152155E-08,4.079006E-09,1,1,0,0,0,1
59.10115,0.977,-0.187,-1.75,4.394207E-07,1.397769E-07,-7.104715E-10,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.641376E-08,-3.633862E-08,-8.578885E-09,1,1,0,0,0,1,1,1,0,0,0,1.641376E-08,-3.633862E-08,-8.578885E-09,1,1,0,0,0,1
59.14989,0.977,-0.187,-1.75,4.87261E-07,1.617032E-07,3.475957E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.128861E-08,3.695438E-08,2.969792E-08,1,1,0,0,0,1,1,1,0,0,0,1.425093E-08,-1.018815E-08,9.529601E-09,0.9999997,1,0,0,0,1
59.20064,0.977,-0.187,-1.75,4.841482E-07,1.655856E-07,3.831579E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,-4.114575E-09,-2.458198E-09,-1.460536E-09,1,1,0,0,0,1,1,1,0,0,0,1.001831E-09,6.340629E-09,5.016739E-09,1,1,0,0,0,1
59.25011,0.977,-0.187,-1.75,4.796454E-07,1.970715E-07,5.005359E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.419086E-08,1.833457E-08,1.012811E-08,1,1,0,0,0,1,1,1,0,0,0,1.968793E-08,1.315125E-08,1.609728E-09,1,1,0,0,0,1
