2,7,Maomeno-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
615.1658,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.649514E-06,-5.951381E-05,3.413493E-05,1,1.034126,0,0,0,1
615.2153,-73.42165,-58.0925,-228.9782,2.040489E-08,-2.304914E-08,-3.083699E-09,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,8.202742E-09,-1.372561E-08,-5.869032E-09,1,1,0,0,0,1,1,1,0,0,0,1.220215E-08,-9.323527E-09,2.785328E-09,1,1,0,0,0,1
615.2655,-73.42165,-58.0925,-228.9782,8.273415E-08,8.215945E-08,-2.285744E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,3.08413E-08,4.35871E-08,-1.075513E-08,1,1,0,0,0,1,1,1,0,0,0,3.148793E-08,6.162144E-08,-9.018616E-09,1,1,0,0,0,1
615.316,-73.42165,-58.0925,-228.9782,-4.532853E-09,1.291466E-07,-4.926104E-10,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,-4.664003E-08,2.966568E-08,1.256077E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.062695E-08,1.732149E-08,9.80406E-09,0.9999999,1,0,0,0,1
615.3652,-73.42165,-58.0925,-228.9782,5.371555E-08,1.354817E-07,-3.339703E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,3.562765E-08,3.804427E-09,-2.153876E-08,1,1,0,0,0,1,1,1,0,0,0,2.262074E-08,2.530552E-09,-1.136569E-08,1,1,0,0,0,1
615.4151,-73.42165,-58.0925,-228.9782,6.896876E-08,1.294136E-07,-4.521604E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,6.854791E-09,-3.760476E-09,-7.714076E-09,1,1,0,0,0,1,1,1,0,0,0,8.398414E-09,-2.30772E-09,-4.104927E-09,1,1,0,0,0,1
615.4655,-73.42165,-58.0925,-228.9782,7.747343E-08,1.727419E-07,-2.154238E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,1.211203E-08,3.785383E-08,7.768604E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-3.607383E-09,5.474418E-09,1.590503E-08,0.9999999,1,0,0,0,1
615.5152,-73.42165,-58.0925,-228.9782,7.598678E-08,3.084622E-07,1.573344E-08,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,-6.344634E-09,5.126026E-08,1.633367E-08,1,1,0,0,0,1,1,1,0,0,0,4.858001E-09,8.44601E-08,2.094218E-08,1,1,0,0,0,1
615.5658,-73.42165,-58.0925,-228.9782,1.050803E-07,3.56682E-07,2.887752E-08,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,1.327341E-08,3.421115E-08,1.023329E-08,1,1,0,0,0,1,1,1,0,0,0,1.582005E-08,1.400855E-08,2.910761E-09,1,1,0,0,0,1
615.6158,-73.42165,-58.0925,-228.9782,1.95749E-07,3.189393E-07,-3.953962E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.1752176,6.087802,5.821843,1.651682,1.406611,0.6946577,0,1,0,0,0,4.738859E-08,-1.123554E-08,-3.211994E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.328009E-08,-2.650715E-08,-3.629725E-08,0.9999999,1,0,0,0,1
