2,3,Mary-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
562.7589,1.085492,-0.04735422,-1.506252,0,0,0,1,1,0.1627542,0.08073404,-0.01336341,0.9832673,0,0,0,0,3.331396,0,0,0,1,0.3616415,0.4654859,0.8124946,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.711757E-11,3.675397E-09,1.035357E-10,1,1,0,0,0,1
562.8092,1.296095,0.223722,-1.033095,-1.472311E-08,3.916995E-09,-3.211786E-09,1,1,0.1535299,0.08373848,-0.01305873,0.9845029,0,0,0,0,3.114236,0,0,0,1,0,0,0,-2.384021E-09,1.598382E-08,-6.650281E-11,1,1,0,0,0,1,1,1,0,0,0,-1.235621E-08,-1.574223E-08,-3.248817E-09,1,1,0,0,0,1
562.8584,1.331491,0.2692817,-0.953571,-6.778924E-08,-4.671582E-08,-2.341486E-08,1,1,0.1433279,0.08694012,-0.01264085,0.9857681,0,0,0,0,3.038331,0,0,0,1,0,0,0,-8.362639E-09,-2.34718E-08,-1.483624E-08,1,1,0,0,0,1,1,1,0,0,0,-4.470351E-08,-2.716103E-08,-5.366824E-09,1,1,0,0,0,1
562.9088,1.33744,0.276939,-0.9402055,-9.302209E-08,-3.582038E-08,-2.177077E-08,1,1,0.1346437,0.08965709,-0.01223382,0.9867538,0,0,0,0,3.022229,0,0,0,1,0,0,0,-9.775282E-09,7.37225E-09,2.085236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.545754E-08,3.523178E-09,-4.411372E-10,1,1,0,0,0,1
562.9598,1.338439,0.2782259,-0.9379593,-1.366619E-07,-5.017073E-08,-1.230519E-08,1,1,0.1276098,0.09190879,-0.0118771,0.9874854,0,0,0,0,3.01878,0,0,0,1,0,0,0,-2.727491E-08,-8.968963E-09,5.91599E-09,1,1,0,0,0,1,1,1,0,0,0,-1.636494E-08,-5.381378E-09,3.549594E-09,1,1,0,0,0,1
563.0092,1.338607,0.2784422,-0.9375818,-3.40612E-07,-1.542468E-07,-6.211724E-09,1,1,0.1220084,0.09376127,-0.01157834,0.9880227,0,0,0,0,3.018052,0,0,0,1,0,0,0,-1.073587E-07,-4.38661E-08,5.440744E-09,1,1,0,0,0,1,1,1,0,0,0,-9.659156E-08,-6.020995E-08,6.527535E-10,1,1,0,0,0,1
563.0598,1.338636,0.2784786,-0.9375183,-3.120249E-07,-1.497736E-07,-5.666272E-09,1,1,0.1175916,0.09526586,-0.01133374,0.988417,0,0,0,0,3.017902,0,0,0,1,0,0,0,1.429354E-08,2.236632E-09,2.727293E-10,1,1,0,0,0,1,1,1,0,0,0,1.429354E-08,2.236632E-09,2.727293E-10,1,1,0,0,0,1
563.1085,1.33864,0.2784847,-0.9375076,-3.35944E-07,-1.626186E-07,-4.491176E-09,1,1,0.1141341,0.09646984,-0.01113625,0.9887077,0,0,0,0,3.017873,0,0,0,1,0,0,0,-1.195949E-08,-6.422526E-09,5.875445E-10,1,1,0,0,0,1,1,1,0,0,0,-1.195949E-08,-6.422526E-09,5.875445E-10,1,1,0,0,0,1
563.1603,1.338641,0.2784857,-0.9375058,-3.160663E-07,-1.327778E-07,9.063987E-09,1,1,0.1114428,0.09742016,-0.01097838,0.9889233,0,0,0,0,3.017867,0,0,0,1,0,0,0,2.790858E-08,1.600071E-08,5.968035E-09,1,1,0,0,0,1,1,1,0,0,0,-1.508291E-08,2.551099E-08,1.152802E-08,1,1,0,0,0,1
563.2103,1.338641,0.2784859,-0.9375055,-3.180426E-07,-1.476923E-07,3.16764E-09,1,1,0.1093567,0.09816339,-0.0108533,0.9890841,0,0,0,0,3.017866,0,0,0,1,0,0,0,-7.394391E-11,-2.272867E-08,-1.162406E-08,1,1,0,0,0,1,1,1,0,0,0,-1.902374E-09,7.814235E-09,5.72772E-09,1,1,0,0,0,1
