2,3,Michel-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
32.8055,0.977,-0.187,-1.75,0,0,0,1,0.9814584,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.9814584,0,0,0,1
32.85175,0.977,-0.187,-1.75,3.781711E-08,1.702448E-08,-1.035009E-08,1,0.9814584,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.309268,0,0,0,1,0,0,0,1.275335E-08,1.024677E-08,-2.978976E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.506374E-08,6.777701E-09,-7.371111E-09,1,1,0,0,0,1
32.90036,0.977,-0.187,-1.75,1.105734E-07,5.970714E-08,6.553834E-09,1,0.9814584,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.309214,0,0,0,1,0,0,0,7.24616E-08,1.061974E-08,1.457708E-09,1,1,0,0,0,1,1,1,0,0,0,2.946878E-10,3.206292E-08,1.54462E-08,1,1,0,0,0,1
32.95128,0.977,-0.187,-1.75,1.233798E-07,6.653693E-08,8.898949E-09,1,0.9814584,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.214167E-08,-1.882932E-09,-2.505944E-09,1,1,0,0,0,1,1,1,0,0,0,6.646708E-10,8.712734E-09,4.85106E-09,1,1,0,0,0,1
33.00221,0.977,-0.187,-1.75,3.769517E-07,1.716401E-07,-2.170548E-09,1,0.9814584,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.409053E-07,6.006233E-08,-9.674909E-10,1,1,0,0,0,1,1,1,0,0,0,1.126666E-07,4.504078E-08,-1.010202E-08,1,1,0,0,0,1
33.05166,0.977,-0.187,-1.75,4.427253E-07,1.090897E-07,-3.838352E-08,1,0.9814584,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.309214,0,0,0,1,0,0,0,5.047177E-08,-2.959907E-08,-1.431483E-08,1,1,0,0,0,1,1,1,0,0,0,1.530183E-08,-3.295137E-08,-2.189818E-08,1,1,0,0,0,1
33.10127,0.977,-0.187,-1.75,4.787009E-07,4.460231E-08,-5.788813E-08,1,0.9814584,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.664782E-08,-3.246796E-08,-9.380656E-09,1,1,0,0,0,1,1,1,0,0,0,1.932775E-08,-3.201942E-08,-1.012399E-08,1,1,0,0,0,1
33.15108,0.977,-0.187,-1.75,4.509495E-07,8.504593E-08,-1.716917E-08,1,0.9814584,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.309214,0,0,0,1,0,0,0,-3.977506E-08,-1.591459E-08,7.36106E-09,0.9999996,1,0,0,0,1,1,1,0,0,0,1.20237E-08,5.635819E-08,3.335789E-08,1,1,0,0,0,1
33.20115,0.977,-0.187,-1.75,4.599284E-07,8.850748E-08,-1.487401E-08,1,0.9814584,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.30935E-08,5.919745E-09,3.755678E-09,1,1,0,0,0,1,1,1,0,0,0,-4.114575E-09,-2.458198E-09,-1.460536E-09,1,1,0,0,0,1
33.25109,0.977,-0.187,-1.75,5.503351E-07,1.311573E-07,-1.513678E-09,1,0.9814584,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.309214,0,0,0,1,0,0,0,4.520322E-08,2.132488E-08,6.680179E-09,1,1,0,0,0,1,1,1,0,0,0,4.520322E-08,2.132488E-08,6.680179E-09,1,1,0,0,0,1
33.30053,0.977,-0.187,-1.75,5.909831E-07,1.502203E-07,3.782405E-10,1,0.9814584,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.200985E-09,1.007581E-08,2.476492E-09,1,1,0,0,0,1,1,1,0,0,0,3.944707E-08,8.987188E-09,-5.845665E-10,1,1,0,0,0,1
33.35069,0.977,-0.187,-1.75,6.795036E-07,1.66622E-07,-8.441402E-09,1,0.9814584,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.309214,0,0,0,1,0,0,0,5.058665E-08,1.335811E-08,-5.60346E-09,1,1,0,0,0,1,1,1,0,0,0,3.793372E-08,3.043615E-09,-3.216229E-09,1,1,0,0,0,1
33.40031,0.977,-0.187,-1.75,6.894188E-07,1.932087E-07,2.396267E-09,1,0.9814584,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.309214,0,0,0,1,0,0,0,1.711174E-09,3.926389E-09,2.794933E-09,1,1,0,0,0,1,1,1,0,0,0,7.564085E-09,2.166904E-08,8.332504E-09,1,1,0,0,0,1
33.45192,0.977,-0.187,-1.75,6.178016E-07,1.807255E-07,2.866779E-08,1,0.9814584,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.309214,0,0,0,1,0,0,0,-3.856333E-08,-6.721701E-09,1.41462E-08,1,1,0,0,0,1,1,1,0,0,0,-3.305428E-08,-5.761458E-09,1.212531E-08,1,1,0,0,0,1
33.50182,0.977,-0.187,-1.75,7.017387E-07,2.53943E-07,2.902964E-08,1,0.9814584,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.309214,0,0,0,1,0,0,0,2.252711E-08,2.542788E-08,-5.456383E-09,0.9999996,1,0,0,0,1,1,1,0,0,0,6.370017E-08,5.044195E-08,5.968815E-09,1,1,0,0,0,1
33.55162,0.977,-0.187,-1.75,7.584188E-07,2.471845E-07,1.569163E-08,1,0.9814584,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.309214,0,0,0,1,0,0,0,4.417468E-08,4.940807E-09,-6.034841E-09,1,1,0,0,0,1,1,1,0,0,0,1.021519E-08,-1.435173E-08,-7.453766E-09,1,1,0,0,0,1
33.60164,0.977,-0.187,-1.75,7.504908E-07,2.372562E-07,1.173869E-08,1,0.9814584,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.309214,0,0,0,1,0,0,0,-2.074412E-08,-1.250459E-08,-4.293124E-09,1,1,0,0,0,1,1,1,0,0,0,1.111668E-08,4.298078E-09,5.94075E-10,1,1,0,0,0,1
33.65094,0.977,-0.187,-1.75,7.223941E-07,2.38159E-07,2.375237E-08,1,0.9814584,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.309214,0,0,0,1,0,0,0,2.222397E-08,1.580555E-08,2.112714E-09,1,1,0,0,0,1,1,1,0,0,0,-4.862104E-08,-1.662449E-08,9.64712E-09,1,1,0,0,0,1
33.7019,0.977,-0.187,-1.75,7.124477E-07,2.462388E-07,3.147066E-08,1,0.9814584,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.483983E-08,4.01115E-09,3.84581E-09,1,1,0,0,0,1,1,1,0,0,0,4.893369E-09,4.068693E-09,3.872441E-09,1,1,0,0,0,1
33.75093,0.977,-0.187,-1.75,8.003971E-07,2.089517E-07,1.299918E-08,1,0.9814584,0.1635913,0.08044755,-0.01338605,0.9831516,0,0,0,0,3.309214,0,0,0,1,0,0,0,3.223892E-08,1.153525E-08,6.094336E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,5.571079E-08,-4.882249E-08,-2.456591E-08,1,1,0,0,0,1
33.80156,0.977,-0.187,-1.75,7.444131E-07,1.964894E-07,2.465436E-08,1,0.9814584,0.1635914,0.08044766,-0.01338608,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-2.799197E-08,-6.231149E-09,5.827611E-09,1,1,0,0,0,1,1,1,0,0,0,-2.799197E-08,-6.231149E-09,5.827611E-09,1,1,0,0,0,1
33.85042,0.977,-0.187,-1.75,8.083554E-07,1.753427E-07,1.19561E-08,1,0.9814584,0.1635914,0.08044773,-0.01338609,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,3.197112E-08,-1.057342E-08,-6.349162E-09,1,1,0,0,0,1,1,1,0,0,0,3.197112E-08,-1.057342E-08,-6.349162E-09,1,1,0,0,0,1
33.90201,0.977,-0.187,-1.75,8.751707E-07,1.578911E-07,1.897032E-08,1,0.9814584,0.1635914,0.08044779,-0.0133861,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,2.805169E-08,-1.106877E-08,2.670314E-09,1,1,0,0,0,1,1,1,0,0,0,3.876368E-08,-6.382797E-09,4.343909E-09,1,1,0,0,0,1
33.95081,0.977,-0.187,-1.75,8.010561E-07,1.340391E-07,1.500193E-08,1,0.9814584,0.1635914,0.08044782,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-2.643169E-08,-1.440959E-08,-2.384377E-09,1,1,0,0,0,1,1,1,0,0,0,-4.76835E-08,-9.442398E-09,-1.584054E-09,1,1,0,0,0,1
34.00201,0.977,-0.187,-1.75,6.983565E-07,1.1326E-07,1.691513E-08,1,0.9814584,0.1635914,0.08044785,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-2.473969E-09,1.533472E-08,2.685723E-09,1,1,0,0,0,1,1,1,0,0,0,-1.002258E-07,-3.611379E-08,-7.725441E-10,1,1,0,0,0,1
34.05037,0.977,-0.187,-1.75,5.623299E-07,6.318808E-08,3.760146E-08,1,0.9814584,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.958218E-08,-1.253866E-08,4.705983E-09,1,1,0,0,0,1,1,1,0,0,0,-1.164446E-07,-3.753327E-08,1.59803E-08,1,1,0,0,0,1
34.10068,0.977,-0.187,-1.75,4.280012E-07,4.34699E-08,5.671693E-08,1,0.9814584,0.1635914,0.08044787,-0.01338612,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-9.025669E-08,-2.059309E-08,8.213496E-09,1,1,0,0,0,1,1,1,0,0,0,-4.407221E-08,8.749341E-10,1.090193E-08,1,1,0,0,0,1
34.15115,0.977,-0.187,-1.75,3.070816E-07,3.670872E-08,8.455862E-08,1,0.9814584,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-4.277344E-08,-1.134889E-08,5.61425E-09,1,1,0,0,0,1,1,1,0,0,0,-7.814629E-08,4.587719E-09,2.222742E-08,1,1,0,0,0,1
34.20229,0.977,-0.187,-1.75,2.262066E-07,4.237594E-08,1.1233E-07,1,0.9814584,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-4.039715E-08,2.438967E-09,1.245835E-08,1,1,0,0,0,1,1,1,0,0,0,-4.069121E-08,8.566609E-11,1.413438E-08,1,1,0,0,0,1
34.2517,0.977,-0.187,-1.75,1.509072E-07,-1.667236E-08,1.083801E-07,1,0.9814584,0.1635914,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-2.898677E-08,-1.841633E-08,-1.219982E-12,1,1,0,0,0,1,1,1,0,0,0,-4.609927E-08,-3.748941E-08,-2.770045E-09,1,1,0,0,0,1
34.30087,0.977,-0.187,-1.75,4.311812E-08,-8.859222E-08,1.096268E-07,1,0.9814584,0.1635913,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-4.277001E-08,-3.827868E-08,1.483971E-10,1,1,0,0,0,1,1,1,0,0,0,-6.501904E-08,-3.36412E-08,1.098262E-09,1,1,0,0,0,1
34.35146,0.977,-0.187,-1.75,-4.367964E-08,-1.352868E-07,1.111801E-07,1,0.9814584,0.1635914,0.08044787,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-4.335823E-08,-2.120871E-08,1.165839E-09,1,1,0,0,0,1,1,1,0,0,0,-4.343952E-08,-2.54859E-08,3.873928E-10,1,1,0,0,0,1
34.4007,0.977,-0.187,-1.75,-2.163036E-07,-2.187635E-07,1.231521E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-9.00647E-08,-4.355313E-08,6.246269E-09,1,1,0,0,0,1,1,1,0,0,0,-8.25593E-08,-3.992371E-08,5.725747E-09,1,1,0,0,0,1
34.45107,0.977,-0.187,-1.75,-4.766574E-07,-2.787368E-07,1.369216E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.591199E-07,-3.665042E-08,8.324506E-09,1,1,0,0,0,1,1,1,0,0,0,-1.012338E-07,-2.332299E-08,5.444901E-09,1,1,0,0,0,1
34.50208,0.977,-0.187,-1.75,-7.514117E-07,-3.420418E-07,1.518428E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
34.55037,0.977,-0.187,-1.75,-9.972443E-07,-3.986832E-07,1.651933E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
34.60076,0.977,-0.187,-1.75,-1.286459E-06,-4.653201E-07,1.808997E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.879897E-07,-4.331413E-08,1.020915E-08,1,1,0,0,0,1
34.65166,0.977,-0.187,-1.75,-1.532292E-06,-5.219616E-07,1.942503E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
34.7007,0.977,-0.187,-1.75,-1.807047E-06,-5.852667E-07,2.091714E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
34.75153,0.977,-0.187,-1.75,-2.05288E-06,-6.419079E-07,2.225219E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
34.80112,0.977,-0.187,-1.75,-2.342095E-06,-7.085447E-07,2.382284E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.879897E-07,-4.331413E-08,1.020915E-08,1,1,0,0,0,1
34.8514,0.977,-0.187,-1.75,-2.587928E-06,-7.651861E-07,2.515789E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
34.90073,0.977,-0.187,-1.75,-2.877143E-06,-8.318229E-07,2.672855E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.15686E-07,-2.665485E-08,6.282555E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
34.95178,0.977,-0.187,-1.75,-3.050672E-06,-8.71805E-07,2.767094E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
35.00075,0.977,-0.187,-1.75,-3.39773E-06,-9.51769E-07,2.955571E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
35.05064,0.977,-0.187,-1.75,-3.600181E-06,-9.984149E-07,3.065517E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1,1,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1
35.10118,0.977,-0.187,-1.75,-3.976161E-06,-1.085043E-06,3.269701E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.879897E-07,-4.331413E-08,1.020915E-08,1,1,0,0,0,1,1,1,0,0,0,-1.879897E-07,-4.331413E-08,1.020915E-08,1,1,0,0,0,1
35.15095,0.977,-0.187,-1.75,-4.207533E-06,-1.138352E-06,3.395352E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.15686E-07,-2.665485E-08,6.282555E-09,1,1,0,0,0,1,1,1,0,0,0,-1.15686E-07,-2.665485E-08,6.282555E-09,1,1,0,0,0,1
35.20097,0.977,-0.187,-1.75,-4.381062E-06,-1.178334E-06,3.489591E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
35.25243,0.977,-0.187,-1.75,-4.771503E-06,-1.268293E-06,3.701628E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.879897E-07,-4.331413E-08,1.020915E-08,1,1,0,0,0,1,1,1,0,0,0,-2.024504E-07,-4.664598E-08,1.099447E-08,1,1,0,0,0,1
35.30145,0.977,-0.187,-1.75,-4.945032E-06,-1.308275E-06,3.795867E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1
35.35123,0.977,-0.187,-1.75,-5.29209E-06,-1.388239E-06,3.984344E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1,1,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1
35.40297,0.977,-0.187,-1.75,-5.537922E-06,-1.44488E-06,4.117849E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1
35.45093,0.977,-0.187,-1.75,-5.812676E-06,-1.508184E-06,4.26706E-07,1,0.9814584,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.309214,0,0,0,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1,1,1,0,0,0,-1.012252E-07,-2.332299E-08,5.497236E-09,1,1,0,0,0,1
