3,3,Michel-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
329.9059,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.536108E-07,-1.785011E-07,-6.673496E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
329.9542,0.977,-0.187,-1.75,-2.416933E-08,-4.076666E-08,9.308371E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.436599E-08,-2.022232E-08,6.342592E-09,0.9999996,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.0036,0.977,-0.187,-1.75,6.320501E-08,-4.774286E-08,1.196693E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,7.285053E-08,6.86348E-09,1.396439E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.0539,0.977,-0.187,-1.75,1.270668E-07,-5.505418E-08,-1.309539E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.18858E-08,-1.102274E-08,-1.806748E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.1032,0.977,-0.187,-1.75,1.819587E-07,-1.239131E-08,-1.36435E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-5.777479E-08,-2.377892E-09,9.553914E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.1549,0.977,-0.187,-1.75,1.899789E-07,-1.877215E-08,-1.668206E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.146511E-08,1.884014E-08,1.683915E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.2031,0.977,-0.187,-1.75,1.912838E-07,-5.471176E-08,-2.492855E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.261777E-08,-3.005609E-08,-6.728574E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.2554,0.977,-0.187,-1.75,2.016434E-07,-2.880233E-08,9.770852E-09,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-5.7784E-09,-1.593216E-08,1.149823E-08,0.9999996,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.3051,0.977,-0.187,-1.75,2.298465E-07,-7.723659E-09,9.933554E-09,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.806951E-08,2.315085E-08,8.883908E-10,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.355,0.977,-0.187,-1.75,3.781504E-07,4.373227E-08,7.254245E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.201151E-07,3.732147E-08,-4.561898E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.4029,0.977,-0.187,-1.75,4.13967E-07,6.786357E-08,1.135693E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.200985E-09,1.007581E-08,2.476492E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.4543,0.977,-0.187,-1.75,4.544591E-07,4.488927E-08,1.183444E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.373712E-08,-5.371736E-08,-9.005276E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.5049,0.977,-0.187,-1.75,4.429733E-07,5.056317E-08,1.871574E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.919949E-09,-2.973632E-09,8.693886E-10,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.553,0.977,-0.187,-1.75,4.135678E-07,2.21588E-08,2.483577E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.805065E-09,-1.957607E-08,1.137586E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.6043,0.977,-0.187,-1.75,5.25373E-07,9.843843E-08,2.771629E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.810508E-08,2.583766E-08,-3.088248E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
330.6564,0.977,-0.187,-1.75,5.327818E-07,2.317862E-08,1.695176E-09,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.704362E-09,-3.762991E-08,-1.301058E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
