2,3,Nust-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
351.6624,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,-1.735289E-07,-3.998227E-08,9.423832E-09,1,1,0,0,0,1,1,1,0,0,0,-2.024504E-07,-4.664598E-08,1.099447E-08,1,1,0,0,0,1
351.7114,0.977,-0.187,-1.75,4.046547E-08,5.965798E-09,-2.319252E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,3.06227E-08,1.968835E-09,-3.596767E-09,1,1,0,0,0,1,1,1,0,0,0,9.842733E-09,3.996971E-09,1.277515E-09,1,1,0,0,0,1
351.7647,0.977,-0.187,-1.75,1.22279E-07,4.342994E-08,1.045022E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,3.778656E-08,2.016858E-08,7.279798E-09,1,1,0,0,0,1,1,1,0,0,0,4.402702E-08,1.729556E-08,5.48967E-09,1,1,0,0,0,1
351.8149,0.977,-0.187,-1.75,1.243689E-07,5.666151E-08,1.472956E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,6.646708E-10,8.712734E-09,4.85106E-09,1,1,0,0,0,1,1,1,0,0,0,1.425172E-09,4.518823E-09,-5.717249E-10,1,1,0,0,0,1
351.8657,0.977,-0.187,-1.75,3.363088E-07,1.700687E-07,2.195842E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,1.640552E-07,6.990123E-08,-2.054987E-09,1,1,0,0,0,1,1,1,0,0,0,4.788456E-08,4.35059E-08,9.283837E-09,1,1,0,0,0,1
351.9128,0.977,-0.187,-1.75,4.393192E-07,1.378582E-07,-4.10905E-09,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,4.131468E-08,-2.74839E-08,-1.193125E-08,1,1,0,0,0,1,1,1,0,0,0,6.169568E-08,-4.726667E-09,-1.413626E-08,1,1,0,0,0,1
351.9642,0.977,-0.187,-1.75,4.616747E-07,1.056805E-07,-1.584878E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,1.431569E-08,-3.35233E-08,-9.509756E-09,1,1,0,0,0,1,1,1,0,0,0,8.039805E-09,1.345625E-09,-2.229988E-09,1,1,0,0,0,1
352.0109,0.977,-0.187,-1.75,4.616747E-07,1.056805E-07,-1.584878E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
352.0603,0.977,-0.187,-1.75,4.616747E-07,1.056805E-07,-1.584878E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
352.1105,0.977,-0.187,-1.75,1.010671E-06,3.712433E-07,-5.691402E-09,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,2.55129E-07,1.252235E-07,4.653401E-09,1,1,0,0,0,1,1,1,0,0,0,2.938666E-07,1.403389E-07,5.503994E-09,1,1,0,0,0,1
352.1609,0.977,-0.187,-1.75,1.040285E-06,3.913583E-07,5.70971E-09,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,1.573477E-09,7.557437E-09,9.67748E-09,1,1,0,0,0,1,1,1,0,0,0,2.804112E-08,1.255762E-08,1.723621E-09,1,1,0,0,0,1
352.2113,0.977,-0.187,-1.75,1.078258E-06,3.853903E-07,9.002012E-09,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,1.03263,0.1115959,0,1,0,0,0,2.121747E-08,-3.671109E-08,-6.190496E-09,1,1,0,0,0,1,1,1,0,0,0,1.675522E-08,3.074302E-08,9.482784E-09,1,1,0,0,0,1
