2,7,Pelotas e Fortaleza-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
6090.274,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1355019,0.268178,-0.03812958,0.9530299,0,0,0,0,3.45885,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,-6.254699E-07,8.788077E-06,-1.893129E-06,1,1,0,0,0,1,1,1,0,0,0,-6.417736E-07,8.946E-06,-1.951296E-06,1,1,0,0,0,1
6090.323,-73.42165,-58.0925,-228.9782,3.626076E-08,-1.978317E-08,-7.366108E-09,1,1,0.1355022,0.2681774,-0.03812957,0.95303,0,0,0,0,4.452971,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,1.834126E-08,-7.419801E-09,6.441248E-10,1,1,0,0,0,1,1,1,0,0,0,1.791951E-08,-1.236337E-08,-8.010235E-09,1,1,0,0,0,1
6090.374,-73.42165,-58.0925,-228.9782,1.537015E-07,1.262268E-07,-3.664934E-08,1,1,0.1355029,0.2681776,-0.03812981,0.9530299,0,0,0,0,4.467978,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,6.20801E-08,5.673104E-08,-1.711209E-08,1,1,0,0,0,1,1,1,0,0,0,5.536062E-08,8.927886E-08,-1.217114E-08,1,1,0,0,0,1
6090.424,-73.42165,-58.0925,-228.9782,6.036643E-08,1.736071E-07,-1.698645E-08,1,1,0.1355032,0.268178,-0.03812997,0.9530297,0,0,0,0,4.468069,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,-4.664003E-08,2.966568E-08,1.256077E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.669505E-08,1.771459E-08,7.102135E-09,0.9999999,1,0,0,0,1
6090.474,-73.42165,-58.0925,-228.9782,1.723335E-07,2.496571E-07,-6.520881E-08,1,1,0.1355036,0.2681797,-0.03813034,0.9530292,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,4.483478E-08,3.036293E-08,-1.92597E-08,1,1,0,0,0,1,1,1,0,0,0,6.713223E-08,4.568685E-08,-2.896272E-08,1,1,0,0,0,1
6090.523,-73.42165,-58.0925,-228.9782,1.91172E-07,2.492102E-07,-7.719777E-08,1,1,0.1355042,0.2681803,-0.03813058,0.9530289,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,7.822666E-09,2.402231E-09,-4.104927E-09,1,1,0,0,0,1,1,1,0,0,0,1.101583E-08,-2.84922E-09,-7.884026E-09,1,1,0,0,0,1
6090.574,-73.42165,-58.0925,-228.9782,2.091107E-07,3.549927E-07,-4.560677E-08,1,1,0.135505,0.2681808,-0.03813089,0.9530286,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,5.431007E-09,4.856276E-08,1.865542E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,1.250765E-08,5.721972E-08,1.293556E-08,0.9999999,1,0,0,0,1
6090.624,-73.42165,-58.0925,-228.9782,2.031798E-07,4.990621E-07,-4.290637E-09,1,1,0.1355053,0.2681802,-0.03813089,0.9530287,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,-1.078886E-08,5.960922E-08,2.0374E-08,1,1,0,0,0,1,1,1,0,0,0,4.858001E-09,8.44601E-08,2.094218E-08,1,1,0,0,0,1
6090.674,-73.42165,-58.0925,-228.9782,2.342067E-07,5.090069E-07,-2.19269E-09,1,1,0.1355059,0.2681805,-0.03813112,0.9530286,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,1.574894E-08,-1.729333E-09,2.294118E-11,1,1,0,0,0,1,1,1,0,0,0,1.527796E-08,1.167406E-08,2.074951E-09,1,1,0,0,0,1
6090.723,-73.42165,-58.0925,-228.9782,3.208824E-07,5.053237E-07,-5.90387E-08,1,1,0.1355058,0.2681813,-0.03813121,0.9530283,0,0,0,0,4.46807,0.05458776,6.360493,6.039941,1.970968,1.051965,1.397637,0,1,0,0,0,4.631713E-08,1.233635E-08,-2.425766E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,4.035842E-08,-1.601955E-08,-3.258841E-08,0.9999999,1,0,0,0,1
