2,7,Pelotas e POA-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
6773.502,-73.42228,-58.08345,-228.9525,0,0,0,1,1,0.1354657,0.2681424,-0.0381137,0.9530457,0,0,0,0,3.45885,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,-0.002076288,0.03015814,0.08555521,-1.16618E-06,-1.023793E-05,2.850161E-06,1,1,0,0,0,1,1,1,0,0,0,-1.188347E-06,-1.043253E-05,2.904337E-06,1,1,0,0,0,1
6773.552,-73.42349,-58.06589,-228.9027,-2.212175E-08,-9.063303E-08,-1.567402E-08,1,1,0.1350523,0.267735,-0.03793246,0.9532261,0,0,0,0,4.414574,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-1.297499E-08,-4.619325E-08,-7.694707E-09,1,1,0,0,0,1,1,1,0,0,0,-9.14677E-09,-4.443977E-08,-7.97931E-09,1,1,0,0,0,1
6773.602,-73.4237,-58.06293,-228.8943,-6.525263E-08,-1.379892E-07,4.052233E-09,1,1,0.1345454,0.2672375,-0.03771118,0.9534461,0,0,0,0,4.409548,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-2.662652E-08,-1.935667E-08,1.591769E-08,1,1,0,0,0,1,1,1,0,0,0,-1.650433E-08,-2.799949E-08,3.808559E-09,1,1,0,0,0,1
6773.651,-73.42374,-58.06244,-228.8929,-5.513894E-08,-2.057299E-07,-1.725554E-08,1,1,0.1340596,0.2667595,-0.03749952,0.9536568,0,0,0,0,4.403957,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-8.407362E-10,-3.966336E-08,-1.124353E-08,1,1,0,0,0,1,1,1,0,0,0,1.095443E-08,-2.807726E-08,-1.006421E-08,1,1,0,0,0,1
6773.702,-73.42374,-58.06235,-228.8927,-4.064656E-08,-2.906284E-07,-3.029444E-08,1,1,0.1336216,0.2663277,-0.03730908,0.9538464,0,0,0,0,4.402617,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,7.898911E-09,-3.757528E-08,4.723157E-10,1,1,0,0,0,1,1,1,0,0,0,6.593473E-09,-4.732311E-08,-1.351122E-08,1,1,0,0,0,1
6773.751,-73.42374,-58.06234,-228.8926,-4.953194E-08,-3.387101E-07,-1.016633E-08,1,1,0.1332422,0.265954,-0.03714458,0.9540101,0,0,0,0,4.402338,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-6.237174E-09,-2.772463E-08,9.266722E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.648213E-09,-2.035703E-08,1.086139E-08,0.9999999,1,0,0,0,1
6773.802,-73.42374,-58.06234,-228.8926,-1.70756E-07,-4.042583E-07,3.240799E-08,1,1,0.1329265,0.2656436,-0.03700803,0.9541459,0,0,0,0,4.402279,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-6.061202E-08,-3.277411E-08,2.128711E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-6.061202E-08,-3.277411E-08,2.128711E-08,0.9999999,1,0,0,0,1
6773.852,-73.42374,-58.06234,-228.8926,-1.775423E-07,-5.361554E-07,-3.016206E-08,1,1,0.132671,0.265392,-0.03689769,0.9542558,0,0,0,0,4.402279,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-8.010417E-09,-6.838551E-08,-2.711059E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,1.224079E-09,-6.35115E-08,-3.545945E-08,0.9999999,1,0,0,0,1
6773.902,-73.42374,-58.06234,-228.8926,-1.779124E-07,-5.093157E-07,3.462193E-08,1,1,0.1324699,0.2651936,-0.03681087,0.9543422,0,0,0,0,4.402279,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-1.850438E-10,1.341989E-08,3.239201E-08,1,1,0,0,0,1,1,1,0,0,0,-1.850438E-10,1.341989E-08,3.239201E-08,1,1,0,0,0,1
6773.953,-73.42374,-58.06234,-228.8926,-1.941345E-07,-5.025919E-07,3.677786E-08,1,1,0.1323142,0.2650395,-0.03674367,0.9544092,0,0,0,0,4.402279,0.3433169,5.784154,7.324068,1.785824,1.020682,2.080221,0,1,0,0,0,-4.222852E-09,9.801461E-09,1.412634E-10,1,1,0,0,0,1,1,1,0,0,0,-1.199918E-08,-3.07742E-09,2.014646E-09,1,1,0,0,0,1
