2,3,Prithvi-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
31.74528,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.019199E-09,-1.378085E-09,-3.454784E-10,1,1,0,0,0,1
31.79458,0.977,-0.187,-1.75,2.292105E-09,-3.884982E-10,9.259518E-11,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.66581E-08,1.983382E-08,-6.250001E-09,1,1,0,0,0,1,1,1,0,0,0,-2.838519E-08,-1.884423E-08,6.688071E-09,0.9999996,1,0,0,0,1
31.84502,0.977,-0.187,-1.75,7.708731E-08,-1.230629E-08,1.182692E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.24616E-08,1.061974E-08,1.457708E-09,1,1,0,0,0,1,1,1,0,0,0,2.333601E-09,-2.253753E-08,-3.676154E-10,1,1,0,0,0,1
31.89343,0.977,-0.187,-1.75,6.220984E-08,-9.44484E-09,8.487935E-09,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.214167E-08,-1.882932E-09,-2.505944E-09,1,1,0,0,0,1,1,1,0,0,0,-2.701917E-08,4.744379E-09,9.811187E-09,1,1,0,0,0,1
31.94602,0.977,-0.187,-1.75,1.793387E-07,4.39623E-08,-3.309599E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,5.856444E-08,2.670357E-08,-5.898761E-09,1,1,0,0,0,1,1,1,0,0,0,5.856444E-08,2.670357E-08,-5.898761E-09,1,1,0,0,0,1
31.99348,0.977,-0.187,-1.75,2.374414E-07,6.700539E-08,4.848418E-09,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.905132E-08,1.152155E-08,4.079006E-09,1,1,0,0,0,1,1,1,0,0,0,2.905132E-08,1.152155E-08,4.079006E-09,1,1,0,0,0,1
32.04374,0.977,-0.187,-1.75,2.247274E-07,1.442771E-08,-3.075515E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.058614E-08,-2.852828E-08,-5.853915E-09,1,1,0,0,0,1,1,1,0,0,0,-2.330013E-08,-2.404939E-08,-2.070035E-09,1,1,0,0,0,1
32.09427,0.977,-0.187,-1.75,2.207877E-07,4.142711E-08,3.344745E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.877605E-09,-9.471944E-10,1.655955E-08,0.9999997,1,0,0,0,1,1,1,0,0,0,-6.817221E-09,2.794656E-08,1.996342E-08,1,1,0,0,0,1
32.14323,0.977,-0.187,-1.75,2.280441E-07,4.730145E-08,3.772934E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.712291E-08,7.946505E-09,5.007569E-09,1,1,0,0,0,1,1,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1
32.19367,0.977,-0.187,-1.75,2.572848E-07,7.41369E-08,4.266759E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,9.552652E-09,1.368414E-08,3.328549E-09,1,1,0,0,0,1,1,1,0,0,0,1.968793E-08,1.315125E-08,1.609728E-09,1,1,0,0,0,1
