1,7,Quarto Solitario-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
8161.05,-73.42554,-58.04648,-229.2591,0,0,0,1,1,0.1354082,0.2684942,-0.0381512,0.9529533,0,0,0,0,3.45885,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.101,-73.4331,-57.95714,-229.8045,1.48981E-08,-1.077601E-08,-3.456054E-08,1,1,0.1356926,0.2737307,-0.03904119,0.9513858,0,0,0,0,4.887354,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.149,-73.43436,-57.94213,-229.8962,1.569572E-08,-1.301591E-07,-9.975615E-08,1,1,0.1366474,0.2815349,-0.04054251,0.9489056,0,0,0,0,5.139543,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.199,-73.43457,-57.9396,-229.9116,-3.833654E-08,-1.949627E-07,-1.222782E-07,1,1,0.1375666,0.2893867,-0.04206722,0.9463409,0,0,0,0,5.208056,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.25,-73.43461,-57.93917,-229.9142,-5.957855E-08,-2.234568E-07,-1.175901E-07,1,1,0.1383094,0.2962697,-0.0434059,0.9440396,0,0,0,0,5.224275,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.299,-73.43461,-57.9391,-229.9146,-2.114702E-08,-1.103295E-07,-1.11839E-07,1,1,0.1388716,0.3018641,-0.04449517,0.9421321,0,0,0,0,5.227795,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.35,-73.43461,-57.93909,-229.9147,-8.419187E-09,-5.30246E-08,-1.216105E-07,1,1,0.1392829,0.3062179,-0.04534318,0.9406248,0,0,0,0,5.228517,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.4,-73.43461,-57.93909,-229.9147,-8.31845E-08,-1.317386E-07,-1.189067E-07,1,1,0.1395806,0.3095357,-0.04598926,0.9394626,0,0,0,0,5.228659,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.45,-73.43461,-57.93909,-229.9147,-8.760414E-08,-1.025431E-07,-1.269876E-07,1,1,0.1397958,0.3120442,-0.04647725,0.9385763,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.499,-73.43461,-57.93909,-229.9147,-2.712117E-08,-2.928032E-08,-1.288779E-07,1,1,0.1399539,0.3139329,-0.046845,0.9379044,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.549,-73.43461,-57.93909,-229.9147,-7.24918E-09,1.279016E-08,-1.312014E-07,1,1,0.1400696,0.3153618,-0.04712278,0.9373937,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.6,-73.43461,-57.93909,-229.9147,2.524233E-08,1.212134E-07,-1.138128E-07,1,1,0.1401563,0.3164487,-0.04733415,0.9370037,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.65,-73.43461,-57.93909,-229.9147,5.411347E-08,1.447278E-07,-1.304632E-07,1,1,0.1402217,0.3172769,-0.0474953,0.9367056,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.7,-73.43461,-57.93909,-229.9147,8.036766E-08,1.236911E-07,-1.470493E-07,1,1,0.1402714,0.31791,-0.04761855,0.9364772,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.75,-73.43461,-57.93909,-229.9147,1.200486E-07,2.354348E-07,-1.119319E-07,1,1,0.1403085,0.3183954,-0.04771278,0.936302,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.8,-73.43461,-57.93909,-229.9147,1.619385E-07,2.359887E-07,-1.411014E-07,1,1,0.1403388,0.3187733,-0.04778672,0.9361651,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.85,-73.43461,-57.93909,-229.9147,1.333716E-07,1.420665E-07,-1.322343E-07,1,1,0.1403622,0.3190616,-0.04784329,0.9360604,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.899,-73.43461,-57.93909,-229.9147,1.120815E-07,2.711302E-08,-1.531959E-07,1,1,0.14038,0.3192847,-0.04788693,0.9359795,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8161.949,-73.43461,-57.93909,-229.9147,7.067294E-08,-6.66357E-08,-1.438901E-07,1,1,0.1403932,0.3194551,-0.04792015,0.9359177,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8162,-73.43461,-57.93909,-229.9147,5.897393E-08,-4.447158E-08,-1.21351E-07,1,1,0.1404047,0.3195885,-0.04794658,0.935869,0,0,0,0,5.228672,0.8445826,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
