2,7,Quarto219S2-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
3975.99,-73.42165,-58.0925,-228.9782,0,0,0,1,1,0.1353698,0.2681179,-0.03808239,0.9530674,0,0,0,0,3.45885,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0.03594557,-0.03025001,0.417852,1.485097E-09,-9.06684E-09,2.167224E-09,1,1,9.898163E-07,-6.043002E-06,1.444473E-06,1,1,1,0,0,0,0,0,0,1,1,-0.04928945,-0.0607902,-0.007829453,0.9969018
3976.039,-73.42165,-58.0925,-228.9782,-5.910715E-09,-4.245977E-08,-2.618647E-08,1,1,0.135054,0.2679726,-0.03796933,0.9531576,0,0,0,0,4.452971,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,8.545644E-10,-2.812824E-08,-1.668701E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-6.765279E-09,-1.433151E-08,-9.49946E-09,0.9999999,1,0,0,0,1
3976.089,-73.42165,-58.0925,-228.9782,5.344112E-09,1.045063E-08,-1.638903E-08,1,1,0.1351721,0.2680264,-0.03801152,0.953124,0,0,0,0,4.467978,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,5.363678E-09,2.562715E-08,6.678965E-09,1,1,0,0,0,1,1,1,0,0,0,5.891149E-09,2.728324E-08,3.118483E-09,1,1,0,0,0,1
3976.139,-73.42165,-58.0925,-228.9782,-9.180522E-08,-1.53195E-07,-5.259896E-08,1,1,0.1352889,0.2680796,-0.03805325,0.9530908,0,0,0,0,4.468069,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-4.618229E-08,-9.01514E-08,-2.025704E-08,1,1,0,0,0,1,1,1,0,0,0,-5.096703E-08,-7.349424E-08,-1.595289E-08,1,1,0,0,0,1
3976.189,-73.42165,-58.0925,-228.9782,-6.521807E-08,-2.726652E-07,-9.806028E-08,1,1,0.1353693,0.2681169,-0.03808208,0.9530678,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,1.705208E-08,-4.793734E-08,-2.405046E-08,1,1,0,0,0,1,1,1,0,0,0,9.535073E-09,-7.153272E-08,-2.141083E-08,1,1,0,0,0,1
3976.239,-73.42165,-58.0925,-228.9782,-3.765833E-08,-1.750923E-07,-1.226294E-07,1,1,0.135421,0.2681406,-0.03810057,0.9530531,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,1.492364E-08,2.11207E-08,-1.571607E-08,1,1,0,0,0,1,1,1,0,0,0,2.589771E-08,6.848565E-08,-1.616203E-08,1,1,0,0,0,1
3976.289,-73.42165,-58.0925,-228.9782,-1.503518E-08,-2.522013E-07,-1.53465E-07,1,1,0.135453,0.268155,-0.03811198,0.953044,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,7.771926E-09,-2.306975E-08,-1.120224E-08,1,1,0,0,0,1,1,1,0,0,0,1.58962E-09,-4.607251E-08,-1.232426E-08,1,1,0,0,0,1
3976.348,-73.42165,-58.0925,-228.9782,5.56672E-08,-2.757018E-07,-2.108381E-07,1,1,0.1354729,0.2681649,-0.03811924,0.9530382,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,2.572036E-08,-1.26408E-08,-2.478893E-08,1,1,0,0,0,1,1,1,0,0,0,4.4982E-08,-1.08596E-08,-3.25842E-08,1,1,0,0,0,1
3976.397,-73.42165,-58.0925,-228.9782,3.706286E-08,-3.243878E-07,-1.978487E-07,1,1,0.1354851,0.2681704,-0.03812357,0.9530346,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-1.084507E-08,-1.434775E-08,1.047712E-08,1,1,0,0,0,1,1,1,0,0,0,-7.75929E-09,-3.433827E-08,2.512319E-09,1,1,0,0,0,1
3976.475,-73.42165,-58.0925,-228.9782,-1.472029E-08,-6.044212E-07,-2.415765E-07,1,1,0.1354923,0.268174,-0.03812621,0.9530325,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-2.892649E-08,-1.495456E-07,-2.170966E-08,1,1,0,0,0,1,1,1,0,0,0,-2.285669E-08,-1.304876E-07,-2.201808E-08,1,1,0,0,0,1
3976.517,-73.42165,-58.0925,-228.9782,-1.446793E-08,-5.722342E-07,-2.320788E-07,1,1,0.1354963,0.2681767,-0.03812777,0.9530311,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,1.261746E-10,1.609356E-08,4.748822E-09,1,1,0,0,0,1,1,1,0,0,0,1.261746E-10,1.609356E-08,4.748822E-09,1,1,0,0,0,1
3976.566,-73.42165,-58.0925,-228.9782,4.982444E-08,-5.854923E-07,-2.638086E-07,1,1,0.1354987,0.268177,-0.03812852,0.9530306,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,3.186249E-08,6.756748E-09,-8.546618E-09,1,1,0,0,0,1,1,1,0,0,0,3.242987E-08,-2.001469E-08,-2.318303E-08,1,1,0,0,0,1
3976.616,-73.42165,-58.0925,-228.9782,6.592192E-08,-5.562962E-07,-2.616484E-07,1,1,0.1355002,0.2681774,-0.03812899,0.9530303,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,5.055262E-09,4.201369E-09,-1.458769E-09,1,1,0,0,0,1,1,1,0,0,0,1.104222E-08,2.499467E-08,3.618961E-09,1,1,0,0,0,1
3976.67,-73.42165,-58.0925,-228.9782,1.253401E-08,-5.550627E-07,-2.664021E-07,1,1,0.1355013,0.2681781,-0.03812941,0.9530299,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-2.365895E-08,-1.682713E-09,-6.108905E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.972893E-08,2.916372E-09,1.35516E-09,0.9999999,1,0,0,0,1
3976.724,-73.42165,-58.0925,-228.9782,-2.38591E-08,-6.555733E-07,-2.80116E-07,1,1,0.1355022,0.2681782,-0.0381297,0.9530298,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-2.059825E-08,-5.365027E-08,-7.095432E-09,1,1,0,0,0,1,1,1,0,0,0,-1.579489E-08,-4.686038E-08,-6.61852E-09,1,1,0,0,0,1
3976.774,-73.42165,-58.0925,-228.9782,-5.385271E-08,-6.40308E-07,-2.398808E-07,1,1,0.1355028,0.2681794,-0.03813006,0.9530293,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,-1.551205E-08,-5.125408E-09,9.095243E-09,1,1,0,0,0,1,1,1,0,0,0,-1.448153E-08,2.039071E-08,3.114009E-08,1,1,0,0,0,1
3976.824,-73.42165,-58.0925,-228.9782,-1.774784E-08,-6.83818E-07,-2.832607E-07,1,1,0.1355032,0.2681802,-0.03813029,0.953029,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,4.898365E-08,5.716228E-09,-2.568687E-08,1,1,0,0,0,1,1,1,0,0,0,-1.287875E-08,-4.922631E-08,-1.769291E-08,1,1,0,0,0,1
3976.874,-73.42165,-58.0925,-228.9782,6.810996E-10,-7.185149E-07,-3.001703E-07,1,1,0.1355032,0.2681795,-0.03813018,0.9530293,0,0,0,0,4.46807,0.1384918,7.067364,5.972133,1.558458,0.4332849,1.771302,0,1,0,0,0,9.125797E-09,-2.59708E-08,-2.212161E-08,1,1,0,0,0,1,1,1,0,0,0,9.303159E-09,-8.726015E-09,5.211945E-09,1,1,0,0,0,1
