2,3,Rafa-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
220.6143,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.20576E-08,-4.134256E-09,-1.036435E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
220.6613,0.977,-0.187,-1.75,1.492798E-08,1.208242E-08,3.671827E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.584007E-09,9.486431E-09,2.699609E-09,1,1,0,0,0,1,1,1,0,0,0,5.454391E-09,6.73026E-09,2.008652E-09,1,1,0,0,0,1
220.7112,0.977,-0.187,-1.75,2.807873E-08,4.401073E-09,1.20653E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0,0,0,1,0,0,0,4.916506E-09,8.629129E-09,7.915577E-09,1,1,0,0,0,1,1,1,0,0,0,8.234242E-09,-1.631048E-08,4.778926E-10,1,1,0,0,0,1
220.7603,0.977,-0.187,-1.75,-4.418646E-08,-2.783064E-09,1.889593E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0,0,0,1,0,0,0,-3.691098E-08,-1.011296E-08,-4.247183E-09,1,1,0,0,0,1,1,1,0,0,0,-3.535422E-08,2.928822E-09,1.107782E-08,1,1,0,0,0,1
220.809,0.977,-0.187,-1.75,1.177793E-08,2.727698E-08,6.4127E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0,0,0,1,0,0,0,2.79822E-08,1.503002E-08,-6.241615E-09,1,1,0,0,0,1,1,1,0,0,0,2.79822E-08,1.503002E-08,-6.241615E-09,1,1,0,0,0,1
220.8592,0.977,-0.187,-1.75,4.492822E-08,1.365607E-08,7.473807E-09,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.347745E-08,6.149079E-09,2.537626E-09,1,1,0,0,0,1,1,1,0,0,0,-3.271631E-10,-1.977E-08,-1.476517E-09,1,1,0,0,0,1
220.9092,0.977,-0.187,-1.75,6.806568E-08,-4.364081E-08,-6.914207E-09,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.897995E-08,-3.141262E-08,-9.251557E-09,1,1,0,0,0,1,1,1,0,0,0,4.157517E-09,-2.588425E-08,-5.136461E-09,1,1,0,0,0,1
220.9589,0.977,-0.187,-1.75,8.938041E-08,6.783578E-09,2.010456E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.131471E-08,5.042439E-08,2.701877E-08,1,1,0,0,0,1
221.0095,0.977,-0.187,-1.75,3.11652E-08,-5.348528E-09,3.279979E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0,0,0,1,0,0,0,-4.83487E-08,-1.005994E-08,1.342092E-08,1,1,0,0,0,1,1,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1
221.0592,0.977,-0.187,-1.75,2.343732E-08,1.87018E-08,4.235795E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0,0,0,1,0,0,0,-2.741582E-08,1.089907E-08,7.948438E-09,1,1,0,0,0,1,1,1,0,0,0,1.968793E-08,1.315125E-08,1.609728E-09,1,1,0,0,0,1
221.1092,0.977,-0.187,-1.75,5.615196E-08,3.335236E-08,4.436884E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.271465E-08,1.465055E-08,2.010891E-09,1,1,0,0,0,1
221.16,0.977,-0.187,-1.75,1.134264E-07,3.181507E-08,4.408911E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.654817E-08,-9.704739E-09,1.356031E-09,1,1,0,0,0,1,1,1,0,0,0,4.072625E-08,8.167452E-09,-1.635764E-09,1,1,0,0,0,1
221.2089,0.977,-0.187,-1.75,1.044166E-07,2.883541E-08,4.669572E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-9.009725E-09,-2.979659E-09,2.606605E-09,1,1,0,0,0,1
221.2616,0.977,-0.187,-1.75,9.353316E-09,-3.216304E-08,6.480505E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0,0,0,1,0,0,0,-1.038016E-07,-3.496642E-08,1.648023E-08,1,1,0,0,0,1,1,1,0,0,0,8.738255E-09,-2.603204E-08,1.629119E-09,1,1,0,0,0,1
221.3096,0.977,-0.187,-1.75,1.865112E-08,-3.048442E-08,5.473518E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0,0,0,1,0,0,0,9.147592E-10,1.727791E-08,-4.190879E-09,0.9999997,1,0,0,0,1,1,1,0,0,0,8.383044E-09,-1.559929E-08,-5.878969E-09,1,1,0,0,0,1
221.3616,0.977,-0.187,-1.75,3.161844E-08,-9.377839E-09,5.672386E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.29673E-08,2.110659E-08,1.98868E-09,1,1,0,0,0,1
221.4091,0.977,-0.187,-1.75,8.028917E-08,3.487083E-08,7.039483E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0,0,0,1,0,0,0,3.589052E-08,3.250231E-08,9.9728E-09,1,1,0,0,0,1,1,1,0,0,0,1.278019E-08,1.174637E-08,3.698204E-09,1,1,0,0,0,1
221.4598,0.977,-0.187,-1.75,9.80289E-08,4.79396E-08,7.271851E-08,1,1,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.773972E-08,1.306877E-08,2.323678E-09,1,1,0,0,0,1
221.5098,0.977,-0.187,-1.75,9.80289E-08,4.79396E-08,7.271851E-08,1,1,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.5595,0.977,-0.187,-1.75,2.682269E-07,8.931151E-08,8.78355E-08,1,1,0.1635913,0.08044755,-0.01338605,0.9831516,0,0,0,0,3.331396,0,0,0,1,0,0,0,1.701979E-07,4.137181E-08,1.511703E-08,0.9999986,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.609,0.977,-0.187,-1.75,3.825217E-07,6.069065E-08,9.40138E-08,1,1,0.1635914,0.08044766,-0.01338608,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,4.808422E-08,-1.721012E-08,-5.707092E-09,1,1,0,0,0,1,1,1,0,0,0,6.621067E-08,-1.141075E-08,1.188527E-08,1,1,0,0,0,1
221.6595,0.977,-0.187,-1.75,3.416715E-07,2.389377E-08,9.082697E-08,1,1,0.1635914,0.08044773,-0.01338609,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-4.085014E-08,-3.679687E-08,-3.186873E-09,1,1,0,0,0,1
221.7103,0.977,-0.187,-1.75,1.456871E-07,-5.63893E-08,9.04021E-08,1,1,0.1635914,0.08044779,-0.0133861,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-1.959845E-07,-8.02831E-08,-4.249882E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.7605,0.977,-0.187,-1.75,8.123428E-08,-5.117611E-08,1.026974E-07,1,1,0.1635914,0.08044782,-0.01338611,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-6.445286E-08,5.213181E-09,1.229531E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.809,0.977,-0.187,-1.75,-2.800279E-07,-1.546319E-07,1.171564E-07,1,1,0.1635914,0.08044785,-0.01338611,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,5.943886E-09,2.348893E-08,2.991526E-09,1,1,0,0,0,1,1,1,0,0,0,-3.67206E-07,-1.26945E-07,1.14672E-08,1,1,0,0,0,1
221.8614,0.977,-0.187,-1.75,-3.366016E-07,-1.652289E-07,1.314658E-07,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.65736E-08,-1.059699E-08,1.430935E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.9097,0.977,-0.187,-1.75,-4.036905E-07,-1.801616E-07,1.358616E-07,1,1,0.1635914,0.08044787,-0.01338612,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-6.708883E-08,-1.493275E-08,4.395791E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
221.9592,0.977,-0.187,-1.75,-6.238675E-07,-1.668391E-07,1.941451E-07,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-6.392236E-08,3.86777E-09,1.6921E-08,1,1,0,0,0,1,1,1,0,0,0,-1.562547E-07,9.454548E-09,4.136244E-08,1,1,0,0,0,1
222.0097,0.977,-0.187,-1.75,-7.224782E-07,-1.811736E-07,2.154509E-07,1,1,0.1635914,0.08044788,-0.01338612,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,-5.357835E-08,7.442048E-09,1.818264E-08,1,1,0,0,0,1,1,1,0,0,0,-4.503234E-08,-2.177657E-08,3.123135E-09,1,1,0,0,0,1
222.0598,0.977,-0.187,-1.75,-6.581723E-07,-1.878552E-07,2.066961E-07,1,1,0.1635914,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,6.430582E-08,-6.681651E-09,-8.754776E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
222.1113,0.977,-0.187,-1.75,-6.625554E-07,-2.738948E-07,2.019729E-07,1,1,0.1635913,0.08044788,-0.01338611,0.9831515,0,0,0,0,3.331396,0,0,0,1,0,0,0,7.842988E-10,-2.275996E-08,-1.356591E-09,1,1,0,0,0,1,1,1,0,0,0,-5.167588E-09,-6.327969E-08,-3.366746E-09,1,1,0,0,0,1
