2,7,Regis-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
5030.611,-73.10927,-58.11131,-229.0193,0,0,0,1,1,0.1354261,0.2689472,-0.03822596,0.9528201,0,0,0,0,3.45885,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-2.532067E-05,-0.0003072707,1.807342E-06,1,1,0,0,0,1,1,1,1.151229,-0.02755928,-0.3991111,-2.468291E-05,-0.0002995289,1.761775E-06,1,1,0,0,0,1
5030.662,-72.50287,-58.14784,-229.0993,-6.304797E-08,-4.95799E-08,-1.571179E-08,1,1,0.134537,0.2776759,-0.03930752,0.9503951,0,0,0,0,4.565573,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-2.828013E-08,-1.903565E-08,-7.178767E-09,1,1,0,0,0,1,1,1,0,0,0,-3.476784E-08,-3.054425E-08,-8.533023E-09,1,1,0,0,0,1
5030.711,-72.40096,-58.15397,-229.1127,-1.082361E-07,-1.804421E-07,-2.931269E-08,1,1,0.1333989,0.288166,-0.04057637,0.9473746,0,0,0,0,4.670962,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-2.756954E-08,-6.418004E-08,-8.432112E-09,1,1,0,0,0,1,1,1,0,0,0,-1.761858E-08,-6.668211E-08,-5.168764E-09,1,1,0,0,0,1
5030.761,-72.38382,-58.155,-229.1149,-1.111655E-07,-2.817491E-07,-5.704681E-08,1,1,0.1322562,0.2980411,-0.04173734,0.9444246,0,0,0,0,4.700429,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,1.200143E-09,-4.321782E-08,-1.207568E-08,1,1,0,0,0,1,1,1,0,0,0,-4.129545E-09,-5.808914E-08,-1.56584E-08,1,1,0,0,0,1
5030.811,-72.38094,-58.15517,-229.1153,-4.348862E-08,-1.529258E-07,-2.315742E-08,1,1,0.131185,0.3068088,-0.04273966,0.9417177,0,0,0,0,4.707596,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,3.409507E-08,5.352663E-08,1.541841E-08,1,1,0,0,0,1,1,1,0,0,0,3.358183E-08,7.529682E-08,1.847103E-08,1,1,0,0,0,1
5030.861,-72.38046,-58.1552,-229.1154,3.342618E-08,3.567301E-08,-3.046572E-08,1,1,0.1302278,0.3143072,-0.04357494,0.9393365,0,0,0,0,4.709153,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,4.910284E-08,1.069055E-07,-6.683018E-09,1,1,0,0,0,1,1,1,0,0,0,3.657361E-08,8.59005E-08,-8.442292E-09,1,1,0,0,0,1
5030.912,-72.38037,-58.1552,-229.1154,3.576174E-08,9.771858E-08,-2.817548E-08,1,1,0.1294061,0.3205154,-0.04425032,0.9373184,0,0,0,0,4.709485,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-3.21305E-09,2.891913E-08,5.053643E-09,1,1,0,0,0,1,1,1,0,0,0,-3.21305E-09,2.891913E-08,5.053643E-09,1,1,0,0,0,1
5030.961,-72.38036,-58.1552,-229.1154,-2.702153E-08,3.51001E-08,-1.079174E-08,1,1,0.1287251,0.3255136,-0.04478299,0.935663,0,0,0,0,4.709528,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-2.908951E-08,-3.39879E-08,5.73103E-09,1,1,0,0,0,1,1,1,0,0,0,-3.369374E-08,-2.863057E-08,1.165272E-08,1,1,0,0,0,1
5031.011,-72.38036,-58.1552,-229.1154,2.677932E-09,1.111004E-08,-3.864458E-08,1,1,0.128177,0.3294557,-0.04519633,0.9343377,0,0,0,0,4.709536,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,1.124847E-08,-2.219079E-08,-1.643955E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,1.8451E-08,-1.799279E-09,-1.141328E-08,0.9999999,1,0,0,0,1
5031.061,-72.38036,-58.1552,-229.1154,-3.618126E-08,5.406275E-08,7.68515E-09,1,1,0.1277437,0.3325193,-0.04551315,0.9332958,0,0,0,0,4.709536,0.1226884,5.84527,5.855828,1.631735,0.3032152,0.7651507,0,1,0,0,0,-1.409172E-08,3.437665E-08,2.657474E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.476746E-08,8.576038E-09,1.9755E-08,0.9999999,1,0,0,0,1
