3,3,Ricardo-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1428.508,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.024504E-07,-4.664598E-08,1.099447E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.557,0.977,-0.187,-1.75,5.901354E-08,2.016668E-08,-1.682555E-08,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.950676E-08,1.008334E-08,-8.412778E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.606,0.977,-0.187,-1.75,9.890856E-08,5.132534E-08,1.212769E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-4.659218E-08,1.390747E-08,1.621554E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.657,0.977,-0.187,-1.75,8.361866E-08,2.730189E-08,-2.607812E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.553964E-08,-1.28723E-08,-1.192929E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.709,0.977,-0.187,-1.75,1.254562E-07,6.076321E-08,1.603232E-09,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.168474E-08,1.805785E-08,1.675428E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.755,0.977,-0.187,-1.75,6.534601E-08,2.037767E-08,-1.743961E-09,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.874275E-08,-2.200641E-08,1.068135E-11,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.806,0.977,-0.187,-1.75,9.254092E-08,-1.990295E-08,-1.79513E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.856,0.977,-0.187,-1.75,1.362046E-07,5.691745E-08,3.028026E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.172632E-08,3.388859E-08,2.356458E-08,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.907,0.977,-0.187,-1.75,1.164716E-07,5.277312E-08,2.882889E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
1428.957,0.977,-0.187,-1.75,1.662992E-07,8.188235E-08,3.630931E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,2.84853,0.07204386,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,9.552652E-09,1.368414E-08,3.328549E-09,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
