2,3,Roberto-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
720.5431,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-8.676447E-08,-1.999114E-08,4.711916E-09,1,1,0,0,0,1,1,1,0,0,0,-1.590682E-07,-3.665042E-08,8.638513E-09,1,1,0,0,0,1
720.596,0.977,-0.187,-1.75,3.887101E-08,3.357657E-09,-6.128546E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.649857E-08,1.274422E-09,-2.330878E-09,1,1,0,0,0,1,1,1,0,0,0,1.237244E-08,2.083238E-09,-3.797667E-09,1,1,0,0,0,1
720.6449,0.977,-0.187,-1.75,6.170519E-08,3.870019E-08,9.141012E-09,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.520741E-08,1.5227E-08,5.711321E-09,1,1,0,0,0,1,1,1,0,0,0,-2.373234E-09,2.011553E-08,9.558233E-09,1,1,0,0,0,1
720.6935,0.977,-0.187,-1.75,-2.223799E-08,6.199926E-09,-1.720993E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-3.264456E-08,-1.263899E-08,-1.024759E-08,1,1,0,0,0,1,1,1,0,0,0,-5.12986E-08,-1.986127E-08,-1.610335E-08,1,1,0,0,0,1
720.7451,0.977,-0.187,-1.75,2.68934E-07,1.271516E-07,-2.734717E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.043793E-07,8.424447E-08,-2.951706E-09,1,1,0,0,0,1,1,1,0,0,0,8.679256E-08,3.670715E-08,-7.185561E-09,1,1,0,0,0,1
720.7938,0.977,-0.187,-1.75,3.245422E-07,1.064384E-07,-3.251642E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.655679E-08,-3.22348E-08,-9.248277E-09,1,1,0,0,0,1,1,1,0,0,0,2.905132E-08,1.152155E-08,4.079006E-09,1,1,0,0,0,1
720.8447,0.977,-0.187,-1.75,3.172407E-07,4.558961E-08,-4.493152E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.277594E-08,-3.769514E-08,-1.110187E-08,1,1,0,0,0,1,1,1,0,0,0,-3.007739E-08,-2.315362E-08,-1.313259E-09,1,1,0,0,0,1
720.8922,0.977,-0.187,-1.75,3.634592E-07,5.403763E-08,-4.80859E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,3.184451E-08,1.655121E-08,2.947841E-09,1,1,0,0,0,1,1,1,0,0,0,1.437392E-08,-8.103199E-09,-6.102215E-09,0.9999999,1,0,0,0,1
720.9428,0.977,-0.187,-1.75,3.586301E-07,7.653446E-08,-4.616325E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-4.366341E-08,-2.105602E-09,2.859604E-09,1,1,0,0,0,1,1,1,0,0,0,3.883425E-08,2.460242E-08,-9.369588E-10,1,1,0,0,0,1
720.9929,0.977,-0.187,-1.75,3.716616E-07,1.038442E-07,-4.435128E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-2.419086E-08,1.833457E-08,1.012811E-08,1,1,0,0,0,1,1,1,0,0,0,3.72225E-08,8.975122E-09,-8.316121E-09,1,1,0,0,0,1
721.0427,0.977,-0.187,-1.75,4.118129E-07,1.2473E-07,-4.335941E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.126487E-09,1.057949E-08,1.036294E-09,1,1,0,0,0,1,1,1,0,0,0,3.902488E-08,1.030627E-08,-4.442544E-11,1,1,0,0,0,1
721.0928,0.977,-0.187,-1.75,4.490945E-07,1.067204E-07,-4.303972E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.121747E-08,-3.671109E-08,-6.190496E-09,1,1,0,0,0,1,1,1,0,0,0,1.606423E-08,1.870149E-08,6.510188E-09,1,1,0,0,0,1
721.1424,0.977,-0.187,-1.75,4.791444E-07,1.100337E-07,-3.92005E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,8.605834E-10,8.734653E-10,1.542521E-09,1,1,0,0,0,1,1,1,0,0,0,2.918944E-08,2.439843E-09,2.296704E-09,1,1,0,0,0,1
721.1927,0.977,-0.187,-1.75,4.597746E-07,8.24189E-08,-3.296439E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-3.31094E-08,-9.788566E-09,7.003309E-09,1,1,0,0,0,1,1,1,0,0,0,1.373966E-08,-1.782626E-08,-7.672047E-10,1,1,0,0,0,1
721.2445,0.977,-0.187,-1.75,5.342887E-07,1.202699E-07,-3.201031E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,6.102684E-08,4.679901E-08,6.787315E-09,1,1,0,0,0,1,1,1,0,0,0,1.348707E-08,-8.948052E-09,-5.83322E-09,1,1,0,0,0,1
721.2925,0.977,-0.187,-1.75,6.219854E-07,1.356478E-07,-4.269386E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,4.395703E-08,6.772876E-09,-5.572812E-09,1,1,0,0,0,1,1,1,0,0,0,4.373938E-08,8.604946E-09,-5.110783E-09,1,1,0,0,0,1
721.3446,0.977,-0.187,-1.75,6.157211E-07,1.331678E-07,-4.354267E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-1.904454E-08,-1.422634E-08,-4.546993E-09,1,1,0,0,0,1,1,1,0,0,0,1.278019E-08,1.174637E-08,3.698204E-09,1,1,0,0,0,1
721.393,0.977,-0.187,-1.75,5.496336E-07,1.196785E-07,-3.220427E-08,1,1,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-3.138975E-08,-1.915746E-08,1.476744E-09,1,1,0,0,0,1,1,1,0,0,0,-3.469767E-08,5.668139E-09,9.861648E-09,1,1,0,0,0,1
721.4426,0.977,-0.187,-1.75,5.327205E-07,1.258168E-07,-3.592938E-08,1,1,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.370407E-09,3.081318E-09,-4.492447E-09,1,1,0,0,0,1,1,1,0,0,0,-1.928344E-08,3.056938E-09,7.673612E-10,1,1,0,0,0,1
