2,3,Rohit-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
436.2664,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0.08515357,0.2290063,-0.5018782,-6.502288E-05,7.179151E-05,-3.582539E-05,1,1,0,0,0,1,1,1,-0.04594669,-0.07919843,-0.03851508,-6.080755E-05,6.709265E-05,-3.347633E-05,1,1,0,0,0,1
436.3103,0.977,-0.187,-1.75,5.852435E-09,-5.620193E-09,-2.839383E-09,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.32663E-08,1.295636E-08,-6.62265E-09,1,1,0,0,0,1,1,1,0,0,0,-2.365433E-08,-1.570353E-08,5.573392E-09,0.9999997,1,0,0,0,1
436.3595,0.977,-0.187,-1.75,1.627028E-08,4.330115E-08,2.143974E-08,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.277561E-08,2.631687E-08,1.186594E-08,1,1,0,0,0,1,1,1,0,0,0,1.012316E-08,1.685841E-08,8.83291E-09,1,1,0,0,0,1
436.4085,0.977,-0.187,-1.75,2.15374E-09,5.780148E-08,3.407831E-08,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-2.701917E-08,4.744379E-09,9.811187E-09,1,1,0,0,0,1,1,1,0,0,0,1.290263E-08,9.755954E-09,2.827389E-09,1,1,0,0,0,1
436.4587,0.977,-0.187,-1.75,7.466362E-08,8.682074E-08,3.165E-08,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.411406E-08,5.001792E-09,-6.434001E-10,1,1,0,0,0,1,1,1,0,0,0,5.839579E-08,2.401744E-08,-1.784911E-09,1,1,0,0,0,1
436.5089,0.977,-0.187,-1.75,5.614934E-08,8.608999E-08,2.74746E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-1.58061E-08,8.589968E-09,3.115665E-09,1,1,0,0,0,1,1,1,0,0,0,-2.708167E-09,-9.320726E-09,-7.291076E-09,1,1,0,0,0,1
436.5601,0.977,-0.187,-1.75,3.749351E-08,5.989378E-08,2.114793E-08,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.664782E-08,-3.246796E-08,-9.380656E-09,1,1,0,0,0,1,1,1,0,0,0,-3.530365E-08,6.271754E-09,3.053998E-09,1,1,0,0,0,1
436.6097,0.977,-0.187,-1.75,2.917039E-08,9.504041E-08,6.211925E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,2.942514E-08,3.872864E-08,2.732209E-08,1,1,0,0,0,1,1,1,0,0,0,-3.774823E-08,-3.582061E-09,1.364922E-08,0.9999997,1,0,0,0,1
436.6605,0.977,-0.187,-1.75,5.594518E-08,1.072311E-07,6.983927E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.36813E-08,6.270916E-09,3.964326E-09,1,1,0,0,0,1,1,1,0,0,0,1.30935E-08,5.919745E-09,3.755678E-09,1,1,0,0,0,1
436.7094,0.977,-0.187,-1.75,3.450938E-08,1.36731E-07,8.337165E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.968793E-08,1.315125E-08,1.609728E-09,1,1,0,0,0,1,1,1,0,0,0,-4.112373E-08,1.63486E-08,1.192266E-08,1,1,0,0,0,1
436.759,0.977,-0.187,-1.75,5.504812E-08,1.477659E-07,9.043272E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.065827E-08,1.048374E-08,8.639106E-09,1,1,0,0,0,1,1,1,0,0,0,9.880452E-09,5.511387E-10,-1.578058E-09,1,1,0,0,0,1
436.8094,0.977,-0.187,-1.75,1.117677E-07,1.404423E-07,8.433375E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,4.216942E-08,-2.496266E-09,-5.756031E-09,1,1,0,0,0,1,1,1,0,0,0,1.455013E-08,-4.827289E-09,-3.429611E-10,1,1,0,0,0,1
436.8596,0.977,-0.187,-1.75,1.085677E-07,1.354863E-07,8.578273E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,-3.199916E-09,-4.956054E-09,1.448981E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
436.91,0.977,-0.187,-1.75,5.166759E-08,5.570879E-08,8.748327E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.334759E-10,-2.057641E-08,5.934114E-10,1,1,0,0,0,1,1,1,0,0,0,-5.703357E-08,-5.920111E-08,1.107068E-09,1,1,0,0,0,1
436.9594,0.977,-0.187,-1.75,8.514294E-08,4.186404E-08,7.488275E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.348707E-08,-8.948052E-09,-5.83322E-09,1,1,0,0,0,1,1,1,0,0,0,1.998827E-08,-4.896694E-09,-6.767298E-09,1,1,0,0,0,1
437.0091,0.977,-0.187,-1.75,1.42285E-07,6.791146E-08,7.083658E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.29673E-08,2.110659E-08,1.98868E-09,1,1,0,0,0,1,1,1,0,0,0,4.417468E-08,4.940807E-09,-6.034841E-09,1,1,0,0,0,1
437.059,0.977,-0.187,-1.75,1.360207E-07,6.543149E-08,6.998778E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0.2525562,0.2000836,0,1,0,0,0,1.278019E-08,1.174637E-08,3.698204E-09,1,1,0,0,0,1,1,1,0,0,0,-1.904454E-08,-1.422634E-08,-4.546993E-09,1,1,0,0,0,1
