2,7,S2 S2-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
518.6153,-73.53542,-58.15765,-228.9776,0,0,0,1,1,0.1357148,0.26791,-0.03814955,0.9530742,0,0,0,0,3.45885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.3791984,-0.2171547,0.002077637,0,0,0,1,1,0,0,0,1
518.663,-73.75623,-58.2841,-228.9763,2.076378E-08,1.259548E-07,2.685937E-08,1,1,0.138158,0.2648262,-0.0383691,0.953576,0,0,0,0,4.455441,0,0,0,0,0,0,0,1,0,0,0,1.295302E-08,7.127931E-08,1.251582E-08,1,1,0,0,0,1,1,1,0,0,0,7.810747E-09,5.46754E-08,1.434355E-08,1,1,0,0,0,1
518.713,-73.79335,-58.30535,-228.9761,6.746306E-08,1.656762E-07,4.200827E-08,1,1,0.1411633,0.2610102,-0.03861446,0.954178,0,0,0,0,4.477554,0,0,0,0,0,0,0,1,0,0,0,1.978059E-08,1.953693E-08,8.780283E-09,1,1,0,0,0,1,1,1,0,0,0,2.691868E-08,2.018447E-08,6.368595E-09,1,1,0,0,0,1
518.764,-73.79958,-58.30892,-228.9761,3.775376E-08,1.31793E-07,3.194936E-08,1,1,0.1440622,0.2573124,-0.03882624,0.9547403,0,0,0,0,4.480384,0,0,0,0,0,0,0,1,0,0,0,-9.242411E-09,-7.32155E-09,-8.193363E-09,1,1,0,0,0,1,1,1,0,0,0,-2.046692E-08,-2.656167E-08,-1.865563E-09,1,1,0,0,0,1
518.8132,-73.80064,-58.30952,-228.9761,3.620169E-08,4.907276E-08,1.926687E-08,1,1,0.1466842,0.2539511,-0.03899631,0.9552339,0,0,0,0,4.481088,0,0,0,0,0,0,0,1,0,0,0,-1.722448E-09,-5.566358E-08,-5.869714E-09,1,1,0,0,0,1,1,1,0,0,0,1.703769E-10,-2.705669E-08,-6.812795E-09,1,1,0,0,0,1
518.8639,-73.80081,-58.30963,-228.9761,3.543841E-08,3.254308E-08,4.091876E-08,1,1,0.1489562,0.2510238,-0.03912679,0.9556507,0,0,0,0,4.481248,0,0,0,0,0,0,0,1,0,0,0,-3.055562E-09,-2.070836E-08,1.681858E-08,1,1,0,0,0,1,1,1,0,0,0,2.292269E-09,4.178676E-09,4.833296E-09,1,1,0,0,0,1
518.9131,-73.80083,-58.30965,-228.9761,1.096769E-07,3.283693E-08,1.444197E-08,1,1,0.1508508,0.2485707,-0.03922327,0.9559907,0,0,0,0,4.481281,0,0,0,0,0,0,0,1,0,0,0,3.975247E-08,1.278415E-08,-6.316733E-09,1,1,0,0,0,1,1,1,0,0,0,3.548596E-08,-5.297689E-09,-1.961724E-08,1,1,0,0,0,1
518.964,-73.80083,-58.30965,-228.9761,1.197636E-07,-2.447088E-08,3.903704E-09,1,1,0.1523815,0.2465851,-0.03929374,0.9562593,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,1.136891E-08,-2.681037E-08,-5.884893E-09,1,1,0,0,0,1,1,1,0,0,0,-2.282153E-09,-3.769004E-08,-5.196207E-09,1,1,0,0,0,1
519.0136,-73.80083,-58.30965,-228.9761,1.049106E-07,1.499379E-08,2.333376E-08,1,1,0.1535896,0.245012,-0.039344,0.9564682,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-6.548853E-09,2.466167E-08,9.823427E-09,1,1,0,0,0,1,1,1,0,0,0,-8.304093E-09,1.480299E-08,9.60663E-09,1,1,0,0,0,1
519.0631,-73.80083,-58.30965,-228.9761,6.567404E-08,-5.615684E-08,4.519408E-08,1,1,0.1545269,0.2437902,-0.03938014,0.956628,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-1.907144E-08,-3.286873E-08,1.033147E-08,1,1,0,0,0,1,1,1,0,0,0,-2.016515E-08,-3.828191E-08,1.152883E-08,1,1,0,0,0,1
519.113,-73.80083,-58.30965,-228.9761,9.451724E-08,-2.762603E-09,5.858892E-08,1,1,0.1552472,0.2428466,-0.03940554,0.9567503,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,2.832861E-08,4.752892E-08,4.05994E-09,1,1,0,0,0,1,1,1,0,0,0,5.145642E-10,5.865338E-09,9.334897E-09,1,1,0,0,0,1
519.1638,-73.80083,-58.30965,-228.9761,1.020356E-07,2.253777E-08,9.783631E-08,1,1,0.1558006,0.2421289,-0.03942538,0.9568414,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,4.114127E-10,9.533474E-09,2.102889E-08,1,1,0,0,0,1,1,1,0,0,0,7.106976E-09,1.576688E-08,1.821849E-08,1,1,0,0,0,1
519.214,-73.80083,-58.30965,-228.9761,8.059908E-08,8.890875E-08,1.382749E-07,1,1,0.1562226,0.2415808,-0.03943982,0.9569106,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-2.030369E-08,3.46318E-08,2.157028E-08,1,1,0,0,0,1,1,1,0,0,0,-1.132884E-09,3.173918E-08,1.886829E-08,1,1,0,0,0,1
519.264,-73.80083,-58.30965,-228.9761,5.231843E-08,5.877668E-08,1.336182E-07,1,1,0.156544,0.2411604,-0.03945,0.9569636,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-7.595381E-09,-1.811181E-08,-8.111856E-09,1,1,0,0,0,1,1,1,0,0,0,-2.068528E-08,-1.202026E-08,3.455031E-09,1,1,0,0,0,1
519.3143,-73.80083,-58.30965,-228.9761,1.282057E-07,4.119918E-08,1.320263E-07,1,1,0.1567899,0.2408395,-0.03945773,0.9570038,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,4.221093E-08,1.134348E-08,4.209318E-10,1,1,0,0,0,1,1,1,0,0,0,3.367628E-08,-2.892098E-08,-2.012783E-09,1,1,0,0,0,1
519.3636,-73.80083,-58.30965,-228.9761,1.027701E-07,1.295527E-09,1.153062E-07,1,1,0.1569791,0.2405951,-0.03946403,0.9570341,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-7.953478E-09,-1.653413E-08,-1.140014E-08,1,1,0,0,0,1,1,1,0,0,0,-1.748214E-08,-2.336951E-08,-5.320018E-09,1,1,0,0,0,1
519.4138,-73.80083,-58.30965,-228.9761,3.125603E-08,3.27749E-09,1.630441E-07,1,1,0.1571237,0.240405,-0.03946818,0.9570579,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-3.40847E-08,3.483787E-09,2.360479E-08,1,1,0,0,0,1,1,1,0,0,0,-3.742932E-08,-1.501831E-09,2.41331E-08,1,1,0,0,0,1
519.4639,-73.80083,-58.30965,-228.9761,-9.167808E-09,-6.421176E-08,1.547145E-07,1,1,0.1572356,0.2402607,-0.03947184,0.9570757,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-2.314339E-08,-2.753817E-08,4.98126E-10,1,1,0,0,0,1,1,1,0,0,0,-1.728044E-08,-3.995107E-08,-8.827797E-09,1,1,0,0,0,1
519.5135,-73.80083,-58.30965,-228.9761,-1.627391E-08,-4.811633E-08,1.59879E-07,1,1,0.1573221,0.2401505,-0.0394749,0.9570889,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,7.559354E-09,5.02911E-09,-5.965872E-09,1,1,0,0,0,1,1,1,0,0,0,-1.466544E-08,1.106632E-08,1.113035E-08,1,1,0,0,0,1
519.5637,-73.80083,-58.30965,-228.9761,1.24244E-07,4.590761E-08,1.374153E-07,1,1,0.1573893,0.2400651,-0.03947729,0.9570992,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,6.854651E-08,2.440723E-08,-1.220575E-08,1,1,0,0,0,1,1,1,0,0,0,7.296678E-08,6.111206E-08,-9.086857E-09,1,1,0,0,0,1
519.614,-73.80083,-58.30965,-228.9761,1.463463E-07,1.110771E-07,2.032147E-07,1,1,0.1574403,0.2399972,-0.03947855,0.9571078,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-2.765421E-09,2.509515E-08,3.172277E-08,1,1,0,0,0,1,1,1,0,0,0,2.38722E-08,4.857898E-08,3.290549E-08,1,1,0,0,0,1
519.6636,-73.80083,-58.30965,-228.9761,1.690237E-07,3.308733E-08,1.704851E-07,1,1,0.1574813,0.2399479,-0.03948049,0.9571133,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,9.225651E-09,-4.101719E-08,-1.667657E-08,1,1,0,0,0,1,1,1,0,0,0,1.345166E-08,-3.697259E-08,-1.605317E-08,1,1,0,0,0,1
519.7132,-73.80083,-58.30965,-228.9761,1.822377E-07,1.317848E-07,1.918537E-07,1,1,0.1575135,0.2399103,-0.03948222,0.9571174,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-1.155557E-09,2.14139E-08,5.39687E-10,1,1,0,0,0,1,1,1,0,0,0,1.43695E-08,7.728352E-08,2.082897E-08,1,1,0,0,0,1
519.7633,-73.80083,-58.30965,-228.9761,1.595149E-07,1.08269E-07,2.394005E-07,1,1,0.1575382,0.2398805,-0.03948334,0.9571208,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-1.779185E-08,-1.772463E-08,2.867697E-08,1,1,0,0,0,1,1,1,0,0,0,-4.930984E-09,-5.791214E-09,1.886974E-08,1,1,0,0,0,1
519.814,-73.80083,-58.30965,-228.9761,2.272729E-07,1.378057E-07,1.848707E-07,1,1,0.1575575,0.2398576,-0.0394843,0.9571233,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,3.715647E-08,1.559185E-08,-2.562887E-08,1,1,0,0,0,1,1,1,0,0,0,3.060153E-08,1.394474E-08,-2.89009E-08,1,1,0,0,0,1
519.8639,-73.80083,-58.30965,-228.9761,1.701003E-07,2.249568E-08,1.381219E-07,1,1,0.1575735,0.2398417,-0.03948566,0.9571246,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-3.686708E-08,-5.655331E-08,-2.298098E-08,0.9999998,1,0,0,0,1,1,1,0,0,0,-2.030551E-08,-5.875668E-08,-2.376786E-08,0.9999998,1,0,0,0,1
519.9137,-73.80083,-58.30965,-228.9761,2.142291E-07,5.220848E-08,1.715897E-07,1,1,0.1575865,0.2398288,-0.03948675,0.9571256,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,2.225867E-08,1.712196E-08,2.062906E-08,1,1,0,0,0,1,1,1,0,0,0,2.187001E-08,1.259083E-08,1.28387E-08,1,1,0,0,0,1
519.9639,-73.80083,-58.30965,-228.9761,1.856248E-07,1.513732E-08,1.734143E-07,1,1,0.1575968,0.2398208,-0.03948801,0.9571259,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,-1.334223E-08,-2.088618E-08,-5.122973E-10,1,1,0,0,0,1,1,1,0,0,0,-1.526207E-08,-1.6185E-08,2.336858E-09,1,1,0,0,0,1
520.0132,-73.80083,-58.30965,-228.9761,2.442881E-07,-1.29183E-07,1.257052E-07,1,1,0.1576044,0.2398128,-0.03948855,0.9571266,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,1.80704E-08,-5.371496E-08,-7.847259E-09,1,1,0,0,0,1,1,1,0,0,0,4.05929E-08,-9.060527E-08,-3.986198E-08,1,1,0,0,0,1
520.0638,-73.80083,-58.30965,-228.9761,2.646951E-07,-1.504272E-07,9.043681E-08,1,1,0.1576113,0.2398056,-0.03948908,0.9571273,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,1.557589E-08,-2.962741E-09,-1.673749E-08,1,1,0,0,0,1,1,1,0,0,0,4.83103E-09,-1.828139E-08,-1.853086E-08,1,1,0,0,0,1
520.1136,-73.80083,-58.30965,-228.9761,3.855743E-07,-2.074503E-07,5.856526E-08,1,1,0.157618,0.2398013,-0.03949005,0.9571272,0,0,0,0,4.481287,0,0,0,0,0,0,0,1,0,0,0,4.285014E-08,-6.491362E-09,-8.227033E-09,1,1,0,0,0,1,1,1,0,0,0,7.802907E-08,-5.053166E-08,-2.364452E-08,1,1,0,0,0,1
