2,3,Shiliang-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1229.633,0.977,-0.187,-1.75,0,0,0,1,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.596317E-08,-2.561595E-08,8.760813E-08,1,1,0,0,0,1
1229.683,0.977,-0.187,-1.75,0,0,0,1,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1229.733,0.977,-0.187,-1.75,0,0,0,1,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1229.784,0.977,-0.187,-1.75,4.654681E-07,-6.802052E-09,-1.05273E-07,1,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,2.381099E-07,6.639587E-10,-5.145844E-08,1,1,0,0,0,1,1,1,0,0,0,2.273577E-07,-7.466002E-09,-5.38146E-08,1,1,0,0,0,1
1229.832,0.977,-0.187,-1.75,8.458422E-07,1.583797E-07,-1.062454E-07,1,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,3.803737E-07,1.651816E-07,-9.722725E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1229.882,0.977,-0.187,-1.75,8.310507E-07,8.378611E-08,-9.893775E-08,1,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,6.006168E-09,1.249461E-08,9.688387E-09,1,1,0,0,0,1,1,1,0,0,0,-2.079748E-08,-8.70882E-08,-2.380885E-09,1,1,0,0,0,1
1229.933,0.977,-0.187,-1.75,8.334716E-07,4.111546E-08,-1.082912E-07,1,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,1.641376E-08,-3.633862E-08,-8.578885E-09,1,1,0,0,0,1,1,1,0,0,0,-1.399279E-08,-6.332052E-09,-7.74596E-10,1,1,0,0,0,1
1229.982,0.977,-0.187,-1.75,8.859887E-07,1.150679E-07,-6.026543E-08,1,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,3.589096E-08,2.727427E-08,2.218291E-08,1,1,0,0,0,1,1,1,0,0,0,1.662605E-08,4.667808E-08,2.584288E-08,1,1,0,0,0,1
1230.032,0.977,-0.187,-1.75,8.834636E-07,1.193015E-07,-5.650055E-08,1,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,-9.86651E-09,-2.07217E-09,-7.256821E-10,1,1,0,0,0,1,1,1,0,0,0,7.341563E-09,6.305773E-09,4.490533E-09,1,1,0,0,0,1
1230.082,0.977,-0.187,-1.75,1.017997E-06,1.601272E-07,-4.801918E-08,1,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,5.205717E-08,1.860011E-08,4.693069E-09,1,1,0,0,0,1,1,1,0,0,0,8.247558E-08,2.222548E-08,3.788342E-09,1,1,0,0,0,1
1230.134,0.977,-0.187,-1.75,1.130169E-06,1.767164E-07,-5.379524E-08,1,1,0.1635778,0.08042083,-0.01338044,0.983156,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,6.744365E-08,8.068106E-09,-4.577548E-09,1,1,0,0,0,1,1,1,0,0,0,4.662884E-08,7.925982E-09,-1.583217E-09,1,1,0,0,0,1
1230.183,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635833,0.0804318,-0.01338274,0.9831542,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,1.504379E-09,-8.82249E-10,1.232755E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.233,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635866,0.0804383,-0.01338411,0.9831531,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.284,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635886,0.08044218,-0.01338492,0.9831524,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.332,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635897,0.08044445,-0.0133854,0.983152,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.382,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635904,0.08044579,-0.01338569,0.9831519,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.434,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635908,0.08044661,-0.01338586,0.9831517,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.484,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635911,0.08044709,-0.01338596,0.9831516,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
1230.535,0.977,-0.187,-1.75,1.131673E-06,1.758341E-07,-5.367197E-08,1,1,0.1635912,0.08044738,-0.01338602,0.9831516,0,0,0,0,3.331396,0.08781218,0.112353,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
