3,3,Sid-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
368.4371,0.977,-0.187,-1.75,0.05361645,-0.2448651,-0.2469955,0.936034,1,0.1635913,0.08044753,-0.01338605,0.9831516,0,0,0,0,3.331396,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.0412004,0.01737534,0.00505951,-0.05915266,-0.03660523,-0.6015968,0.795761,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.4873,0.977,-0.187,-1.75,0.03127707,-0.2491455,-0.2605607,0.932232,1,0.1635383,0.08034316,-0.01336411,0.9831692,0,0,0,0,3.265182,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.018168,0.001433911,-0.01957428,0.9996422,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.5364,0.977,-0.187,-1.75,0.0318788,-0.2465788,-0.2560053,0.9341542,1,0.1634599,0.08018927,-0.01333177,0.9831952,0,0,0,0,3.25774,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.669476E-05,0.002579888,0.00497413,0.9999842,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.5862,0.977,-0.187,-1.75,0.03657926,-0.2442461,-0.2282236,0.9417642,1,0.1634201,0.08011113,-0.01331535,0.9832085,0,0,0,0,3.257254,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.002235759,0.001783982,0.02913841,0.999571,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.6352,0.977,-0.187,-1.75,0.03414752,-0.2413399,-0.1901295,0.9510204,1,0.1634239,0.08011845,-0.0133169,0.9832072,0,0,0,0,3.259894,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.01120632,0.004157423,0.03751974,0.9992244,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.6854,0.977,-0.187,-1.75,0.01772231,-0.2263038,-0.1652345,0.9597761,1,0.1634531,0.08017601,-0.01332898,0.9831975,0,0,0,0,3.26342,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.01931235,0.01849245,0.02184282,0.9994037,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.7354,0.977,-0.187,-1.75,-0.00355254,-0.1974814,-0.1210856,0.9727933,1,0.1634887,0.08024582,-0.01334365,0.9831856,0,0,0,0,3.275717,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.02569164,0.03357683,0.04014507,0.998299,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.7852,0.977,-0.187,-1.75,-0.02646365,-0.1452047,-0.04083141,0.9882045,1,0.1635263,0.08031982,-0.0133592,0.9831731,0,0,0,0,3.293128,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.03197926,0.0568415,0.07522013,0.9950316,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.8362,0.977,-0.187,-1.75,-0.03601865,-0.1229398,-0.01002733,0.9917096,1,0.1635526,0.08037148,-0.01337006,0.9831644,0,0,0,0,3.309905,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.0128966,0.02373267,0.02860165,0.9992259,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
368.8858,0.977,-0.187,-1.75,-0.05670434,-0.06930583,0.07151166,0.993412,1,0.1635684,0.0804024,-0.01337656,0.9831592,0,0,0,0,3.318408,0.1004225,0.2188534,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-0.02898421,0.05627257,0.07696772,0.9950224,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1
