2,7,Snow-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
5565.141,-73.52632,-58.43321,-229.0224,0,0,0,1,1,0.1364131,0.2679652,-0.03835872,0.9529506,0,0,0,0,3.45885,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,-0.1928983,-1.181311,-0.01197763,2.126921E-06,-6.46031E-06,-2.594867E-06,1,1,0,0,0,1,1,1,-0.1782401,0.03736269,-0.1472116,-0.000362256,0.0002148622,-0.002889406,0.9999957,1,0,0,0,1
5565.19,-73.7295,-59.09458,-229.1083,6.084964E-08,1.046459E-07,-6.705608E-09,1,1,0.1468462,0.265498,-0.04095391,0.951982,0,0,0,0,4.568486,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,2.526094E-08,4.405556E-08,-5.188643E-09,1,1,0,0,0,1,1,1,0,0,0,3.558868E-08,6.059038E-08,-1.516957E-09,1,1,0,0,0,1
5565.24,-73.7783,-59.10132,-229.1284,2.301319E-08,8.13308E-08,-5.842351E-09,1,1,0.1587973,0.2623516,-0.04381616,0.9508077,0,-0.001991272,0.01422501,-0.0007629395,4.676874,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,-5.143862E-08,-4.658892E-08,1.802608E-08,1,1,0,0,0,1,1,1,0,0,0,1.360218E-08,2.327377E-08,-1.716282E-08,1,1,0,0,0,1
5565.29,-73.78793,-59.09226,-229.1323,-5.328433E-09,-1.438006E-07,-3.799571E-08,1,1,0.1694998,0.2592151,-0.04626381,0.9497036,0,-0.0003356934,0.002407074,-0.0001373291,4.699218,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,-1.589353E-08,-1.292088E-07,-1.818032E-08,1,1,0,0,0,1,1,1,0,0,0,-1.244808E-08,-9.592262E-08,-1.397303E-08,1,1,0,0,0,1
5565.34,-73.78955,-59.09073,-229.133,5.236303E-08,-1.911409E-07,-1.02552E-07,1,1,0.1789968,0.2563174,-0.04836382,0.9486425,0,-5.340576E-05,0.0004043579,-1.525879E-05,4.703634,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,2.012919E-08,-1.109931E-08,-1.949191E-08,1,1,0,0,0,1,1,1,0,0,0,3.756228E-08,-3.624095E-08,-4.506431E-08,1,1,0,0,0,1
5565.391,-73.78983,-59.09048,-229.1331,5.850763E-08,-1.149768E-07,-1.120736E-07,1,1,0.1871706,0.2537626,-0.05012018,0.9476601,0,-7.629395E-06,6.484985E-05,0,4.704466,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,6.108911E-09,4.253796E-08,-4.05521E-09,1,1,0,0,0,1,1,1,0,0,0,3.567538E-11,3.362629E-08,-5.466402E-09,1,1,0,0,0,1
5565.441,-73.78987,-59.09043,-229.1331,5.222723E-08,-5.658837E-08,-1.286025E-07,1,1,0.1939656,0.2516005,-0.05154433,0.9467934,0,0,1.525879E-05,0,4.704615,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,4.420582E-09,3.016557E-08,-9.109183E-09,1,1,0,0,0,1,1,1,0,0,0,-1.0701E-08,2.822285E-08,-7.419789E-09,1,1,0,0,0,1
5565.491,-73.78987,-59.09042,-229.1331,6.090313E-08,-1.868712E-07,-1.890769E-07,1,1,0.1994471,0.2498311,-0.052669,0.946061,0,0,3.814697E-06,0,4.704625,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,-5.896884E-09,-6.567275E-08,-2.368092E-08,1,1,0,0,0,1,1,1,0,0,0,1.457281E-08,-6.461001E-08,-3.679349E-08,1,1,0,0,0,1
5565.541,-73.78987,-59.09042,-229.1331,1.19744E-07,-1.418561E-07,-1.614072E-07,1,1,0.2037686,0.2484208,-0.05354032,0.9454623,0,0,0,0,4.704624,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,3.036292E-08,2.984343E-08,1.754155E-08,1,1,0,0,0,1,1,1,0,0,0,2.847789E-08,1.517176E-08,1.01283E-08,1,1,0,0,0,1
5565.591,-73.78987,-59.09042,-229.1331,1.780157E-07,-7.988569E-08,-1.844943E-07,1,1,0.2071219,0.2473173,-0.05420702,0.9449849,0,0,0,0,4.704624,0.3316805,5.748096,6.071889,1.677806,0.530787,0.9000626,0,1,0,0,0,3.556846E-08,3.022828E-08,-1.303999E-08,1,1,0,0,0,1,1,1,0,0,0,2.270321E-08,3.174214E-08,-1.00471E-08,1,1,0,0,0,1
