2,3,Susumu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
93.30907,0.9714994,-0.177563,-1.733206,0,0,0,1,1,0.1635376,0.08041491,-0.01337607,0.9831632,0,0,0,0,3.331396,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.01833521,0.03145673,0.0559799,0,0,0,1,1,0,0,0,1
93.35882,0.960822,-0.1592441,-1.700606,-1.812486E-07,3.905705E-08,5.422795E-08,1,1,0.1628859,0.07994711,-0.01324327,0.9833114,0,0,0,0,3.313412,0,0,0,1,0,0,0,-1.076679E-07,3.260909E-08,3.006063E-08,1,1,0,0,0,1,1,1,0,0,0,-7.358076E-08,6.447955E-09,2.416734E-08,1,1,0,0,0,1
93.40881,0.9590274,-0.1561653,-1.695127,-2.59212E-07,-6.826096E-08,2.757093E-08,1,1,0.162126,0.0793797,-0.01308563,0.983485,0,0,0,0,3.304028,0,0,0,1,0,0,0,-3.901008E-08,-5.099987E-08,-1.266061E-08,1,1,0,0,0,1,1,1,0,0,0,-3.895329E-08,-5.631814E-08,-1.399639E-08,1,1,0,0,0,1
93.45864,0.9587258,-0.1556478,-1.694206,-2.799621E-07,-7.154583E-08,4.384701E-08,1,1,0.1614876,0.07893673,-0.01295948,0.9836274,0,0,0,0,3.301392,0,0,0,1,0,0,0,-1.337326E-08,3.93361E-09,1.442342E-08,1,1,0,0,0,1,1,1,0,0,0,-7.376797E-09,-7.218488E-09,1.852671E-09,1,1,0,0,0,1
93.50994,0.9586751,-0.1555608,-1.694052,-2.076121E-07,-1.091987E-07,2.717484E-08,1,1,0.1609959,0.07864283,-0.01287054,0.9837327,0,0,0,0,3.300771,0,0,0,1,0,0,0,3.181718E-08,-2.123796E-08,-5.449825E-09,1,1,0,0,0,1,1,1,0,0,0,4.053275E-08,-1.641492E-08,-1.122233E-08,1,1,0,0,0,1
93.55864,0.9586666,-0.1555462,-1.694025,-2.088991E-07,-1.424399E-07,2.293172E-08,1,1,0.1606247,0.07845666,-0.01280947,0.9838091,0,0,0,0,3.300637,0,0,0,1,0,0,0,8.961669E-10,-1.452032E-08,-4.278282E-09,1,1,0,0,0,1,1,1,0,0,0,-2.183098E-09,-1.872084E-08,3.516387E-11,1,1,0,0,0,1
93.60921,0.9586651,-0.1555438,-1.694021,-2.930535E-07,-1.722225E-07,3.45832E-08,1,1,0.1603433,0.07833502,-0.01276648,0.9838652,0,0,0,0,3.300609,0,0,0,1,0,0,0,-3.771368E-08,-2.809053E-08,3.687173E-09,1,1,0,0,0,1,1,1,0,0,0,-4.644073E-08,-1.692077E-09,7.964317E-09,1,1,0,0,0,1
93.65874,0.958665,-0.1555434,-1.69402,-3.283596E-07,-2.136509E-07,3.712107E-08,1,1,0.1601321,0.07825866,-0.01273671,0.983906,0,0,0,0,3.300603,0,0,0,1,0,0,0,-2.824321E-10,-2.689661E-09,2.600509E-09,1,1,0,0,0,1,1,1,0,0,0,-3.502373E-08,-3.873873E-08,-6.261799E-11,1,1,0,0,0,1
93.70882,0.958665,-0.1555433,-1.69402,-2.638546E-07,-2.305802E-07,2.460859E-08,1,1,0.1599668,0.07819676,-0.01271308,0.9839382,0,0,0,0,3.300602,0,0,0,1,0,0,0,2.338796E-08,-7.136423E-11,-2.577243E-09,1,1,0,0,0,1,1,1,0,0,0,4.111707E-08,-1.685794E-08,-9.9352E-09,1,1,0,0,0,1
93.75928,0.958665,-0.1555433,-1.69402,-1.891343E-07,-2.349735E-07,1.438592E-08,1,1,0.1598341,0.07813945,-0.01269289,0.9839646,0,0,0,0,3.300602,0,0,0,1,0,0,0,2.473482E-08,-5.726635E-09,-6.300876E-09,1,1,0,0,0,1,1,1,0,0,0,4.998554E-08,1.333337E-09,-3.921768E-09,1,1,0,0,0,1
