2,7,TEU MEU-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1101.315,-73.42142,-58.09161,-228.9797,0,0,0,1,1,0.1355004,0.2681805,-0.03812954,0.9530294,0,0,0,0,3.45885,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-0.03237122,0.07587852,-0.07412738,0.993829,1,0,0,0,1,1,1,0.0007805487,0.002971328,-0.005153819,-3.81636E-06,2.21941E-05,-1.679796E-05,1,1,0,0,0,1
1101.365,-73.42097,-58.08987,-228.9827,2.873282E-09,-3.176728E-08,2.757329E-08,1,1,0.1354844,0.2682121,-0.03812979,0.9530228,0,0,0,0,4.455303,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-1.398415E-09,-1.147493E-08,9.394284E-09,1,1,0,0,0,1,1,1,0,0,0,4.271677E-09,-2.029235E-08,1.817901E-08,1,1,0,0,0,1
1101.414,-73.42088,-58.08959,-228.9832,4.32828E-08,-8.406014E-09,1.260294E-08,1,1,0.1354641,0.2682519,-0.03813008,0.9530144,0,0,0,0,4.471535,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,2.076623E-08,1.135451E-08,-9.228665E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,1.964329E-08,1.200674E-08,-5.741683E-09,0.9999999,1,0,0,0,1
1101.464,-73.42088,-58.08954,-228.9833,3.125473E-08,-9.294573E-08,3.454486E-08,1,1,0.1354448,0.268289,-0.03813021,0.9530067,0,0,0,0,4.471958,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-9.021746E-09,-2.845536E-08,7.548096E-09,1,1,0,0,0,1,1,1,0,0,0,-3.006324E-09,-5.608433E-08,1.43938E-08,1,1,0,0,0,1
1101.515,-73.42088,-58.08953,-228.9833,-2.509395E-10,-9.029526E-09,8.032085E-08,1,1,0.1354279,0.2683226,-0.03813051,0.9529997,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-4.630057E-09,2.82985E-08,4.431361E-09,1,1,0,0,0,1,1,1,0,0,0,-2.687562E-08,5.56177E-08,4.134462E-08,1,1,0,0,0,1
1101.564,-73.42088,-58.08953,-228.9833,3.347658E-08,-9.738877E-08,8.847763E-08,1,1,0.1354141,0.2683535,-0.03813129,0.9529929,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,1.405379E-08,-4.36517E-08,4.606442E-12,1,1,0,0,0,1,1,1,0,0,0,1.967371E-08,-4.470753E-08,8.152104E-09,1,1,0,0,0,1
1101.615,-73.42088,-58.08953,-228.9833,9.284432E-08,4.562104E-08,1.061211E-07,1,1,0.135402,0.2683753,-0.03813116,0.9529885,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,3.395766E-08,6.166339E-08,3.420924E-09,1,1,0,0,0,1,1,1,0,0,0,2.541003E-08,8.134641E-08,1.422253E-08,1,1,0,0,0,1
1101.665,-73.42088,-58.08953,-228.9833,2.826519E-08,-3.7995E-08,9.753103E-08,1,1,0.1353939,0.2683979,-0.03813228,0.9529833,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-3.53594E-08,-5.309214E-08,9.105263E-10,1,1,0,0,0,1,1,1,0,0,0,-2.921973E-08,-3.05239E-08,-9.5006E-09,1,1,0,0,0,1
1101.715,-73.42088,-58.08953,-228.9833,1.060895E-07,6.112607E-08,1.148186E-07,1,1,0.1353861,0.2684114,-0.03813211,0.9529805,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,3.187236E-08,6.287782E-08,1.631039E-08,1,1,0,0,0,1,1,1,0,0,0,4.595189E-08,3.624325E-08,9.771925E-10,1,1,0,0,0,1
1101.765,-73.42088,-58.08953,-228.9833,2.342146E-08,7.071594E-08,1.273316E-07,1,1,0.1353805,0.2684251,-0.03813263,0.9529775,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-4.354099E-08,-1.636671E-08,3.175033E-09,1,1,0,0,0,1,1,1,0,0,0,-3.912704E-08,2.595658E-08,9.337963E-09,1,1,0,0,0,1
1101.815,-73.42088,-58.08953,-228.9833,-1.384854E-09,1.367144E-07,1.4344E-07,1,1,0.1353775,0.268436,-0.03813342,0.9529748,0,0,0,0,4.472041,0.1423575,5.839835,6.593291,1.661996,0.2596749,1.01946,0,1,0,0,0,-7.79384E-09,3.519492E-08,9.783849E-09,1,1,0,0,0,1,1,1,0,0,0,-1.701248E-08,3.080355E-08,6.324569E-09,1,1,0,0,0,1
